pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
pong_v2 pettingzoo
random seed: [11, 67]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'pong_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220112_0229/pettingzoo_pong_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220112_0229/pettingzoo_pong_v2_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1331.0,                last time consumption/overall running time: 18.6005s / 18.6005 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.2931
env0_second_0:                 episode reward: -1.0000,                 loss: 0.2756
env1_first_0:                 episode reward: 8.0000,                 loss: nan
env1_second_0:                 episode reward: -8.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1184.1,                last time consumption/overall running time: 171.0943s / 189.6947 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.2708
env0_second_0:                 episode reward: 0.1500,                 loss: 0.2757
env1_first_0:                 episode reward: -2.4500,                 loss: nan
env1_second_0:                 episode reward: 2.4500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1288.6,                last time consumption/overall running time: 185.1716s / 374.8663 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.4219
env0_second_0:                 episode reward: -0.8000,                 loss: 0.4170
env1_first_0:                 episode reward: -1.3000,                 loss: nan
env1_second_0:                 episode reward: 1.3000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1207.5,                last time consumption/overall running time: 175.6900s / 550.5563 s
env0_first_0:                 episode reward: 5.4500,                 loss: 0.5259
env0_second_0:                 episode reward: -5.4500,                 loss: 0.5043
env1_first_0:                 episode reward: 3.9500,                 loss: nan
env1_second_0:                 episode reward: -3.9500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1111.35,                last time consumption/overall running time: 160.6449s / 711.2011 s
env0_first_0:                 episode reward: 7.9000,                 loss: 0.5704
env0_second_0:                 episode reward: -7.9000,                 loss: 0.5448
env1_first_0:                 episode reward: 4.9500,                 loss: nan
env1_second_0:                 episode reward: -4.9500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1089.9,                last time consumption/overall running time: 158.4206s / 869.6218 s
env0_first_0:                 episode reward: 2.7500,                 loss: 0.6514
env0_second_0:                 episode reward: -2.7500,                 loss: 0.6416
