pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
random seed: [44, 57]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220112_0229/pettingzoo_surround_v1_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220112_0229/pettingzoo_surround_v1_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1255.0,                last time consumption/overall running time: 8.6033s / 8.6033 s
env0_first_0:                 episode reward: -5.0000,                 loss: -0.0322
env0_second_0:                 episode reward: 5.0000,                 loss: -0.0438
env1_first_0:                 episode reward: 1.0000,                 loss: nan
env1_second_0:                 episode reward: -1.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1387.3,                last time consumption/overall running time: 196.9343s / 205.5377 s
env0_first_0:                 episode reward: 2.6500,                 loss: -0.0410
env0_second_0:                 episode reward: -2.6500,                 loss: -0.0360
env1_first_0:                 episode reward: 1.2500,                 loss: nan
env1_second_0:                 episode reward: -1.2500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1563.4,                last time consumption/overall running time: 220.7714s / 426.3091 s
env0_first_0:                 episode reward: 2.0000,                 loss: -0.0409
env0_second_0:                 episode reward: -2.0000,                 loss: -0.0392
env1_first_0:                 episode reward: 2.0500,                 loss: nan
env1_second_0:                 episode reward: -2.0500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1505.1,                last time consumption/overall running time: 211.9856s / 638.2947 s
env0_first_0:                 episode reward: 4.8500,                 loss: -0.0412
env0_second_0:                 episode reward: -4.8500,                 loss: -0.0414
env1_first_0:                 episode reward: 5.0500,                 loss: nan
env1_second_0:                 episode reward: -5.0500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1855.05,                last time consumption/overall running time: 258.9883s / 897.2830 s
env0_first_0:                 episode reward: 4.4500,                 loss: -0.0703
env0_second_0:                 episode reward: -4.4500,                 loss: -0.0698
env1_first_0:                 episode reward: 2.8500,                 loss: nan
env1_second_0:                 episode reward: -2.8500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2159.0,                last time consumption/overall running time: 300.4141s / 1197.6971 s
env0_first_0:                 episode reward: -1.3500,                 loss: -0.0712
env0_second_0:                 episode reward: 1.3500,                 loss: -0.0690
env1_first_0:                 episode reward: -2.2000,                 loss: nan
env1_second_0:                 episode reward: 2.2000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2339.45,                last time consumption/overall running time: 322.2306s / 1519.9277 s
env0_first_0:                 episode reward: -1.0500,                 loss: -0.0883
env0_second_0:                 episode reward: 1.0500,                 loss: -0.0863
env1_first_0:                 episode reward: -1.2000,                 loss: nan
env1_second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2333.1,                last time consumption/overall running time: 321.9575s / 1841.8852 s
env0_first_0:                 episode reward: -2.1500,                 loss: -0.1011
env0_second_0:                 episode reward: 2.1500,                 loss: -0.0994
env1_first_0:                 episode reward: -2.9000,                 loss: nan
env1_second_0:                 episode reward: 2.9000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2295.2,                last time consumption/overall running time: 317.6884s / 2159.5736 s
env0_first_0:                 episode reward: -3.1000,                 loss: -0.0958
env0_second_0:                 episode reward: 3.1000,                 loss: -0.0939
env1_first_0:                 episode reward: -1.6000,                 loss: nan
env1_second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2415.45,                last time consumption/overall running time: 332.5584s / 2492.1319 s
env0_first_0:                 episode reward: -0.6500,                 loss: -0.1039
env0_second_0:                 episode reward: 0.6500,                 loss: -0.0995
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 2530.3,                last time consumption/overall running time: 348.0184s / 2840.1503 s
env0_first_0:                 episode reward: -0.5000,                 loss: -0.1048
env0_second_0:                 episode reward: 0.5000,                 loss: -0.0988
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 2574.4,                last time consumption/overall running time: 352.1389s / 3192.2891 s
env0_first_0:                 episode reward: -0.2500,                 loss: -0.1047
env0_second_0:                 episode reward: 0.2500,                 loss: -0.1014
env1_first_0:                 episode reward: 0.8000,                 loss: nan
env1_second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 2438.7,                last time consumption/overall running time: 336.7981s / 3529.0872 s
env0_first_0:                 episode reward: -2.2000,                 loss: -0.1076
env0_second_0:                 episode reward: 2.2000,                 loss: -0.1047
env1_first_0:                 episode reward: -0.5000,                 loss: nan
env1_second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 2514.05,                last time consumption/overall running time: 346.7076s / 3875.7949 s
env0_first_0:                 episode reward: -2.9000,                 loss: -0.1043
env0_second_0:                 episode reward: 2.9000,                 loss: -0.1035
env1_first_0:                 episode reward: -2.7000,                 loss: nan
env1_second_0:                 episode reward: 2.7000,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 2722.95,                last time consumption/overall running time: 372.4308s / 4248.2256 s
env0_first_0:                 episode reward: 0.6000,                 loss: -0.0884
env0_second_0:                 episode reward: -0.6000,                 loss: -0.0833
env1_first_0:                 episode reward: -1.0500,                 loss: nan
env1_second_0:                 episode reward: 1.0500,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 2544.2,                last time consumption/overall running time: 348.0271s / 4596.2527 s
env0_first_0:                 episode reward: -1.2500,                 loss: -0.1016
env0_second_0:                 episode reward: 1.2500,                 loss: -0.0924
