pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
ice_hockey_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [62, 36]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'ice_hockey_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220114_0533/pettingzoo_ice_hockey_v1_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220114_0533/pettingzoo_ice_hockey_v1_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 2748.0,                last time consumption/overall running time: 22.6168s / 22.6168 s
env0_first_0:                 episode reward: 1.0000,                 loss: -0.4467
env0_second_0:                 episode reward: -1.0000,                 loss: -0.4456
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 2816.15,                last time consumption/overall running time: 429.0531s / 451.6698 s
env0_first_0:                 episode reward: 0.0500,                 loss: -0.4411
env0_second_0:                 episode reward: -0.0500,                 loss: -0.4372
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 2821.65,                last time consumption/overall running time: 431.8532s / 883.5230 s
env0_first_0:                 episode reward: 0.4000,                 loss: -0.4349
env0_second_0:                 episode reward: -0.4000,                 loss: -0.4371
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2836.55,                last time consumption/overall running time: 436.9572s / 1320.4802 s
env0_first_0:                 episode reward: -0.0500,                 loss: -0.4331
env0_second_0:                 episode reward: 0.0500,                 loss: -0.4326
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2833.05,                last time consumption/overall running time: 433.8527s / 1754.3329 s
env0_first_0:                 episode reward: -0.7000,                 loss: -0.4375
env0_second_0:                 episode reward: 0.7000,                 loss: -0.4338
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2805.25,                last time consumption/overall running time: 424.5119s / 2178.8448 s
env0_first_0:                 episode reward: 0.6500,                 loss: -0.4458
env0_second_0:                 episode reward: -0.6500,                 loss: -0.4445
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2819.75,                last time consumption/overall running time: 430.1640s / 2609.0088 s
env0_first_0:                 episode reward: 0.8000,                 loss: -0.4377
env0_second_0:                 episode reward: -0.8000,                 loss: -0.4345
