pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [85, 3]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'selfplay_score_delta': 50, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20220114_1944/pettingzoo_tennis_v2_fictitious_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20220114_1944/pettingzoo_tennis_v2_fictitious_selfplay2.
Episode: 1/10000 (0.0100%),                 avg. length: 2801.0,                last time consumption/overall running time: 28.2730s / 28.2730 s
env0_first_0:                 episode reward: -15.0000,                 loss: 0.0087
env0_second_0:                 episode reward: 15.0000,                 loss: nan
env1_first_0:                 episode reward: -17.0000,                 loss: nan
env1_second_0:                 episode reward: 17.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 2414.3,                last time consumption/overall running time: 474.3774s / 502.6504 s
env0_first_0:                 episode reward: 2.8000,                 loss: 0.0066
env0_second_0:                 episode reward: -2.8000,                 loss: nan
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1709.2,                last time consumption/overall running time: 355.5215s / 858.1718 s
env0_first_0:                 episode reward: 18.5000,                 loss: 0.0045
env0_second_0:                 episode reward: -18.5000,                 loss: nan
env1_first_0:                 episode reward: 18.5500,                 loss: nan
env1_second_0:                 episode reward: -18.5500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1497.9,                last time consumption/overall running time: 308.3269s / 1166.4987 s
env0_first_0:                 episode reward: 20.4500,                 loss: 0.0025
env0_second_0:                 episode reward: -20.4500,                 loss: nan
env1_first_0:                 episode reward: 23.1500,                 loss: nan
env1_second_0:                 episode reward: -23.1500,                 loss: nan
Score delta: 50.6, save the model to .//data/model/20220114_1944/pettingzoo_tennis_v2_fictitious_selfplay2/61_0.
Episode: 81/10000 (0.8100%),                 avg. length: 2781.4,                last time consumption/overall running time: 561.0653s / 1727.5640 s
env0_first_0:                 episode reward: 9.3000,                 loss: nan
env0_second_0:                 episode reward: -9.3000,                 loss: 0.0047
env1_first_0:                 episode reward: 12.1500,                 loss: nan
env1_second_0:                 episode reward: -12.1500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2757.6,                last time consumption/overall running time: 565.4459s / 2293.0099 s
env0_first_0:                 episode reward: -6.8000,                 loss: nan
env0_second_0:                 episode reward: 6.8000,                 loss: 0.0053
env1_first_0:                 episode reward: -3.9500,                 loss: nan
env1_second_0:                 episode reward: 3.9500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2140.35,                last time consumption/overall running time: 436.1723s / 2729.1822 s
env0_first_0:                 episode reward: -16.5000,                 loss: nan
env0_second_0:                 episode reward: 16.5000,                 loss: 0.0036
env1_first_0:                 episode reward: -19.0000,                 loss: nan
env1_second_0:                 episode reward: 19.0000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2024.05,                last time consumption/overall running time: 416.6600s / 3145.8422 s
env0_first_0:                 episode reward: -20.1500,                 loss: nan
env0_second_0:                 episode reward: 20.1500,                 loss: 0.0030
env1_first_0:                 episode reward: -19.4000,                 loss: nan
env1_second_0:                 episode reward: 19.4000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 1725.75,                last time consumption/overall running time: 355.3371s / 3501.1793 s
env0_first_0:                 episode reward: -20.6000,                 loss: nan
env0_second_0:                 episode reward: 20.6000,                 loss: 0.0029
env1_first_0:                 episode reward: -21.8000,                 loss: nan
env1_second_0:                 episode reward: 21.8000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 1640.65,                last time consumption/overall running time: 338.0720s / 3839.2514 s
env0_first_0:                 episode reward: -21.0500,                 loss: nan
env0_second_0:                 episode reward: 21.0500,                 loss: 0.0024
env1_first_0:                 episode reward: -21.4000,                 loss: nan
env1_second_0:                 episode reward: 21.4000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 1624.15,                last time consumption/overall running time: 333.9048s / 4173.1562 s
env0_first_0:                 episode reward: -20.3500,                 loss: nan
env0_second_0:                 episode reward: 20.3500,                 loss: 0.0020
env1_first_0:                 episode reward: -22.1500,                 loss: nan
env1_second_0:                 episode reward: 22.1500,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 1705.1,                last time consumption/overall running time: 345.5595s / 4518.7156 s
env0_first_0:                 episode reward: -23.1000,                 loss: nan
env0_second_0:                 episode reward: 23.1000,                 loss: 0.0025
env1_first_0:                 episode reward: -22.0000,                 loss: nan
env1_second_0:                 episode reward: 22.0000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 1874.0,                last time consumption/overall running time: 386.0255s / 4904.7412 s
env0_first_0:                 episode reward: -24.6500,                 loss: nan
env0_second_0:                 episode reward: 24.6500,                 loss: nan
env1_first_0:                 episode reward: -24.7000,                 loss: nan
env1_second_0:                 episode reward: 24.7000,                 loss: nan
Score delta: 50.6, save the model to .//data/model/20220114_1944/pettingzoo_tennis_v2_fictitious_selfplay2/235_1.
Episode: 261/10000 (2.6100%),                 avg. length: 6171.8,                last time consumption/overall running time: 1254.6121s / 6159.3533 s
env0_first_0:                 episode reward: 40.2000,                 loss: nan
env0_second_0:                 episode reward: -40.2000,                 loss: nan
env1_first_0:                 episode reward: 31.5000,                 loss: nan
env1_second_0:                 episode reward: -31.5000,                 loss: nan
Score delta: 217.4, save the model to .//data/model/20220114_1944/pettingzoo_tennis_v2_fictitious_selfplay2/256_0.
Episode: 281/10000 (2.8100%),                 avg. length: 3326.45,                last time consumption/overall running time: 684.7541s / 6844.1074 s
env0_first_0:                 episode reward: -17.5000,                 loss: nan
env0_second_0:                 episode reward: 17.5000,                 loss: 0.0041
env1_first_0:                 episode reward: -14.8500,                 loss: nan
env1_second_0:                 episode reward: 14.8500,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 2414.0,                last time consumption/overall running time: 502.4514s / 7346.5588 s
env0_first_0:                 episode reward: -18.6500,                 loss: nan
env0_second_0:                 episode reward: 18.6500,                 loss: 0.0035
env1_first_0:                 episode reward: -18.1500,                 loss: nan
env1_second_0:                 episode reward: 18.1500,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 2089.35,                last time consumption/overall running time: 429.1039s / 7775.6627 s
env0_first_0:                 episode reward: -18.9000,                 loss: nan
env0_second_0:                 episode reward: 18.9000,                 loss: 0.0033
env1_first_0:                 episode reward: -18.4500,                 loss: nan
env1_second_0:                 episode reward: 18.4500,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 1783.55,                last time consumption/overall running time: 363.8766s / 8139.5393 s
env0_first_0:                 episode reward: -20.6000,                 loss: nan
