pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
pong_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [71, 34]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'pong_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220115_0159/pettingzoo_pong_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220115_0159/pettingzoo_pong_v2_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1409.0,                last time consumption/overall running time: 12.5772s / 12.5772 s
env0_first_0:                 episode reward: 8.0000,                 loss: 0.2979
env0_second_0:                 episode reward: -8.0000,                 loss: 0.2648
env1_first_0:                 episode reward: 3.0000,                 loss: nan
env1_second_0:                 episode reward: -3.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1190.5,                last time consumption/overall running time: 185.5699s / 198.1472 s
env0_first_0:                 episode reward: 1.5000,                 loss: 0.3259
env0_second_0:                 episode reward: -1.5000,                 loss: 0.3312
env1_first_0:                 episode reward: -0.5000,                 loss: nan
env1_second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1265.9,                last time consumption/overall running time: 198.2688s / 396.4159 s
env0_first_0:                 episode reward: 4.1500,                 loss: 0.5879
env0_second_0:                 episode reward: -4.1500,                 loss: 0.5895
env1_first_0:                 episode reward: 2.1500,                 loss: nan
env1_second_0:                 episode reward: -2.1500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1252.75,                last time consumption/overall running time: 195.8948s / 592.3107 s
env0_first_0:                 episode reward: 0.6500,                 loss: 0.6657
env0_second_0:                 episode reward: -0.6500,                 loss: 0.6416
env1_first_0:                 episode reward: -3.0500,                 loss: nan
env1_second_0:                 episode reward: 3.0500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1135.55,                last time consumption/overall running time: 178.6518s / 770.9625 s
env0_first_0:                 episode reward: 7.4500,                 loss: 0.5907
env0_second_0:                 episode reward: -7.4500,                 loss: 0.5560
env1_first_0:                 episode reward: 2.5000,                 loss: nan
env1_second_0:                 episode reward: -2.5000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1125.3,                last time consumption/overall running time: 176.1243s / 947.0868 s
env0_first_0:                 episode reward: -0.4000,                 loss: 0.6132
env0_second_0:                 episode reward: 0.4000,                 loss: 0.5725
env1_first_0:                 episode reward: -1.3500,                 loss: nan
env1_second_0:                 episode reward: 1.3500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 1134.5,                last time consumption/overall running time: 178.0972s / 1125.1840 s
env0_first_0:                 episode reward: 1.4500,                 loss: 0.6013
env0_second_0:                 episode reward: -1.4500,                 loss: 0.5630
env1_first_0:                 episode reward: 6.4000,                 loss: nan
env1_second_0:                 episode reward: -6.4000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1175.15,                last time consumption/overall running time: 183.0238s / 1308.2078 s
env0_first_0:                 episode reward: 1.5500,                 loss: 0.5677
env0_second_0:                 episode reward: -1.5500,                 loss: 0.5391
env1_first_0:                 episode reward: 2.1000,                 loss: nan
env1_second_0:                 episode reward: -2.1000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 1268.45,                last time consumption/overall running time: 196.9404s / 1505.1482 s
env0_first_0:                 episode reward: 3.8000,                 loss: 0.5716
env0_second_0:                 episode reward: -3.8000,                 loss: 0.5452
env1_first_0:                 episode reward: 3.5000,                 loss: nan
env1_second_0:                 episode reward: -3.5000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 1253.65,                last time consumption/overall running time: 198.3283s / 1703.4766 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.5691
env0_second_0:                 episode reward: -0.2500,                 loss: 0.5522
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 1178.35,                last time consumption/overall running time: 183.9937s / 1887.4703 s
env0_first_0:                 episode reward: 1.4000,                 loss: 0.5577
env0_second_0:                 episode reward: -1.4000,                 loss: 0.5384
env1_first_0:                 episode reward: 3.3000,                 loss: nan
env1_second_0:                 episode reward: -3.3000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 1203.1,                last time consumption/overall running time: 189.3514s / 2076.8217 s
