pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
SlimeVolley-v0 slimevolley
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [78, 85]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=1024, bias=True)
      (1): Tanh()
      (2): Linear(in_features=1024, out_features=1024, bias=True)
      (3): Tanh()
      (4): Linear(in_features=1024, out_features=1024, bias=True)
      (5): Tanh()
      (6): Linear(in_features=1024, out_features=6, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=1024, bias=True)
      (1): Tanh()
      (2): Linear(in_features=1024, out_features=1024, bias=True)
      (3): Tanh()
      (4): Linear(in_features=1024, out_features=1024, bias=True)
      (5): Tanh()
      (6): Linear(in_features=1024, out_features=6, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'SlimeVolley-v0', 'env_type': 'slimevolley', 'num_envs': 2, 'ram': True, 'seed': 'random', 'against_baseline': False, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 1000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [1024, 1024, 1024], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'eta': 0.1}}
Save models to : /home/zihan/research/MARS/data/model/20220115_0159/slimevolley_SlimeVolley-v0_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20220115_0159/slimevolley_SlimeVolley-v0_nfsp.
Episode: 1/10000 (0.0100%),                 avg. length: 484.0,                last time consumption/overall running time: 2.5999s / 2.5999 s
env0_first_0:                 episode reward: 4.0000,                 loss: nan
env0_second_0:                 episode reward: -4.0000,                 loss: nan
env1_first_0:                 episode reward: -2.0000,                 loss: nan
env1_second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 589.9,                last time consumption/overall running time: 117.4006s / 120.0004 s
env0_first_0:                 episode reward: -0.2000,                 loss: nan
env0_second_0:                 episode reward: 0.2000,                 loss: nan
env1_first_0:                 episode reward: -0.5000,                 loss: nan
env1_second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 574.5,                last time consumption/overall running time: 148.3203s / 268.3208 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0124
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0118
env1_first_0:                 episode reward: -0.3500,                 loss: nan
env1_second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 586.4,                last time consumption/overall running time: 153.4312s / 421.7520 s
env0_first_0:                 episode reward: -0.2500,                 loss: 0.0113
env0_second_0:                 episode reward: 0.2500,                 loss: 0.0121
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 558.35,                last time consumption/overall running time: 146.6983s / 568.4503 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0128
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0111
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 553.3,                last time consumption/overall running time: 145.6290s / 714.0793 s
env0_first_0:                 episode reward: -0.2500,                 loss: 0.0142
env0_second_0:                 episode reward: 0.2500,                 loss: 0.0119
env1_first_0:                 episode reward: 0.8500,                 loss: nan
env1_second_0:                 episode reward: -0.8500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 560.3,                last time consumption/overall running time: 148.0018s / 862.0811 s
env0_first_0:                 episode reward: 0.4000,                 loss: 0.0155
env0_second_0:                 episode reward: -0.4000,                 loss: 0.0133
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 564.05,                last time consumption/overall running time: 149.7350s / 1011.8162 s
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0174
env0_second_0:                 episode reward: -0.4500,                 loss: 0.0154
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 540.1,                last time consumption/overall running time: 143.6970s / 1155.5132 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.0178
env0_second_0:                 episode reward: 0.5500,                 loss: 0.0153
env1_first_0:                 episode reward: -0.1000,                 loss: nan
env1_second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 546.9,                last time consumption/overall running time: 145.9772s / 1301.4904 s
env0_first_0:                 episode reward: -0.5000,                 loss: 0.0187
env0_second_0:                 episode reward: 0.5000,                 loss: 0.0152
env1_first_0:                 episode reward: -0.4500,                 loss: nan
env1_second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 589.55,                last time consumption/overall running time: 157.2516s / 1458.7420 s
env0_first_0:                 episode reward: -0.6500,                 loss: 0.0201
env0_second_0:                 episode reward: 0.6500,                 loss: 0.0165
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 573.2,                last time consumption/overall running time: 153.0947s / 1611.8367 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.0210
env0_second_0:                 episode reward: -0.1000,                 loss: 0.0173
env1_first_0:                 episode reward: 0.0000,                 loss: nan
env1_second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 561.0,                last time consumption/overall running time: 149.7834s / 1761.6201 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0226
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0209
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 597.6,                last time consumption/overall running time: 159.0084s / 1920.6285 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.0229
env0_second_0:                 episode reward: 0.5500,                 loss: 0.0226
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 602.7,                last time consumption/overall running time: 160.5912s / 2081.2198 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0239
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0214
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 555.8,                last time consumption/overall running time: 147.5187s / 2228.7385 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.0231
env0_second_0:                 episode reward: 0.1500,                 loss: 0.0222
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 608.15,                last time consumption/overall running time: 162.5085s / 2391.2470 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0243
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0218
env1_first_0:                 episode reward: -0.5000,                 loss: nan
env1_second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 591.4,                last time consumption/overall running time: 158.7017s / 2549.9487 s
env0_first_0:                 episode reward: 1.1500,                 loss: 0.0254
env0_second_0:                 episode reward: -1.1500,                 loss: 0.0206
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 361/10000 (3.6100%),                 avg. length: 568.3,                last time consumption/overall running time: 151.6787s / 2701.6273 s
env0_first_0:                 episode reward: -0.6500,                 loss: 0.0242
env0_second_0:                 episode reward: 0.6500,                 loss: 0.0205
env1_first_0:                 episode reward: -0.5500,                 loss: nan
env1_second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 381/10000 (3.8100%),                 avg. length: 575.8,                last time consumption/overall running time: 154.0469s / 2855.6742 s
env0_first_0:                 episode reward: -0.4000,                 loss: 0.0239
env0_second_0:                 episode reward: 0.4000,                 loss: 0.0201
env1_first_0:                 episode reward: 1.2000,                 loss: nan
env1_second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 401/10000 (4.0100%),                 avg. length: 599.7,                last time consumption/overall running time: 160.5441s / 3016.2183 s
env0_first_0:                 episode reward: -0.2000,                 loss: 0.0228
env0_second_0:                 episode reward: 0.2000,                 loss: 0.0189
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 421/10000 (4.2100%),                 avg. length: 593.65,                last time consumption/overall running time: 159.5094s / 3175.7277 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0229
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0196
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 441/10000 (4.4100%),                 avg. length: 602.2,                last time consumption/overall running time: 161.6807s / 3337.4084 s
env0_first_0:                 episode reward: -0.0500,                 loss: 0.0243
env0_second_0:                 episode reward: 0.0500,                 loss: 0.0189
env1_first_0:                 episode reward: -0.3000,                 loss: nan
env1_second_0:                 episode reward: 0.3000,                 loss: nan
Episode: 461/10000 (4.6100%),                 avg. length: 564.45,                last time consumption/overall running time: 151.4444s / 3488.8528 s
env0_first_0:                 episode reward: 1.6500,                 loss: 0.0255
env0_second_0:                 episode reward: -1.6500,                 loss: 0.0192
env1_first_0:                 episode reward: 0.7500,                 loss: nan
env1_second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 481/10000 (4.8100%),                 avg. length: 599.45,                last time consumption/overall running time: 159.5491s / 3648.4019 s
env0_first_0:                 episode reward: -1.2000,                 loss: 0.0271
env0_second_0:                 episode reward: 1.2000,                 loss: 0.0201
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 501/10000 (5.0100%),                 avg. length: 660.55,                last time consumption/overall running time: 176.3163s / 3824.7183 s
env0_first_0:                 episode reward: 0.3500,                 loss: 0.0250
env0_second_0:                 episode reward: -0.3500,                 loss: 0.0201
env1_first_0:                 episode reward: 0.0000,                 loss: nan
env1_second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 521/10000 (5.2100%),                 avg. length: 624.4,                last time consumption/overall running time: 167.1889s / 3991.9071 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0250
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0202
env1_first_0:                 episode reward: 0.5000,                 loss: nan
env1_second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 541/10000 (5.4100%),                 avg. length: 598.6,                last time consumption/overall running time: 159.5253s / 4151.4325 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0250
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0186
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 561/10000 (5.6100%),                 avg. length: 636.6,                last time consumption/overall running time: 170.0738s / 4321.5063 s
env0_first_0:                 episode reward: 1.1500,                 loss: 0.0237
env0_second_0:                 episode reward: -1.1500,                 loss: 0.0193
env1_first_0:                 episode reward: 0.8000,                 loss: nan
env1_second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 581/10000 (5.8100%),                 avg. length: 601.55,                last time consumption/overall running time: 159.8833s / 4481.3895 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0228
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0186
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 601/10000 (6.0100%),                 avg. length: 617.25,                last time consumption/overall running time: 164.4719s / 4645.8615 s
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0222
env0_second_0:                 episode reward: -0.4500,                 loss: 0.0201
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 621/10000 (6.2100%),                 avg. length: 636.2,                last time consumption/overall running time: 168.3485s / 4814.2099 s
env0_first_0:                 episode reward: 1.4000,                 loss: 0.0230
env0_second_0:                 episode reward: -1.4000,                 loss: 0.0194
env1_first_0:                 episode reward: 0.7500,                 loss: nan
env1_second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 641/10000 (6.4100%),                 avg. length: 636.3,                last time consumption/overall running time: 169.0949s / 4983.3048 s
env0_first_0:                 episode reward: 1.3500,                 loss: 0.0230
env0_second_0:                 episode reward: -1.3500,                 loss: 0.0189
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 661/10000 (6.6100%),                 avg. length: 610.65,                last time consumption/overall running time: 162.2251s / 5145.5299 s
