pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [30, 55]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220116_0321/pettingzoo_tennis_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220116_0321/pettingzoo_tennis_v2_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 9999.0,                last time consumption/overall running time: 128.8738s / 128.8738 s
env0_first_0:                 episode reward: 22.0000,                 loss: -0.0421
env0_second_0:                 episode reward: -22.0000,                 loss: -0.0462
env1_first_0:                 episode reward: 1.0000,                 loss: nan
env1_second_0:                 episode reward: -1.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 7801.2,                last time consumption/overall running time: 2000.9767s / 2129.8505 s
env0_first_0:                 episode reward: 4.6500,                 loss: -0.0340
env0_second_0:                 episode reward: -4.6500,                 loss: -0.0375
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 4843.3,                last time consumption/overall running time: 1245.0371s / 3374.8876 s
env0_first_0:                 episode reward: 20.5500,                 loss: -0.0532
env0_second_0:                 episode reward: -20.5500,                 loss: -0.0777
env1_first_0:                 episode reward: 5.6000,                 loss: nan
env1_second_0:                 episode reward: -5.6000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 6407.1,                last time consumption/overall running time: 1651.2872s / 5026.1748 s
env0_first_0:                 episode reward: 23.0500,                 loss: -0.0507
env0_second_0:                 episode reward: -23.0500,                 loss: -0.0551
env1_first_0:                 episode reward: 29.9000,                 loss: nan
env1_second_0:                 episode reward: -29.9000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 4970.45,                last time consumption/overall running time: 1287.1783s / 6313.3531 s
env0_first_0:                 episode reward: 18.8500,                 loss: -0.0402
env0_second_0:                 episode reward: -18.8500,                 loss: -0.0651
env1_first_0:                 episode reward: 34.6500,                 loss: nan
env1_second_0:                 episode reward: -34.6500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2794.0,                last time consumption/overall running time: 730.0715s / 7043.4246 s
env0_first_0:                 episode reward: 15.6000,                 loss: -0.0762
env0_second_0:                 episode reward: -15.6000,                 loss: -0.0969
env1_first_0:                 episode reward: 14.5500,                 loss: nan
env1_second_0:                 episode reward: -14.5500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 3559.45,                last time consumption/overall running time: 929.4633s / 7972.8879 s
env0_first_0:                 episode reward: 28.2500,                 loss: -0.1088
