2022-01-16 20:42:50.964357: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-16 20:42:50.964507: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-16 20:42:50.964520: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
pygame 2.0.1 (SDL 2.0.14, Python 3.6.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 12.0, (1,), float32) action space: Discrete(3)
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7fc2acd9cdd8>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=3, bias=True)
    )
  )
)
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=3, bias=True)
    )
  )
)
Agents No. [0] (index starting from 0) are not learnable.
Load meta strategy:  [[0.016 0.016 0.016 ... 0.016 0.016 0.016]
 [0.016 0.016 0.016 ... 0.016 0.016 0.016]]
Load checkpoints (policy family):  [['88' '1915' '4963' ... '48477' '49003' '49334']
 ['144' '2004' '5072' ... '48519' '49029' '49442']]
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 1, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'update_itr': 1}, 'batch_size': 640, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'cpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220116200302/epi_50000/', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True, 'selfplay_score_delta': 1.5, 'trainable_agent_idx': 0, 'opponent_idx': 1}, 'against_baseline': False}
Save models to : /home/quantumiracle/research/MARS/data/model/20220116200302_exploit_50000/mdp_arbitrary_mdp_fictitious_selfplay2. 
 Save logs to: /home/quantumiracle/research/MARS/data/log/20220116200302_exploit_50000/mdp_arbitrary_mdp_fictitious_selfplay2.
Episode: 1/10000 (0.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 1.8836s / 1.8836 s
agent0:                 episode reward: -1.7017,                 loss: nan
agent1:                 episode reward: 1.7017,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 6.9716s / 8.8552 s
agent0:                 episode reward: -0.0457,                 loss: nan
agent1:                 episode reward: 0.0457,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 7.2214s / 16.0766 s
agent0:                 episode reward: -0.1154,                 loss: nan
agent1:                 episode reward: 0.1154,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 7.1278s / 23.2044 s
agent0:                 episode reward: -0.2535,                 loss: nan
agent1:                 episode reward: 0.2535,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 7.3592s / 30.5636 s
agent0:                 episode reward: -0.1369,                 loss: nan
agent1:                 episode reward: 0.1369,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 8.4553s / 39.0188 s
agent0:                 episode reward: 0.7449,                 loss: nan
agent1:                 episode reward: -0.7449,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 7.8840s / 46.9028 s
agent0:                 episode reward: 0.1029,                 loss: nan
agent1:                 episode reward: -0.1029,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 8.3871s / 55.2899 s
agent0:                 episode reward: 0.0303,                 loss: nan
agent1:                 episode reward: -0.0303,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 7.9517s / 63.2416 s
agent0:                 episode reward: 0.0873,                 loss: nan
agent1:                 episode reward: -0.0873,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 8.1265s / 71.3681 s
agent0:                 episode reward: 0.2125,                 loss: nan
agent1:                 episode reward: -0.2125,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 7.9476s / 79.3157 s
agent0:                 episode reward: -0.1542,                 loss: nan
agent1:                 episode reward: 0.1542,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 71.9800s / 151.2957 s
agent0:                 episode reward: 0.0435,                 loss: nan
agent1:                 episode reward: -0.0435,                 loss: 0.2115
Episode: 241/10000 (2.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 165.3837s / 316.6794 s
agent0:                 episode reward: 0.3806,                 loss: nan
agent1:                 episode reward: -0.3806,                 loss: 0.1884
Episode: 261/10000 (2.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 157.6399s / 474.3193 s
agent0:                 episode reward: 0.2052,                 loss: nan
agent1:                 episode reward: -0.2052,                 loss: 0.1698
Episode: 281/10000 (2.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 155.7282s / 630.0474 s
agent0:                 episode reward: -0.2840,                 loss: nan
agent1:                 episode reward: 0.2840,                 loss: 0.1641
Episode: 301/10000 (3.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 158.0039s / 788.0514 s
agent0:                 episode reward: -0.0975,                 loss: nan
agent1:                 episode reward: 0.0975,                 loss: 0.1583
Episode: 321/10000 (3.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 157.5922s / 945.6436 s
agent0:                 episode reward: 0.5633,                 loss: nan
agent1:                 episode reward: -0.5633,                 loss: 0.1594
Episode: 341/10000 (3.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 153.9410s / 1099.5845 s
agent0:                 episode reward: 0.0063,                 loss: nan
agent1:                 episode reward: -0.0063,                 loss: 0.1551
Episode: 361/10000 (3.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 157.1547s / 1256.7393 s
agent0:                 episode reward: 0.1387,                 loss: nan
