2022-01-18 16:04:42.354126: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-18 16:04:42.354218: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-18 16:04:42.354225: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
pygame 2.0.1 (SDL 2.0.14, Python 3.6.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 12.0, (1,), float32) action space: Discrete(3)
random seed: 91
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7f7d72ca6dd8>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=3, bias=True)
    )
  )
)
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=3, bias=True)
    )
  )
)
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  data/model/20220118120400/mdp_arbitrary_mdp_nash_dqn/10000_0
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 1.0, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.0, 'eps_decay': 30000, 'exploiter_update_itr': 1, 'update_itr': 1}, 'batch_size': 640, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220118120400/mdp_arbitrary_mdp_nash_dqn/10000_0', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 1000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/quantumiracle/research/MARS/data/model/20220118120400_exploit_10000/mdp_arbitrary_mdp_nash_dqn. 
 Save logs to: /home/quantumiracle/research/MARS/data/log/20220118120400_exploit_10000/mdp_arbitrary_mdp_nash_dqn.
Episode: 1/30000 (0.0033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.9503s / 0.9503 s
agent0:                 episode reward: 0.1018,                 loss: nan
agent1:                 episode reward: -0.1018,                 loss: nan
Episode: 11/30000 (0.0367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.5045s / 1.4548 s
agent0:                 episode reward: -0.3985,                 loss: nan
agent1:                 episode reward: 0.3985,                 loss: nan
Episode: 21/30000 (0.0700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4725s / 1.9273 s
agent0:                 episode reward: -0.2572,                 loss: nan
agent1:                 episode reward: 0.2572,                 loss: nan
Episode: 31/30000 (0.1033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4722s / 2.3995 s
agent0:                 episode reward: 0.1356,                 loss: nan
agent1:                 episode reward: -0.1356,                 loss: nan
Episode: 41/30000 (0.1367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4727s / 2.8722 s
agent0:                 episode reward: 0.4127,                 loss: nan
agent1:                 episode reward: -0.4127,                 loss: nan
Episode: 51/30000 (0.1700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4849s / 3.3571 s
agent0:                 episode reward: -0.0889,                 loss: nan
agent1:                 episode reward: 0.0889,                 loss: nan
Episode: 61/30000 (0.2033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.5758s / 3.9329 s
agent0:                 episode reward: -0.6681,                 loss: nan
agent1:                 episode reward: 0.6681,                 loss: nan
Episode: 71/30000 (0.2367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4713s / 4.4042 s
agent0:                 episode reward: 0.0181,                 loss: nan
agent1:                 episode reward: -0.0181,                 loss: nan
Episode: 81/30000 (0.2700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4696s / 4.8738 s
agent0:                 episode reward: -0.0136,                 loss: nan
agent1:                 episode reward: 0.0136,                 loss: nan
Episode: 91/30000 (0.3033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4690s / 5.3428 s
agent0:                 episode reward: 0.2504,                 loss: nan
agent1:                 episode reward: -0.2504,                 loss: nan
Episode: 101/30000 (0.3367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4965s / 5.8393 s
agent0:                 episode reward: 0.0528,                 loss: nan
agent1:                 episode reward: -0.0528,                 loss: nan
Episode: 111/30000 (0.3700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4680s / 6.3073 s
agent0:                 episode reward: -0.3483,                 loss: nan
agent1:                 episode reward: 0.3483,                 loss: nan
Episode: 121/30000 (0.4033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4744s / 6.7817 s
agent0:                 episode reward: -0.1192,                 loss: nan
agent1:                 episode reward: 0.1192,                 loss: nan
Episode: 131/30000 (0.4367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4687s / 7.2504 s
agent0:                 episode reward: 0.1177,                 loss: nan
agent1:                 episode reward: -0.1177,                 loss: nan
Episode: 141/30000 (0.4700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4683s / 7.7188 s
agent0:                 episode reward: 0.3216,                 loss: nan
agent1:                 episode reward: -0.3216,                 loss: nan
Episode: 151/30000 (0.5033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4759s / 8.1946 s
agent0:                 episode reward: 0.0475,                 loss: nan
agent1:                 episode reward: -0.0475,                 loss: nan
Episode: 161/30000 (0.5367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4695s / 8.6641 s
agent0:                 episode reward: -0.5553,                 loss: nan
agent1:                 episode reward: 0.5553,                 loss: nan
Episode: 171/30000 (0.5700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4716s / 9.1357 s
agent0:                 episode reward: -0.0849,                 loss: nan
agent1:                 episode reward: 0.0849,                 loss: nan
Episode: 181/30000 (0.6033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4745s / 9.6102 s
agent0:                 episode reward: -0.2327,                 loss: nan
