pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'selfplay_score_delta': 80, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20220119_0524/pettingzoo_boxing_v1_fictitious_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_0524/pettingzoo_boxing_v1_fictitious_selfplay2.
Episode: 1/10000 (0.0100%),                 avg. length: 1784.0,                last time consumption/overall running time: 27.5629s / 27.5629 s
env0_first_0:                 episode reward: 6.0000,                 loss: 0.0007
env0_second_0:                 episode reward: -6.0000,                 loss: nan
env1_first_0:                 episode reward: 2.0000,                 loss: nan
env1_second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1582.85,                last time consumption/overall running time: 630.9470s / 658.5099 s
env0_first_0:                 episode reward: 39.0000,                 loss: 0.0139
env0_second_0:                 episode reward: -39.0000,                 loss: nan
env1_first_0:                 episode reward: 43.9000,                 loss: nan
env1_second_0:                 episode reward: -43.9000,                 loss: nan
Score delta: 101.6, save the model to .//data/model/20220119_0524/pettingzoo_boxing_v1_fictitious_selfplay2/21_0.
Episode: 41/10000 (0.4100%),                 avg. length: 1674.65,                last time consumption/overall running time: 738.4025s / 1396.9124 s
env0_first_0:                 episode reward: -21.1000,                 loss: nan
env0_second_0:                 episode reward: 21.1000,                 loss: 0.0366
env1_first_0:                 episode reward: -21.3000,                 loss: nan
env1_second_0:                 episode reward: 21.3000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1666.1,                last time consumption/overall running time: 747.2452s / 2144.1576 s
env0_first_0:                 episode reward: -36.4500,                 loss: 0.0320
env0_second_0:                 episode reward: 36.4500,                 loss: 0.0510
env1_first_0:                 episode reward: -39.6500,                 loss: nan
env1_second_0:                 episode reward: 39.6500,                 loss: nan
Score delta: 80.8, save the model to .//data/model/20220119_0524/pettingzoo_boxing_v1_fictitious_selfplay2/46_1.
Episode: 81/10000 (0.8100%),                 avg. length: 1784.0,                last time consumption/overall running time: 805.8827s / 2950.0403 s
env0_first_0:                 episode reward: 9.5500,                 loss: 0.0384
env0_second_0:                 episode reward: -9.5500,                 loss: nan
env1_first_0:                 episode reward: 8.9000,                 loss: nan
env1_second_0:                 episode reward: -8.9000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1508.25,                last time consumption/overall running time: 682.1540s / 3632.1943 s
env0_first_0:                 episode reward: 10.3000,                 loss: 0.0383
env0_second_0:                 episode reward: -10.3000,                 loss: 0.0556
env1_first_0:                 episode reward: 15.7000,                 loss: nan
env1_second_0:                 episode reward: -15.7000,                 loss: nan
Score delta: 88.0, save the model to .//data/model/20220119_0524/pettingzoo_boxing_v1_fictitious_selfplay2/85_0.
Episode: 121/10000 (1.2100%),                 avg. length: 1567.9,                last time consumption/overall running time: 709.8674s / 4342.0617 s
env0_first_0:                 episode reward: -28.8500,                 loss: 0.0615
env0_second_0:                 episode reward: 28.8500,                 loss: 0.0498
env1_first_0:                 episode reward: -22.5000,                 loss: nan
env1_second_0:                 episode reward: 22.5000,                 loss: nan
Score delta: 85.0, save the model to .//data/model/20220119_0524/pettingzoo_boxing_v1_fictitious_selfplay2/120_1.
