pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220119_0524/pettingzoo_surround_v1_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_0524/pettingzoo_surround_v1_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1459.0,                last time consumption/overall running time: 17.3892s / 17.3892 s
env0_first_0:                 episode reward: 3.0000,                 loss: -0.0323
env0_second_0:                 episode reward: -3.0000,                 loss: -0.0123
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1485.65,                last time consumption/overall running time: 420.0521s / 437.4413 s
env0_first_0:                 episode reward: 2.1000,                 loss: -0.0394
env0_second_0:                 episode reward: -2.1000,                 loss: -0.0391
env1_first_0:                 episode reward: 1.4000,                 loss: nan
env1_second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1752.95,                last time consumption/overall running time: 561.2982s / 998.7395 s
env0_first_0:                 episode reward: -1.6500,                 loss: -0.0438
env0_second_0:                 episode reward: 1.6500,                 loss: -0.0413
env1_first_0:                 episode reward: -1.1500,                 loss: nan
env1_second_0:                 episode reward: 1.1500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1921.15,                last time consumption/overall running time: 613.0897s / 1611.8292 s
env0_first_0:                 episode reward: -2.5000,                 loss: -0.0510
env0_second_0:                 episode reward: 2.5000,                 loss: -0.0528
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2138.75,                last time consumption/overall running time: 682.1754s / 2294.0045 s
env0_first_0:                 episode reward: -0.1000,                 loss: -0.0567
env0_second_0:                 episode reward: 0.1000,                 loss: -0.0585
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2290.5,                last time consumption/overall running time: 729.2309s / 3023.2354 s
env0_first_0:                 episode reward: 0.0000,                 loss: -0.0478
env0_second_0:                 episode reward: 0.0000,                 loss: -0.0490
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2250.8,                last time consumption/overall running time: 715.6630s / 3738.8985 s
env0_first_0:                 episode reward: 0.1000,                 loss: -0.0541
env0_second_0:                 episode reward: -0.1000,                 loss: -0.0538
env1_first_0:                 episode reward: 0.0500,                 loss: nan
env1_second_0:                 episode reward: -0.0500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2516.95,                last time consumption/overall running time: 797.2383s / 4536.1368 s
env0_first_0:                 episode reward: -1.2000,                 loss: -0.0660
env0_second_0:                 episode reward: 1.2000,                 loss: -0.0657
env1_first_0:                 episode reward: 0.4500,                 loss: nan
env1_second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2081.95,                last time consumption/overall running time: 665.3262s / 5201.4630 s
env0_first_0:                 episode reward: -4.4000,                 loss: -0.0928
env0_second_0:                 episode reward: 4.4000,                 loss: -0.0911
env1_first_0:                 episode reward: -3.3500,                 loss: nan
env1_second_0:                 episode reward: 3.3500,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2351.6,                last time consumption/overall running time: 748.1254s / 5949.5883 s
