pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=5, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=5, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220119_0526/pettingzoo_surround_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_0526/pettingzoo_surround_v1_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 1628.0,                last time consumption/overall running time: 31.5620s / 31.5620 s
env0_first_0:                 episode reward: -2.0000,                 loss: 0.0096
env0_second_0:                 episode reward: 2.0000,                 loss: 0.0103
env1_first_0:                 episode reward: 1.0000,                 loss: nan
env1_second_0:                 episode reward: -1.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1380.95,                last time consumption/overall running time: 711.6318s / 743.1939 s
env0_first_0:                 episode reward: -1.3500,                 loss: 0.0097
env0_second_0:                 episode reward: 1.3500,                 loss: 0.0096
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1496.25,                last time consumption/overall running time: 1010.9210s / 1754.1149 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0096
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0096
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1466.55,                last time consumption/overall running time: 1080.1875s / 2834.3024 s
env0_first_0:                 episode reward: -1.1500,                 loss: 0.0097
env0_second_0:                 episode reward: 1.1500,                 loss: 0.0096
env1_first_0:                 episode reward: -0.8000,                 loss: nan
env1_second_0:                 episode reward: 0.8000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1471.85,                last time consumption/overall running time: 1115.7816s / 3950.0840 s
env0_first_0:                 episode reward: 0.7000,                 loss: 0.0097
env0_second_0:                 episode reward: -0.7000,                 loss: 0.0098
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1462.0,                last time consumption/overall running time: 1121.6968s / 5071.7809 s
env0_first_0:                 episode reward: -0.4000,                 loss: 0.0099
env0_second_0:                 episode reward: 0.4000,                 loss: 0.0094
env1_first_0:                 episode reward: -1.7000,                 loss: nan
env1_second_0:                 episode reward: 1.7000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 1440.55,                last time consumption/overall running time: 1116.3192s / 6188.1001 s
env0_first_0:                 episode reward: -0.7500,                 loss: 0.0097
env0_second_0:                 episode reward: 0.7500,                 loss: 0.0095
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1491.8,                last time consumption/overall running time: 1153.1843s / 7341.2844 s
env0_first_0:                 episode reward: 0.0000,                 loss: 0.0092
env0_second_0:                 episode reward: 0.0000,                 loss: 0.0094
env1_first_0:                 episode reward: 0.7500,                 loss: nan
env1_second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 1510.05,                last time consumption/overall running time: 1176.2614s / 8517.5459 s
env0_first_0:                 episode reward: -0.3000,                 loss: 0.0094
env0_second_0:                 episode reward: 0.3000,                 loss: 0.0093
env1_first_0:                 episode reward: 0.2000,                 loss: nan
env1_second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 1422.35,                last time consumption/overall running time: 1111.1471s / 9628.6929 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.0093
env0_second_0:                 episode reward: -1.0000,                 loss: 0.0093
env1_first_0:                 episode reward: 0.5000,                 loss: nan
env1_second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 1506.2,                last time consumption/overall running time: 1165.6915s / 10794.3844 s
env0_first_0:                 episode reward: -0.9000,                 loss: 0.0096
env0_second_0:                 episode reward: 0.9000,                 loss: 0.0095
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 1516.95,                last time consumption/overall running time: 1180.9547s / 11975.3391 s
env0_first_0:                 episode reward: -0.2500,                 loss: 0.0097
env0_second_0:                 episode reward: 0.2500,                 loss: 0.0097
env1_first_0:                 episode reward: 0.4000,                 loss: nan
env1_second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 1484.8,                last time consumption/overall running time: 1150.0231s / 13125.3622 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0092
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0091
env1_first_0:                 episode reward: 0.4500,                 loss: nan
env1_second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 1542.05,                last time consumption/overall running time: 1201.4636s / 14326.8258 s
env0_first_0:                 episode reward: -0.7500,                 loss: 0.0093
env0_second_0:                 episode reward: 0.7500,                 loss: 0.0095
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 1439.75,                last time consumption/overall running time: 1120.4265s / 15447.2524 s
env0_first_0:                 episode reward: 0.7500,                 loss: 0.0091
env0_second_0:                 episode reward: -0.7500,                 loss: 0.0093
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 1451.9,                last time consumption/overall running time: 1133.7016s / 16580.9539 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0095
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0091
env1_first_0:                 episode reward: -0.7500,                 loss: nan
env1_second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 1435.3,                last time consumption/overall running time: 1115.8210s / 17696.7749 s
env0_first_0:                 episode reward: -0.6500,                 loss: 0.0094
env0_second_0:                 episode reward: 0.6500,                 loss: 0.0092
env1_first_0:                 episode reward: 2.9000,                 loss: nan
env1_second_0:                 episode reward: -2.9000,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 1448.15,                last time consumption/overall running time: 1125.6817s / 18822.4566 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0094
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0094
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 361/10000 (3.6100%),                 avg. length: 1446.8,                last time consumption/overall running time: 1129.2678s / 19951.7244 s
