2022-01-19 13:17:47.092596: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-19 13:17:47.092682: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-19 13:17:47.092688: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
pygame 2.0.1 (SDL 2.0.14, Python 3.6.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 12.0, (1,), float32) action space: Discrete(3)
random seed: 91
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7f7a2fe4e0b8>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=3, bias=True)
    )
  )
)
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=3, bias=True)
    )
  )
)
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  data/model/20220117101415/mdp_arbitrary_mdp_nash_dqn/20000_0
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 1.0, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.0, 'eps_decay': 30000, 'exploiter_update_itr': 1}, 'batch_size': 640, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220117101415/mdp_arbitrary_mdp_nash_dqn/20000_0', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 1000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/quantumiracle/research/MARS/data/model/20220117101415_exploit_20000/mdp_arbitrary_mdp_nash_dqn. 
 Save logs to: /home/quantumiracle/research/MARS/data/log/20220117101415_exploit_20000/mdp_arbitrary_mdp_nash_dqn.
Episode: 1/30000 (0.0033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.8236s / 0.8236 s
agent0:                 episode reward: -1.5431,                 loss: nan
agent1:                 episode reward: 1.5431,                 loss: nan
Episode: 11/30000 (0.0367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2745s / 1.0981 s
agent0:                 episode reward: -0.5738,                 loss: nan
agent1:                 episode reward: 0.5738,                 loss: nan
Episode: 21/30000 (0.0700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2950s / 1.3931 s
agent0:                 episode reward: -0.3094,                 loss: nan
agent1:                 episode reward: 0.3094,                 loss: nan
Episode: 31/30000 (0.1033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2863s / 1.6794 s
agent0:                 episode reward: 0.2438,                 loss: nan
agent1:                 episode reward: -0.2438,                 loss: nan
Episode: 41/30000 (0.1367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2764s / 1.9558 s
agent0:                 episode reward: 0.3051,                 loss: nan
agent1:                 episode reward: -0.3051,                 loss: nan
Episode: 51/30000 (0.1700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2801s / 2.2360 s
agent0:                 episode reward: -0.6283,                 loss: nan
agent1:                 episode reward: 0.6283,                 loss: nan
Episode: 61/30000 (0.2033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2627s / 2.4987 s
agent0:                 episode reward: 0.1900,                 loss: nan
agent1:                 episode reward: -0.1900,                 loss: nan
Episode: 71/30000 (0.2367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2576s / 2.7563 s
agent0:                 episode reward: 0.7018,                 loss: nan
agent1:                 episode reward: -0.7018,                 loss: nan
Episode: 81/30000 (0.2700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2622s / 3.0185 s
agent0:                 episode reward: -0.2749,                 loss: nan
agent1:                 episode reward: 0.2749,                 loss: nan
Episode: 91/30000 (0.3033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2576s / 3.2761 s
agent0:                 episode reward: -0.2676,                 loss: nan
agent1:                 episode reward: 0.2676,                 loss: nan
Episode: 101/30000 (0.3367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2606s / 3.5367 s
agent0:                 episode reward: 0.1773,                 loss: nan
agent1:                 episode reward: -0.1773,                 loss: nan
Episode: 111/30000 (0.3700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2556s / 3.7924 s
agent0:                 episode reward: 0.1975,                 loss: nan
agent1:                 episode reward: -0.1975,                 loss: nan
Episode: 121/30000 (0.4033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2551s / 4.0475 s
agent0:                 episode reward: -0.1865,                 loss: nan
agent1:                 episode reward: 0.1865,                 loss: nan
Episode: 131/30000 (0.4367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2600s / 4.3075 s
agent0:                 episode reward: -0.3051,                 loss: nan
agent1:                 episode reward: 0.3051,                 loss: nan
Episode: 141/30000 (0.4700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2562s / 4.5637 s
agent0:                 episode reward: 0.0478,                 loss: nan
agent1:                 episode reward: -0.0478,                 loss: nan
Episode: 151/30000 (0.5033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2601s / 4.8238 s
agent0:                 episode reward: 0.1528,                 loss: nan
agent1:                 episode reward: -0.1528,                 loss: nan
Episode: 161/30000 (0.5367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2551s / 5.0789 s
agent0:                 episode reward: 0.0042,                 loss: nan
agent1:                 episode reward: -0.0042,                 loss: nan
Episode: 171/30000 (0.5700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2599s / 5.3388 s
agent0:                 episode reward: -0.0309,                 loss: nan
agent1:                 episode reward: 0.0309,                 loss: nan
Episode: 181/30000 (0.6033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2595s / 5.5982 s
agent0:                 episode reward: 0.5348,                 loss: nan
agent1:                 episode reward: -0.5348,                 loss: nan
Episode: 191/30000 (0.6367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2557s / 5.8540 s
agent0:                 episode reward: 0.3993,                 loss: nan
agent1:                 episode reward: -0.3993,                 loss: nan
Episode: 201/30000 (0.6700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2599s / 6.1138 s
agent0:                 episode reward: 0.4532,                 loss: nan
agent1:                 episode reward: -0.4532,                 loss: nan
Episode: 211/30000 (0.7033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.2608s / 6.3746 s
agent0:                 episode reward: 0.1891,                 loss: nan
agent1:                 episode reward: -0.1891,                 loss: nan
Episode: 221/30000 (0.7367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3061s / 6.6807 s
agent0:                 episode reward: 0.8703,                 loss: nan
agent1:                 episode reward: -0.8703,                 loss: 0.2320
Episode: 231/30000 (0.7700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3216s / 7.0023 s
agent0:                 episode reward: -0.2794,                 loss: nan
agent1:                 episode reward: 0.2794,                 loss: 0.2116
Episode: 241/30000 (0.8033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3164s / 7.3188 s
agent0:                 episode reward: 0.0760,                 loss: nan
agent1:                 episode reward: -0.0760,                 loss: 0.1981
Episode: 251/30000 (0.8367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3165s / 7.6352 s
agent0:                 episode reward: -0.1015,                 loss: nan
agent1:                 episode reward: 0.1015,                 loss: 0.1859
Episode: 261/30000 (0.8700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3838s / 8.0190 s
agent0:                 episode reward: -0.1626,                 loss: nan
agent1:                 episode reward: 0.1626,                 loss: 0.1785
Episode: 271/30000 (0.9033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3347s / 8.3537 s
agent0:                 episode reward: -0.0579,                 loss: nan
agent1:                 episode reward: 0.0579,                 loss: 0.1778
Episode: 281/30000 (0.9367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3203s / 8.6739 s
agent0:                 episode reward: 0.3060,                 loss: nan
agent1:                 episode reward: -0.3060,                 loss: 0.1749
Episode: 291/30000 (0.9700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3218s / 8.9957 s
agent0:                 episode reward: 0.0217,                 loss: nan
agent1:                 episode reward: -0.0217,                 loss: 0.1737
Episode: 301/30000 (1.0033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3198s / 9.3155 s
agent0:                 episode reward: 0.2403,                 loss: nan
agent1:                 episode reward: -0.2403,                 loss: 0.1703
Episode: 311/30000 (1.0367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3225s / 9.6381 s
agent0:                 episode reward: 0.0391,                 loss: nan
agent1:                 episode reward: -0.0391,                 loss: 0.1691
Episode: 321/30000 (1.0700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3399s / 9.9780 s
agent0:                 episode reward: 0.7680,                 loss: nan
agent1:                 episode reward: -0.7680,                 loss: 0.1683
Episode: 331/30000 (1.1033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3193s / 10.2973 s
agent0:                 episode reward: -0.2303,                 loss: nan
agent1:                 episode reward: 0.2303,                 loss: 0.1669
Episode: 341/30000 (1.1367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3174s / 10.6147 s
agent0:                 episode reward: -0.1127,                 loss: nan
agent1:                 episode reward: 0.1127,                 loss: 0.1664
Episode: 351/30000 (1.1700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3228s / 10.9375 s
agent0:                 episode reward: -0.2456,                 loss: nan
agent1:                 episode reward: 0.2456,                 loss: 0.1648
Episode: 361/30000 (1.2033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3199s / 11.2574 s
agent0:                 episode reward: -0.0283,                 loss: nan
agent1:                 episode reward: 0.0283,                 loss: 0.1627
Episode: 371/30000 (1.2367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3188s / 11.5762 s
agent0:                 episode reward: -0.0573,                 loss: nan
agent1:                 episode reward: 0.0573,                 loss: 0.1639
Episode: 381/30000 (1.2700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3119s / 11.8881 s
agent0:                 episode reward: -0.0383,                 loss: nan
agent1:                 episode reward: 0.0383,                 loss: 0.1636
Episode: 391/30000 (1.3033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3139s / 12.2020 s
agent0:                 episode reward: 0.3051,                 loss: nan
agent1:                 episode reward: -0.3051,                 loss: 0.1615
Episode: 401/30000 (1.3367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3143s / 12.5163 s
agent0:                 episode reward: -0.2403,                 loss: nan
agent1:                 episode reward: 0.2403,                 loss: 0.1599
Episode: 411/30000 (1.3700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3188s / 12.8351 s
agent0:                 episode reward: 0.2774,                 loss: nan
agent1:                 episode reward: -0.2774,                 loss: 0.1601
Episode: 421/30000 (1.4033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3158s / 13.1509 s
agent0:                 episode reward: -0.5158,                 loss: nan
agent1:                 episode reward: 0.5158,                 loss: 0.1607
Episode: 431/30000 (1.4367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3196s / 13.4705 s
agent0:                 episode reward: -0.6738,                 loss: nan
agent1:                 episode reward: 0.6738,                 loss: 0.1606
Episode: 441/30000 (1.4700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3179s / 13.7884 s
agent0:                 episode reward: -0.0521,                 loss: nan
agent1:                 episode reward: 0.0521,                 loss: 0.1607
Episode: 451/30000 (1.5033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3138s / 14.1022 s
agent0:                 episode reward: 0.6658,                 loss: nan
agent1:                 episode reward: -0.6658,                 loss: 0.1613
Episode: 461/30000 (1.5367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3257s / 14.4279 s
agent0:                 episode reward: 0.1904,                 loss: nan
agent1:                 episode reward: -0.1904,                 loss: 0.1612
Episode: 471/30000 (1.5700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3171s / 14.7450 s
agent0:                 episode reward: 0.2244,                 loss: nan
agent1:                 episode reward: -0.2244,                 loss: 0.1614
Episode: 481/30000 (1.6033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3164s / 15.0614 s
agent0:                 episode reward: -0.1313,                 loss: nan
agent1:                 episode reward: 0.1313,                 loss: 0.1609
Episode: 491/30000 (1.6367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3150s / 15.3764 s
agent0:                 episode reward: -0.1644,                 loss: nan
agent1:                 episode reward: 0.1644,                 loss: 0.1598
Episode: 501/30000 (1.6700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3160s / 15.6924 s
agent0:                 episode reward: -0.2759,                 loss: nan
agent1:                 episode reward: 0.2759,                 loss: 0.1591
Episode: 511/30000 (1.7033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3163s / 16.0088 s
agent0:                 episode reward: -0.4736,                 loss: nan
agent1:                 episode reward: 0.4736,                 loss: 0.1604
Episode: 521/30000 (1.7367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3140s / 16.3227 s
agent0:                 episode reward: -0.0816,                 loss: nan
agent1:                 episode reward: 0.0816,                 loss: 0.1602
Episode: 531/30000 (1.7700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3258s / 16.6485 s
agent0:                 episode reward: -0.1751,                 loss: nan
agent1:                 episode reward: 0.1751,                 loss: 0.1596
Episode: 541/30000 (1.8033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3181s / 16.9666 s
agent0:                 episode reward: -0.1896,                 loss: nan
agent1:                 episode reward: 0.1896,                 loss: 0.1588
Episode: 551/30000 (1.8367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.3226s / 17.2892 s
agent0:                 episode reward: -0.4986,                 loss: nan
agent1:                 episode reward: 0.4986,                 loss: 0.1686
