pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
double_dunk_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'double_dunk_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False, 'eta': 0.1}}
Save models to : /home/zihan/research/MARS/data/model/20220119_1545/pettingzoo_double_dunk_v2_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_1545/pettingzoo_double_dunk_v2_nfsp.
Episode: 1/10000 (0.0100%),                 avg. length: 3353.0,                last time consumption/overall running time: 21.9030s / 21.9030 s
env0_first_0:                 episode reward: -25.0000,                 loss: nan
env0_second_0:                 episode reward: 25.0000,                 loss: nan
env1_first_0:                 episode reward: -13.0000,                 loss: nan
env1_second_0:                 episode reward: 13.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 5375.9,                last time consumption/overall running time: 4474.3693s / 4496.2723 s
env0_first_0:                 episode reward: -17.5000,                 loss: 0.0077
env0_second_0:                 episode reward: 17.5000,                 loss: 0.0091
env1_first_0:                 episode reward: -15.8500,                 loss: nan
env1_second_0:                 episode reward: 15.8500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 3755.0,                last time consumption/overall running time: 3385.5055s / 7881.7778 s
env0_first_0:                 episode reward: -6.4000,                 loss: 0.0054
env0_second_0:                 episode reward: 6.4000,                 loss: 0.0059
env1_first_0:                 episode reward: -3.7000,                 loss: nan
env1_second_0:                 episode reward: 3.7000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2072.35,                last time consumption/overall running time: 1865.7517s / 9747.5295 s
env0_first_0:                 episode reward: -1.8000,                 loss: 0.0041
env0_second_0:                 episode reward: 1.8000,                 loss: 0.0044
env1_first_0:                 episode reward: 1.5000,                 loss: nan
env1_second_0:                 episode reward: -1.5000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2017.35,                last time consumption/overall running time: 1815.7380s / 11563.2675 s
env0_first_0:                 episode reward: -3.3500,                 loss: 0.0033
env0_second_0:                 episode reward: 3.3500,                 loss: 0.0041
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1735.45,                last time consumption/overall running time: 1565.1295s / 13128.3970 s
env0_first_0:                 episode reward: -0.4500,                 loss: 0.0030
env0_second_0:                 episode reward: 0.4500,                 loss: 0.0034
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 1833.3,                last time consumption/overall running time: 1653.7088s / 14782.1058 s
env0_first_0:                 episode reward: -0.6000,                 loss: 0.0030
env0_second_0:                 episode reward: 0.6000,                 loss: 0.0032
env1_first_0:                 episode reward: -0.7500,                 loss: nan
env1_second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1828.9,                last time consumption/overall running time: 1648.7982s / 16430.9040 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.0027
env0_second_0:                 episode reward: 0.5500,                 loss: 0.0030
env1_first_0:                 episode reward: -0.9500,                 loss: nan
env1_second_0:                 episode reward: 0.9500,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 1772.35,                last time consumption/overall running time: 1598.1120s / 18029.0160 s
env0_first_0:                 episode reward: -1.6000,                 loss: 0.0025
env0_second_0:                 episode reward: 1.6000,                 loss: 0.0028
