2022-01-20 12:21:46.339370: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-20 12:21:46.339475: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-20 12:21:46.339482: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
pygame 2.0.1 (SDL 2.0.14, Python 3.6.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 12.0, (1,), float32) action space: Discrete(3)
random seed: 91
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7f5acb76ad30>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=64, bias=True)
      (1): ReLU()
      (2): Linear(in_features=64, out_features=64, bias=True)
      (3): ReLU()
      (4): Linear(in_features=64, out_features=64, bias=True)
      (5): ReLU()
      (6): Linear(in_features=64, out_features=3, bias=True)
    )
  )
)
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  data/model/20220119215336/mdp_arbitrary_mdp_nash_ppo/40000_1
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 640, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220119215336/mdp_arbitrary_mdp_nash_ppo/40000_1', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 1000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/quantumiracle/research/MARS/data/model/20220119215336_exploit_40000_1/mdp_arbitrary_mdp_nash_ppo. 
 Save logs to: /home/quantumiracle/research/MARS/data/log/20220119215336_exploit_40000_1/mdp_arbitrary_mdp_nash_ppo.
Episode: 1/30000 (0.0033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.8306s / 0.8306 s
agent0:                 episode reward: 0.3673,                 loss: nan
agent1:                 episode reward: -0.3673,                 loss: nan
Episode: 11/30000 (0.0367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0229s / 0.8535 s
agent0:                 episode reward: -0.3753,                 loss: nan
agent1:                 episode reward: 0.3753,                 loss: nan
Episode: 21/30000 (0.0700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0193s / 0.8728 s
agent0:                 episode reward: -0.2463,                 loss: nan
agent1:                 episode reward: 0.2463,                 loss: nan
Episode: 31/30000 (0.1033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0198s / 0.8926 s
agent0:                 episode reward: -0.3297,                 loss: nan
agent1:                 episode reward: 0.3297,                 loss: nan
Episode: 41/30000 (0.1367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0195s / 0.9121 s
agent0:                 episode reward: -0.1832,                 loss: nan
agent1:                 episode reward: 0.1832,                 loss: nan
Episode: 51/30000 (0.1700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0199s / 0.9319 s
agent0:                 episode reward: -0.6097,                 loss: nan
agent1:                 episode reward: 0.6097,                 loss: nan
Episode: 61/30000 (0.2033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0200s / 0.9520 s
agent0:                 episode reward: -0.4366,                 loss: nan
agent1:                 episode reward: 0.4366,                 loss: nan
Episode: 71/30000 (0.2367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0204s / 0.9723 s
agent0:                 episode reward: -0.5763,                 loss: nan
agent1:                 episode reward: 0.5763,                 loss: nan
Episode: 81/30000 (0.2700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0217s / 0.9940 s
agent0:                 episode reward: -0.1140,                 loss: nan
agent1:                 episode reward: 0.1140,                 loss: nan
Episode: 91/30000 (0.3033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0202s / 1.0142 s
agent0:                 episode reward: -0.6870,                 loss: nan
agent1:                 episode reward: 0.6870,                 loss: nan
Episode: 101/30000 (0.3367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0204s / 1.0346 s
agent0:                 episode reward: -0.3744,                 loss: nan
agent1:                 episode reward: 0.3744,                 loss: nan
Episode: 111/30000 (0.3700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0220s / 1.0566 s
agent0:                 episode reward: -0.3800,                 loss: nan
agent1:                 episode reward: 0.3800,                 loss: nan
Episode: 121/30000 (0.4033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0216s / 1.0782 s
agent0:                 episode reward: -0.5506,                 loss: nan
agent1:                 episode reward: 0.5506,                 loss: nan
Episode: 131/30000 (0.4367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0198s / 1.0980 s
agent0:                 episode reward: -0.3198,                 loss: nan
agent1:                 episode reward: 0.3198,                 loss: nan
Episode: 141/30000 (0.4700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0191s / 1.1172 s
agent0:                 episode reward: -0.4253,                 loss: nan
agent1:                 episode reward: 0.4253,                 loss: nan
Episode: 151/30000 (0.5033%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0203s / 1.1374 s
agent0:                 episode reward: -0.1833,                 loss: nan
agent1:                 episode reward: 0.1833,                 loss: nan
Episode: 161/30000 (0.5367%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0203s / 1.1577 s
agent0:                 episode reward: 0.1926,                 loss: nan
agent1:                 episode reward: -0.1926,                 loss: nan
Episode: 171/30000 (0.5700%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0198s / 1.1775 s
agent0:                 episode reward: -0.1837,                 loss: nan
agent1:                 episode reward: 0.1837,                 loss: nan
