2022-01-20 20:07:09.017749: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-20 20:07:09.017834: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-20 20:07:09.017841: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
pygame 2.0.1 (SDL 2.0.14, Python 3.6.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 12.0, (1,), float32) action space: Discrete(3)
random seed: 91
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7f394ed70da0>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=32, bias=True)
      (1): ReLU()
      (2): Linear(in_features=32, out_features=32, bias=True)
      (3): ReLU()
      (4): Linear(in_features=32, out_features=32, bias=True)
      (5): ReLU()
      (6): Linear(in_features=32, out_features=3, bias=True)
    )
  )
)
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=32, bias=True)
      (1): ReLU()
      (2): Linear(in_features=32, out_features=32, bias=True)
      (3): ReLU()
      (4): Linear(in_features=32, out_features=32, bias=True)
      (5): ReLU()
      (6): Linear(in_features=32, out_features=3, bias=True)
    )
  )
)
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  data/model/20220120170452/mdp_arbitrary_mdp_nash_dqn/4000_0
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 1.0, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.0, 'eps_decay': 8000, 'exploiter_update_itr': 1}, 'batch_size': 640, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220120170452/mdp_arbitrary_mdp_nash_dqn/4000_0', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 1000, 'net_architecture': {'hidden_dim_list': [32, 32, 32], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/quantumiracle/research/MARS/data/model/20220120170452_exploit_4000/mdp_arbitrary_mdp_nash_dqn. 
 Save logs to: /home/quantumiracle/research/MARS/data/log/20220120170452_exploit_4000/mdp_arbitrary_mdp_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.8313s / 0.8313 s
agent0:                 episode reward: -1.6592,                 loss: nan
agent1:                 episode reward: 1.6592,                 loss: nan
Episode: 11/10000 (0.1100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4986s / 1.3299 s
agent0:                 episode reward: 0.3088,                 loss: nan
agent1:                 episode reward: -0.3088,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4791s / 1.8090 s
agent0:                 episode reward: -0.1010,                 loss: nan
agent1:                 episode reward: 0.1010,                 loss: nan
Episode: 31/10000 (0.3100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4612s / 2.2702 s
agent0:                 episode reward: -0.3049,                 loss: nan
agent1:                 episode reward: 0.3049,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4911s / 2.7612 s
agent0:                 episode reward: 0.2118,                 loss: nan
agent1:                 episode reward: -0.2118,                 loss: nan
Episode: 51/10000 (0.5100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4641s / 3.2253 s
agent0:                 episode reward: 0.1140,                 loss: nan
agent1:                 episode reward: -0.1140,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4626s / 3.6879 s
agent0:                 episode reward: -0.6134,                 loss: nan
agent1:                 episode reward: 0.6134,                 loss: nan
Episode: 71/10000 (0.7100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4594s / 4.1473 s
agent0:                 episode reward: 0.0114,                 loss: nan
agent1:                 episode reward: -0.0114,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4589s / 4.6062 s
agent0:                 episode reward: 0.0071,                 loss: nan
agent1:                 episode reward: -0.0071,                 loss: nan
Episode: 91/10000 (0.9100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4622s / 5.0684 s
agent0:                 episode reward: 0.2429,                 loss: nan
agent1:                 episode reward: -0.2429,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4586s / 5.5270 s
agent0:                 episode reward: 0.2451,                 loss: nan
agent1:                 episode reward: -0.2451,                 loss: nan
Episode: 111/10000 (1.1100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4718s / 5.9988 s
agent0:                 episode reward: -0.3027,                 loss: nan
agent1:                 episode reward: 0.3027,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4591s / 6.4579 s
agent0:                 episode reward: 0.3264,                 loss: nan
agent1:                 episode reward: -0.3264,                 loss: nan
Episode: 131/10000 (1.3100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4630s / 6.9209 s
agent0:                 episode reward: -0.1252,                 loss: nan
agent1:                 episode reward: 0.1252,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4601s / 7.3810 s
agent0:                 episode reward: -0.1022,                 loss: nan
agent1:                 episode reward: 0.1022,                 loss: nan
Episode: 151/10000 (1.5100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4603s / 7.8413 s
agent0:                 episode reward: -0.6276,                 loss: nan
agent1:                 episode reward: 0.6276,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4610s / 8.3023 s
agent0:                 episode reward: -0.5028,                 loss: nan
agent1:                 episode reward: 0.5028,                 loss: nan
Episode: 171/10000 (1.7100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.5098s / 8.8121 s
agent0:                 episode reward: -0.5632,                 loss: nan
agent1:                 episode reward: 0.5632,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4638s / 9.2760 s
agent0:                 episode reward: 0.4517,                 loss: nan
agent1:                 episode reward: -0.4517,                 loss: nan
Episode: 191/10000 (1.9100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.4577s / 9.7336 s
