2022-01-20 20:54:09.938632: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-20 20:54:09.938733: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia:/home/quantumiracle/.mujoco/mujoco200/bin:/home/quantumiracle/.mujoco/mujoco210/bin:/usr/lib/nvidia
2022-01-20 20:54:09.938739: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
pygame 2.0.1 (SDL 2.0.14, Python 3.6.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 12.0, (1,), float32) action space: Discrete(3)
random seed: 91
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7f3687d4d550>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=32, bias=True)
      (1): ReLU()
      (2): Linear(in_features=32, out_features=32, bias=True)
      (3): ReLU()
      (4): Linear(in_features=32, out_features=32, bias=True)
      (5): ReLU()
      (6): Linear(in_features=32, out_features=3, bias=True)
    )
  )
)
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=32, bias=True)
      (1): ReLU()
      (2): Linear(in_features=32, out_features=32, bias=True)
      (3): ReLU()
      (4): Linear(in_features=32, out_features=32, bias=True)
      (5): ReLU()
      (6): Linear(in_features=32, out_features=3, bias=True)
    )
  )
)
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  data/model/20220120164356/mdp_arbitrary_mdp_nash_dqn/4000_0
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 1.0, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.0, 'eps_decay': 8000, 'exploiter_update_itr': 1}, 'batch_size': 640, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220120164356/mdp_arbitrary_mdp_nash_dqn/4000_0', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 1000, 'net_architecture': {'hidden_dim_list': [32, 32, 32], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/quantumiracle/research/MARS/data/model/20220120164356_exploit_4000/mdp_arbitrary_mdp_nash_dqn. 
 Save logs to: /home/quantumiracle/research/MARS/data/log/20220120164356_exploit_4000/mdp_arbitrary_mdp_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.7833s / 0.7833 s
agent0:                 episode reward: 1.2282,                 loss: nan
agent1:                 episode reward: -1.2282,                 loss: nan
Episode: 11/10000 (0.1100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0709s / 0.8542 s
agent0:                 episode reward: -0.1117,                 loss: nan
agent1:                 episode reward: 0.1117,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0704s / 0.9246 s
agent0:                 episode reward: -0.1200,                 loss: nan
agent1:                 episode reward: 0.1200,                 loss: nan
Episode: 31/10000 (0.3100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0660s / 0.9906 s
agent0:                 episode reward: 0.6700,                 loss: nan
agent1:                 episode reward: -0.6700,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0726s / 1.0632 s
agent0:                 episode reward: -0.0849,                 loss: nan
agent1:                 episode reward: 0.0849,                 loss: nan
Episode: 51/10000 (0.5100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0721s / 1.1353 s
agent0:                 episode reward: -0.1117,                 loss: nan
agent1:                 episode reward: 0.1117,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0705s / 1.2058 s
agent0:                 episode reward: -0.3279,                 loss: nan
agent1:                 episode reward: 0.3279,                 loss: nan
Episode: 71/10000 (0.7100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0723s / 1.2781 s
agent0:                 episode reward: -0.0942,                 loss: nan
agent1:                 episode reward: 0.0942,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0726s / 1.3508 s
agent0:                 episode reward: -0.3445,                 loss: nan
agent1:                 episode reward: 0.3445,                 loss: nan
Episode: 91/10000 (0.9100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0758s / 1.4266 s
agent0:                 episode reward: 0.0501,                 loss: nan
agent1:                 episode reward: -0.0501,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0783s / 1.5049 s
agent0:                 episode reward: 0.0043,                 loss: nan
agent1:                 episode reward: -0.0043,                 loss: nan
Episode: 111/10000 (1.1100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0753s / 1.5802 s
agent0:                 episode reward: 0.1645,                 loss: nan
agent1:                 episode reward: -0.1645,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0721s / 1.6522 s
agent0:                 episode reward: 0.5252,                 loss: nan
agent1:                 episode reward: -0.5252,                 loss: nan
Episode: 131/10000 (1.3100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0989s / 1.7511 s
agent0:                 episode reward: 0.0583,                 loss: nan
agent1:                 episode reward: -0.0583,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0803s / 1.8315 s
agent0:                 episode reward: -0.0813,                 loss: nan
agent1:                 episode reward: 0.0813,                 loss: nan
Episode: 151/10000 (1.5100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0745s / 1.9060 s
agent0:                 episode reward: 0.2568,                 loss: nan
agent1:                 episode reward: -0.2568,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0718s / 1.9778 s
agent0:                 episode reward: -0.3184,                 loss: nan
agent1:                 episode reward: 0.3184,                 loss: nan
Episode: 171/10000 (1.7100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0717s / 2.0495 s
agent0:                 episode reward: 0.0924,                 loss: nan
agent1:                 episode reward: -0.0924,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 2.0,                last time consumption/overall running time: 0.0793s / 2.1288 s
