pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
SlimeVolley-v0 slimevolley
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=64, bias=True)
      (1): Tanh()
      (2): Linear(in_features=64, out_features=64, bias=True)
      (3): Tanh()
      (4): Linear(in_features=64, out_features=64, bias=True)
      (5): Tanh()
      (6): Linear(in_features=64, out_features=6, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=64, bias=True)
      (1): Tanh()
      (2): Linear(in_features=64, out_features=64, bias=True)
      (3): Tanh()
      (4): Linear(in_features=64, out_features=64, bias=True)
      (5): Tanh()
      (6): Linear(in_features=64, out_features=6, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'SlimeVolley-v0', 'env_type': 'slimevolley', 'num_envs': 2, 'ram': True, 'seed': 'random', 'against_baseline': False, 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 1000000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220124_1041/slimevolley_SlimeVolley-v0_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220124_1041/slimevolley_SlimeVolley-v0_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 458.0,                last time consumption/overall running time: 22.4972s / 22.4972 s
env0_first_0:                 episode reward: -1.0000,                 loss: 0.0083
env0_second_0:                 episode reward: 1.0000,                 loss: 0.0080
env1_first_0:                 episode reward: 4.0000,                 loss: nan
env1_second_0:                 episode reward: -4.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 602.45,                last time consumption/overall running time: 566.2512s / 588.7484 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0110
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0112
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 615.5,                last time consumption/overall running time: 580.6027s / 1169.3511 s
env0_first_0:                 episode reward: -0.3000,                 loss: 0.0166
env0_second_0:                 episode reward: 0.3000,                 loss: 0.0162
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 579.3,                last time consumption/overall running time: 550.0804s / 1719.4315 s
env0_first_0:                 episode reward: 1.0500,                 loss: 0.0196
env0_second_0:                 episode reward: -1.0500,                 loss: 0.0195
env1_first_0:                 episode reward: 1.2000,                 loss: nan
env1_second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 578.9,                last time consumption/overall running time: 552.7367s / 2272.1681 s
env0_first_0:                 episode reward: -0.6500,                 loss: 0.0198
env0_second_0:                 episode reward: 0.6500,                 loss: 0.0197
env1_first_0:                 episode reward: 0.0000,                 loss: nan
env1_second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 591.4,                last time consumption/overall running time: 562.5976s / 2834.7657 s
env0_first_0:                 episode reward: 0.9500,                 loss: 0.0193
env0_second_0:                 episode reward: -0.9500,                 loss: 0.0192
env1_first_0:                 episode reward: 0.5000,                 loss: nan
env1_second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 558.65,                last time consumption/overall running time: 530.8035s / 3365.5692 s
env0_first_0:                 episode reward: 0.5500,                 loss: 0.0204
env0_second_0:                 episode reward: -0.5500,                 loss: 0.0198
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 560.1,                last time consumption/overall running time: 535.7871s / 3901.3562 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0201
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0207
env1_first_0:                 episode reward: -1.3500,                 loss: nan
env1_second_0:                 episode reward: 1.3500,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 564.3,                last time consumption/overall running time: 533.8601s / 4435.2164 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0211
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0228
env1_first_0:                 episode reward: -0.5500,                 loss: nan
env1_second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 549.45,                last time consumption/overall running time: 517.6388s / 4952.8552 s
env0_first_0:                 episode reward: -1.0500,                 loss: 0.0220
env0_second_0:                 episode reward: 1.0500,                 loss: 0.0220
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 568.0,                last time consumption/overall running time: 537.1667s / 5490.0219 s
env0_first_0:                 episode reward: -0.0500,                 loss: 0.0224
env0_second_0:                 episode reward: 0.0500,                 loss: 0.0235
env1_first_0:                 episode reward: -0.4500,                 loss: nan
env1_second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 575.45,                last time consumption/overall running time: 542.9463s / 6032.9681 s
env0_first_0:                 episode reward: 0.7000,                 loss: 0.0221
env0_second_0:                 episode reward: -0.7000,                 loss: 0.0239
env1_first_0:                 episode reward: -0.3500,                 loss: nan
env1_second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 529.55,                last time consumption/overall running time: 494.8884s / 6527.8565 s
env0_first_0:                 episode reward: -0.8000,                 loss: 0.0216
env0_second_0:                 episode reward: 0.8000,                 loss: 0.0229
env1_first_0:                 episode reward: -0.4500,                 loss: nan
env1_second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 559.1,                last time consumption/overall running time: 530.0199s / 7057.8764 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.0223
env0_second_0:                 episode reward: -0.1000,                 loss: 0.0232
env1_first_0:                 episode reward: 0.5000,                 loss: nan
env1_second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 598.7,                last time consumption/overall running time: 569.1247s / 7627.0011 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0218
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0219
env1_first_0:                 episode reward: -0.7000,                 loss: nan
env1_second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 547.2,                last time consumption/overall running time: 518.2953s / 8145.2964 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0221
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0205
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 544.1,                last time consumption/overall running time: 516.7321s / 8662.0285 s
env0_first_0:                 episode reward: 0.0500,                 loss: 0.0225
env0_second_0:                 episode reward: -0.0500,                 loss: 0.0217
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 589.2,                last time consumption/overall running time: 558.7552s / 9220.7837 s
env0_first_0:                 episode reward: -0.9000,                 loss: 0.0229
env0_second_0:                 episode reward: 0.9000,                 loss: 0.0237
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 361/10000 (3.6100%),                 avg. length: 512.75,                last time consumption/overall running time: 487.5651s / 9708.3488 s
env0_first_0:                 episode reward: 0.0500,                 loss: 0.0240
env0_second_0:                 episode reward: -0.0500,                 loss: 0.0225
env1_first_0:                 episode reward: -0.6500,                 loss: nan
env1_second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 381/10000 (3.8100%),                 avg. length: 559.4,                last time consumption/overall running time: 534.3712s / 10242.7200 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0235
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0234
env1_first_0:                 episode reward: -0.8000,                 loss: nan
env1_second_0:                 episode reward: 0.8000,                 loss: nan
Episode: 401/10000 (4.0100%),                 avg. length: 572.55,                last time consumption/overall running time: 546.4622s / 10789.1822 s
env0_first_0:                 episode reward: 0.7500,                 loss: 0.0225
env0_second_0:                 episode reward: -0.7500,                 loss: 0.0235
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 421/10000 (4.2100%),                 avg. length: 582.0,                last time consumption/overall running time: 558.2567s / 11347.4389 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.0224
env0_second_0:                 episode reward: -1.0000,                 loss: 0.0225
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 441/10000 (4.4100%),                 avg. length: 597.1,                last time consumption/overall running time: 571.5886s / 11919.0276 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0230
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0235
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 461/10000 (4.6100%),                 avg. length: 585.05,                last time consumption/overall running time: 562.4258s / 12481.4534 s
env0_first_0:                 episode reward: -0.2500,                 loss: 0.0235
env0_second_0:                 episode reward: 0.2500,                 loss: 0.0235
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 481/10000 (4.8100%),                 avg. length: 580.2,                last time consumption/overall running time: 556.6459s / 13038.0993 s
env0_first_0:                 episode reward: 0.7500,                 loss: 0.0242
env0_second_0:                 episode reward: -0.7500,                 loss: 0.0240
env1_first_0:                 episode reward: 0.6000,                 loss: nan
env1_second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 501/10000 (5.0100%),                 avg. length: 563.2,                last time consumption/overall running time: 541.8952s / 13579.9945 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.0244
env0_second_0:                 episode reward: 0.1500,                 loss: 0.0231
env1_first_0:                 episode reward: -0.1000,                 loss: nan
env1_second_0:                 episode reward: 0.1000,                 loss: nan
