pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220128_0331/pettingzoo_surround_v1_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220128_0331/pettingzoo_surround_v1_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1776.0,                last time consumption/overall running time: 21.1616s / 21.1616 s
env0_first_0:                 episode reward: -2.0000,                 loss: -0.0200
env0_second_0:                 episode reward: 2.0000,                 loss: -0.0270
env1_first_0:                 episode reward: 0.0000,                 loss: nan
env1_second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1595.25,                last time consumption/overall running time: 362.7793s / 383.9409 s
env0_first_0:                 episode reward: 0.5000,                 loss: -0.0400
env0_second_0:                 episode reward: -0.5000,                 loss: -0.0407
env1_first_0:                 episode reward: 2.1500,                 loss: nan
env1_second_0:                 episode reward: -2.1500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 2224.5,                last time consumption/overall running time: 497.9442s / 881.8851 s
env0_first_0:                 episode reward: -0.1500,                 loss: -0.0313
env0_second_0:                 episode reward: 0.1500,                 loss: -0.0282
env1_first_0:                 episode reward: -0.5500,                 loss: nan
env1_second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 2031.05,                last time consumption/overall running time: 455.7686s / 1337.6537 s
env0_first_0:                 episode reward: -1.3500,                 loss: -0.0235
env0_second_0:                 episode reward: 1.3500,                 loss: -0.0218
env1_first_0:                 episode reward: -2.9500,                 loss: nan
env1_second_0:                 episode reward: 2.9500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 2267.85,                last time consumption/overall running time: 505.3976s / 1843.0513 s
env0_first_0:                 episode reward: -0.9500,                 loss: -0.0323
env0_second_0:                 episode reward: 0.9500,                 loss: -0.0294
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 2270.3,                last time consumption/overall running time: 508.0340s / 2351.0853 s
env0_first_0:                 episode reward: -0.4000,                 loss: -0.0382
env0_second_0:                 episode reward: 0.4000,                 loss: -0.0330
env1_first_0:                 episode reward: -1.4000,                 loss: nan
env1_second_0:                 episode reward: 1.4000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 2260.85,                last time consumption/overall running time: 507.7510s / 2858.8364 s
env0_first_0:                 episode reward: -2.2000,                 loss: -0.0442
env0_second_0:                 episode reward: 2.2000,                 loss: -0.0396
