pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
double_dunk_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'double_dunk_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220204_1545/pettingzoo_double_dunk_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220204_1545/pettingzoo_double_dunk_v2_nash_ppo.
Episode: 1/30000 (0.0033%),                 avg. length: 4331.0,                last time consumption/overall running time: 25.3540s / 25.3540 s
env0_first_0:                 episode reward: -29.0000,                 loss: -0.0616
env0_second_0:                 episode reward: 29.0000,                 loss: -0.0598
env1_first_0:                 episode reward: -25.0000,                 loss: nan
env1_second_0:                 episode reward: 25.0000,                 loss: nan
Episode: 21/30000 (0.0700%),                 avg. length: 3945.65,                last time consumption/overall running time: 488.7447s / 514.0987 s
env0_first_0:                 episode reward: -26.2000,                 loss: -0.0363
env0_second_0:                 episode reward: 26.2000,                 loss: -0.0330
env1_first_0:                 episode reward: -29.2500,                 loss: nan
env1_second_0:                 episode reward: 29.2500,                 loss: nan
Episode: 41/30000 (0.1367%),                 avg. length: 3793.5,                last time consumption/overall running time: 470.3007s / 984.3995 s
env0_first_0:                 episode reward: -24.9000,                 loss: 0.0223
env0_second_0:                 episode reward: 24.9000,                 loss: 0.0257
env1_first_0:                 episode reward: -24.3000,                 loss: nan
env1_second_0:                 episode reward: 24.3000,                 loss: nan
Episode: 61/30000 (0.2033%),                 avg. length: 3776.4,                last time consumption/overall running time: 446.1071s / 1430.5065 s
env0_first_0:                 episode reward: -17.5000,                 loss: 0.0376
env0_second_0:                 episode reward: 17.5000,                 loss: 0.0362
env1_first_0:                 episode reward: -24.8000,                 loss: nan
env1_second_0:                 episode reward: 24.8000,                 loss: nan
Episode: 81/30000 (0.2700%),                 avg. length: 3778.25,                last time consumption/overall running time: 479.2045s / 1909.7111 s
env0_first_0:                 episode reward: -25.0000,                 loss: 0.0572
env0_second_0:                 episode reward: 25.0000,                 loss: 0.0586
env1_first_0:                 episode reward: -25.2000,                 loss: nan
env1_second_0:                 episode reward: 25.2000,                 loss: nan
Episode: 101/30000 (0.3367%),                 avg. length: 4139.25,                last time consumption/overall running time: 503.6592s / 2413.3703 s
env0_first_0:                 episode reward: -23.9000,                 loss: 0.0659
env0_second_0:                 episode reward: 23.9000,                 loss: 0.0698
env1_first_0:                 episode reward: -23.3500,                 loss: nan
env1_second_0:                 episode reward: 23.3500,                 loss: nan
Episode: 121/30000 (0.4033%),                 avg. length: 4073.1,                last time consumption/overall running time: 462.1391s / 2875.5093 s
env0_first_0:                 episode reward: -22.9500,                 loss: 0.0711
env0_second_0:                 episode reward: 22.9500,                 loss: 0.0742
env1_first_0:                 episode reward: -21.1500,                 loss: nan
env1_second_0:                 episode reward: 21.1500,                 loss: nan
Episode: 141/30000 (0.4700%),                 avg. length: 4071.9,                last time consumption/overall running time: 468.4880s / 3343.9973 s
env0_first_0:                 episode reward: -20.4500,                 loss: 0.0759
env0_second_0:                 episode reward: 20.4500,                 loss: 0.0838
env1_first_0:                 episode reward: -22.5500,                 loss: nan
env1_second_0:                 episode reward: 22.5500,                 loss: nan
Episode: 161/30000 (0.5367%),                 avg. length: 4199.1,                last time consumption/overall running time: 515.3768s / 3859.3741 s
env0_first_0:                 episode reward: -22.6500,                 loss: 0.0933
env0_second_0:                 episode reward: 22.6500,                 loss: 0.0943
env1_first_0:                 episode reward: -23.1000,                 loss: nan
env1_second_0:                 episode reward: 23.1000,                 loss: nan
Episode: 181/30000 (0.6033%),                 avg. length: 4061.55,                last time consumption/overall running time: 512.3635s / 4371.7376 s
env0_first_0:                 episode reward: -24.3500,                 loss: 0.0943
env0_second_0:                 episode reward: 24.3500,                 loss: 0.0852
env1_first_0:                 episode reward: -25.1000,                 loss: nan
env1_second_0:                 episode reward: 25.1000,                 loss: nan
Episode: 201/30000 (0.6700%),                 avg. length: 4394.4,                last time consumption/overall running time: 550.9981s / 4922.7357 s
env0_first_0:                 episode reward: -25.6500,                 loss: 0.0709
env0_second_0:                 episode reward: 25.6500,                 loss: 0.0649
env1_first_0:                 episode reward: -25.8500,                 loss: nan
env1_second_0:                 episode reward: 25.8500,                 loss: nan
Episode: 221/30000 (0.7367%),                 avg. length: 4367.1,                last time consumption/overall running time: 541.2058s / 5463.9415 s
env0_first_0:                 episode reward: -27.8500,                 loss: 0.0685
env0_second_0:                 episode reward: 27.8500,                 loss: 0.0677
env1_first_0:                 episode reward: -26.5500,                 loss: nan
env1_second_0:                 episode reward: 26.5500,                 loss: nan
Episode: 241/30000 (0.8033%),                 avg. length: 4164.5,                last time consumption/overall running time: 502.7117s / 5966.6533 s
env0_first_0:                 episode reward: -22.7000,                 loss: 0.0574
env0_second_0:                 episode reward: 22.7000,                 loss: 0.0538
env1_first_0:                 episode reward: -24.3500,                 loss: nan
env1_second_0:                 episode reward: 24.3500,                 loss: nan
Episode: 261/30000 (0.8700%),                 avg. length: 4697.45,                last time consumption/overall running time: 569.4095s / 6536.0628 s
env0_first_0:                 episode reward: -30.2500,                 loss: 0.0615
env0_second_0:                 episode reward: 30.2500,                 loss: 0.0547
env1_first_0:                 episode reward: -32.7000,                 loss: nan
env1_second_0:                 episode reward: 32.7000,                 loss: nan
Episode: 281/30000 (0.9367%),                 avg. length: 4433.95,                last time consumption/overall running time: 538.4987s / 7074.5614 s
env0_first_0:                 episode reward: -27.4500,                 loss: 0.0491
env0_second_0:                 episode reward: 27.4500,                 loss: 0.0473
env1_first_0:                 episode reward: -29.2000,                 loss: nan
env1_second_0:                 episode reward: 29.2000,                 loss: nan
Episode: 301/30000 (1.0033%),                 avg. length: 4932.2,                last time consumption/overall running time: 603.6742s / 7678.2356 s
env0_first_0:                 episode reward: -32.2000,                 loss: 0.0112
env0_second_0:                 episode reward: 32.2000,                 loss: 0.0085
env1_first_0:                 episode reward: -33.0500,                 loss: nan
env1_second_0:                 episode reward: 33.0500,                 loss: nan
