pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
double_dunk_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'double_dunk_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 5, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220206_0346/pettingzoo_double_dunk_v2_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220206_0346/pettingzoo_double_dunk_v2_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 2857.0,                last time consumption/overall running time: 23.0762s / 23.0762 s
env0_first_0:                 episode reward: -24.0000,                 loss: 0.0945
env0_second_0:                 episode reward: 24.0000,                 loss: 0.0921
env1_first_0:                 episode reward: -20.0000,                 loss: nan
env1_second_0:                 episode reward: 20.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 3966.7,                last time consumption/overall running time: 892.8870s / 915.9632 s
env0_first_0:                 episode reward: -29.4500,                 loss: 0.0851
env0_second_0:                 episode reward: 29.4500,                 loss: 0.0803
env1_first_0:                 episode reward: -26.4500,                 loss: nan
env1_second_0:                 episode reward: 26.4500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 3991.0,                last time consumption/overall running time: 1091.1500s / 2007.1132 s
env0_first_0:                 episode reward: -26.9000,                 loss: 0.0984
env0_second_0:                 episode reward: 26.9000,                 loss: 0.0810
env1_first_0:                 episode reward: -25.9000,                 loss: nan
env1_second_0:                 episode reward: 25.9000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 3881.7,                last time consumption/overall running time: 1061.3535s / 3068.4667 s
env0_first_0:                 episode reward: -23.8500,                 loss: 0.0891
env0_second_0:                 episode reward: 23.8500,                 loss: 0.0982
env1_first_0:                 episode reward: -24.5500,                 loss: nan
env1_second_0:                 episode reward: 24.5500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 3562.95,                last time consumption/overall running time: 965.6277s / 4034.0945 s
env0_first_0:                 episode reward: -21.4500,                 loss: 0.0938
env0_second_0:                 episode reward: 21.4500,                 loss: 0.0958
env1_first_0:                 episode reward: -22.4500,                 loss: nan
env1_second_0:                 episode reward: 22.4500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 3921.95,                last time consumption/overall running time: 1058.3972s / 5092.4917 s
env0_first_0:                 episode reward: -22.7500,                 loss: 0.0886
env0_second_0:                 episode reward: 22.7500,                 loss: 0.0901
env1_first_0:                 episode reward: -23.3500,                 loss: nan
env1_second_0:                 episode reward: 23.3500,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 3850.15,                last time consumption/overall running time: 1041.1825s / 6133.6742 s
env0_first_0:                 episode reward: -23.1000,                 loss: 0.0926
env0_second_0:                 episode reward: 23.1000,                 loss: 0.0927
env1_first_0:                 episode reward: -26.9500,                 loss: nan
env1_second_0:                 episode reward: 26.9500,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 3748.9,                last time consumption/overall running time: 1013.5122s / 7147.1863 s
env0_first_0:                 episode reward: -26.4000,                 loss: 0.0880
env0_second_0:                 episode reward: 26.4000,                 loss: 0.0877
env1_first_0:                 episode reward: -23.1000,                 loss: nan
env1_second_0:                 episode reward: 23.1000,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 4031.6,                last time consumption/overall running time: 1107.7002s / 8254.8866 s
env0_first_0:                 episode reward: -25.9000,                 loss: 0.0861
env0_second_0:                 episode reward: 25.9000,                 loss: 0.0888
env1_first_0:                 episode reward: -25.2500,                 loss: nan
env1_second_0:                 episode reward: 25.2500,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 3934.7,                last time consumption/overall running time: 1081.0052s / 9335.8918 s
env0_first_0:                 episode reward: -22.9000,                 loss: 0.0903
env0_second_0:                 episode reward: 22.9000,                 loss: 0.0869
env1_first_0:                 episode reward: -25.9000,                 loss: nan
env1_second_0:                 episode reward: 25.9000,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 3746.85,                last time consumption/overall running time: 1020.9827s / 10356.8745 s
env0_first_0:                 episode reward: -22.9000,                 loss: 0.0840
env0_second_0:                 episode reward: 22.9000,                 loss: 0.0885
env1_first_0:                 episode reward: -26.4000,                 loss: nan
env1_second_0:                 episode reward: 26.4000,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 3727.05,                last time consumption/overall running time: 1013.7144s / 11370.5889 s
env0_first_0:                 episode reward: -25.2500,                 loss: 0.0844
env0_second_0:                 episode reward: 25.2500,                 loss: 0.0846
env1_first_0:                 episode reward: -25.4000,                 loss: nan
env1_second_0:                 episode reward: 25.4000,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 3785.4,                last time consumption/overall running time: 1023.2941s / 12393.8829 s
env0_first_0:                 episode reward: -24.0000,                 loss: 0.0814
env0_second_0:                 episode reward: 24.0000,                 loss: 0.0845
env1_first_0:                 episode reward: -24.5500,                 loss: nan
env1_second_0:                 episode reward: 24.5500,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 3795.3,                last time consumption/overall running time: 1048.7874s / 13442.6704 s
env0_first_0:                 episode reward: -26.0000,                 loss: 0.0866
env0_second_0:                 episode reward: 26.0000,                 loss: 0.0820
env1_first_0:                 episode reward: -24.1500,                 loss: nan
env1_second_0:                 episode reward: 24.1500,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 4033.5,                last time consumption/overall running time: 1100.4984s / 14543.1688 s
env0_first_0:                 episode reward: -28.0000,                 loss: 0.0812
env0_second_0:                 episode reward: 28.0000,                 loss: 0.0851
env1_first_0:                 episode reward: -30.2000,                 loss: nan
env1_second_0:                 episode reward: 30.2000,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 3883.0,                last time consumption/overall running time: 1066.6415s / 15609.8102 s
env0_first_0:                 episode reward: -25.0500,                 loss: 0.0862
env0_second_0:                 episode reward: 25.0500,                 loss: 0.0848
env1_first_0:                 episode reward: -27.2000,                 loss: nan
