pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=5, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=256, bias=True)
      (1): ReLU()
      (2): Linear(in_features=256, out_features=256, bias=True)
      (3): ReLU()
      (4): Linear(in_features=256, out_features=256, bias=True)
      (5): ReLU()
      (6): Linear(in_features=256, out_features=256, bias=True)
      (7): ReLU()
      (8): Linear(in_features=256, out_features=5, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 5, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220206_0346/pettingzoo_surround_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220206_0346/pettingzoo_surround_v1_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 1764.0,                last time consumption/overall running time: 10.3004s / 10.3004 s
env0_first_0:                 episode reward: 0.0000,                 loss: 0.0493
env0_second_0:                 episode reward: 0.0000,                 loss: 0.0505
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 1379.7,                last time consumption/overall running time: 198.4407s / 208.7412 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0472
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0469
env1_first_0:                 episode reward: -1.6500,                 loss: nan
env1_second_0:                 episode reward: 1.6500,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 1426.55,                last time consumption/overall running time: 255.9517s / 464.6928 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0444
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0449
env1_first_0:                 episode reward: -1.3000,                 loss: nan
env1_second_0:                 episode reward: 1.3000,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 1493.95,                last time consumption/overall running time: 291.2733s / 755.9661 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0438
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0432
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 1365.2,                last time consumption/overall running time: 290.2431s / 1046.2092 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0445
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0440
env1_first_0:                 episode reward: -0.2500,                 loss: nan
env1_second_0:                 episode reward: 0.2500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 1436.9,                last time consumption/overall running time: 311.7705s / 1357.9797 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0436
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0441
env1_first_0:                 episode reward: -0.9000,                 loss: nan
env1_second_0:                 episode reward: 0.9000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 1464.8,                last time consumption/overall running time: 319.2298s / 1677.2095 s
env0_first_0:                 episode reward: -0.7500,                 loss: 0.0441
env0_second_0:                 episode reward: 0.7500,                 loss: 0.0435
env1_first_0:                 episode reward: -0.3000,                 loss: nan
env1_second_0:                 episode reward: 0.3000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1518.4,                last time consumption/overall running time: 328.4260s / 2005.6355 s
env0_first_0:                 episode reward: 1.4000,                 loss: 0.0436
env0_second_0:                 episode reward: -1.4000,                 loss: 0.0434
env1_first_0:                 episode reward: -1.7000,                 loss: nan
env1_second_0:                 episode reward: 1.7000,                 loss: nan
