pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=128, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=128, bias=True)
      (7): ReLU()
      (8): Linear(in_features=128, out_features=18, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 5, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220206_1455/pettingzoo_tennis_v2_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220206_1455/pettingzoo_tennis_v2_nash_dqn.
Episode: 1/10000 (0.0100%),                 avg. length: 9999.0,                last time consumption/overall running time: 607.7032s / 607.7032 s
env0_first_0:                 episode reward: -6.0000,                 loss: 0.0504
env0_second_0:                 episode reward: 6.0000,                 loss: 0.0522
env1_first_0:                 episode reward: 3.0000,                 loss: nan
env1_second_0:                 episode reward: -3.0000,                 loss: nan
Episode: 21/10000 (0.2100%),                 avg. length: 6334.15,                last time consumption/overall running time: 9513.0499s / 10120.7530 s
env0_first_0:                 episode reward: -9.5500,                 loss: 0.0515
env0_second_0:                 episode reward: 9.5500,                 loss: 0.0504
env1_first_0:                 episode reward: -2.9000,                 loss: nan
env1_second_0:                 episode reward: 2.9000,                 loss: nan
Episode: 41/10000 (0.4100%),                 avg. length: 4725.6,                last time consumption/overall running time: 7759.6932s / 17880.4462 s
env0_first_0:                 episode reward: -4.7000,                 loss: 0.0436
env0_second_0:                 episode reward: 4.7000,                 loss: 0.0428
env1_first_0:                 episode reward: -6.6500,                 loss: nan
env1_second_0:                 episode reward: 6.6500,                 loss: nan
Episode: 61/10000 (0.6100%),                 avg. length: 5204.25,                last time consumption/overall running time: 8550.2776s / 26430.7238 s
env0_first_0:                 episode reward: 1.9000,                 loss: 0.0334
env0_second_0:                 episode reward: -1.9000,                 loss: 0.0341
env1_first_0:                 episode reward: -1.8000,                 loss: nan
env1_second_0:                 episode reward: 1.8000,                 loss: nan
Episode: 81/10000 (0.8100%),                 avg. length: 4657.45,                last time consumption/overall running time: 7707.9645s / 34138.6883 s
env0_first_0:                 episode reward: 3.5000,                 loss: 0.0339
env0_second_0:                 episode reward: -3.5000,                 loss: 0.0334
env1_first_0:                 episode reward: 0.9500,                 loss: nan
env1_second_0:                 episode reward: -0.9500,                 loss: nan
Episode: 101/10000 (1.0100%),                 avg. length: 4610.8,                last time consumption/overall running time: 7712.6132s / 41851.3015 s
env0_first_0:                 episode reward: 6.6000,                 loss: 0.0349
env0_second_0:                 episode reward: -6.6000,                 loss: 0.0340
env1_first_0:                 episode reward: -2.5000,                 loss: nan
env1_second_0:                 episode reward: 2.5000,                 loss: nan
Episode: 121/10000 (1.2100%),                 avg. length: 4973.45,                last time consumption/overall running time: 8299.1650s / 50150.4665 s
env0_first_0:                 episode reward: 5.5000,                 loss: 0.0344
env0_second_0:                 episode reward: -5.5000,                 loss: 0.0337
env1_first_0:                 episode reward: -2.4000,                 loss: nan
env1_second_0:                 episode reward: 2.4000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 4346.95,                last time consumption/overall running time: 7236.9092s / 57387.3757 s
env0_first_0:                 episode reward: 1.5000,                 loss: 0.0351
env0_second_0:                 episode reward: -1.5000,                 loss: 0.0340
env1_first_0:                 episode reward: 1.1000,                 loss: nan
env1_second_0:                 episode reward: -1.1000,                 loss: nan
