pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
SlimeVolley-v0 slimevolley
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [23, 24]
<SubprocVectorEnv instance>
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=128, bias=True)
      (1): Tanh()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): Tanh()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): Tanh()
      (6): Linear(in_features=128, out_features=6, bias=True)
    )
  )
)
ParallelDQN(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=12, out_features=128, bias=True)
      (1): Tanh()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): Tanh()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): Tanh()
      (6): Linear(in_features=128, out_features=6, bias=True)
    )
  )
)
No agent are not learnable.
Arguments:  {'env_name': 'SlimeVolley-v0', 'env_type': 'slimevolley', 'num_envs': 2, 'ram': True, 'seed': 'random', 'against_baseline': False, 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 1000000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 50000, 'max_steps_per_episode': 300, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20220324_0417/slimevolley_SlimeVolley-v0_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220324_0417/slimevolley_SlimeVolley-v0_nash_dqn.
Episode: 1/50000 (0.0020%),                 avg. length: 299.0,                last time consumption/overall running time: 6.3183s / 6.3183 s
env0_first_0:                 episode reward: 1.0000,                 loss: 0.0051
env0_second_0:                 episode reward: -1.0000,                 loss: 0.0064
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 21/50000 (0.0420%),                 avg. length: 299.0,                last time consumption/overall running time: 192.8122s / 199.1305 s
env0_first_0:                 episode reward: -0.3000,                 loss: 0.0069
env0_second_0:                 episode reward: 0.3000,                 loss: 0.0070
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 41/50000 (0.0820%),                 avg. length: 299.0,                last time consumption/overall running time: 195.5430s / 394.6735 s
env0_first_0:                 episode reward: -0.0500,                 loss: 0.0099
env0_second_0:                 episode reward: 0.0500,                 loss: 0.0095
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 61/50000 (0.1220%),                 avg. length: 299.0,                last time consumption/overall running time: 199.3531s / 594.0266 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0136
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0138
env1_first_0:                 episode reward: -0.7500,                 loss: nan
env1_second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 81/50000 (0.1620%),                 avg. length: 299.0,                last time consumption/overall running time: 202.6481s / 796.6747 s
env0_first_0:                 episode reward: -0.4000,                 loss: 0.0158
env0_second_0:                 episode reward: 0.4000,                 loss: 0.0152
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 101/50000 (0.2020%),                 avg. length: 299.0,                last time consumption/overall running time: 204.2396s / 1000.9144 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.0159
env0_second_0:                 episode reward: 0.5500,                 loss: 0.0158
env1_first_0:                 episode reward: -0.2500,                 loss: nan
env1_second_0:                 episode reward: 0.2500,                 loss: nan
Episode: 121/50000 (0.2420%),                 avg. length: 299.0,                last time consumption/overall running time: 208.6949s / 1209.6092 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.0150
env0_second_0:                 episode reward: 0.1500,                 loss: 0.0156
env1_first_0:                 episode reward: 0.0500,                 loss: nan
env1_second_0:                 episode reward: -0.0500,                 loss: nan
Episode: 141/50000 (0.2820%),                 avg. length: 299.0,                last time consumption/overall running time: 210.9464s / 1420.5556 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.0145
env0_second_0:                 episode reward: -0.2500,                 loss: 0.0153
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 161/50000 (0.3220%),                 avg. length: 299.0,                last time consumption/overall running time: 215.2078s / 1635.7634 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0146
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0154
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 181/50000 (0.3620%),                 avg. length: 299.0,                last time consumption/overall running time: 217.8311s / 1853.5946 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0149
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0157
env1_first_0:                 episode reward: -0.2000,                 loss: nan
env1_second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 201/50000 (0.4020%),                 avg. length: 299.0,                last time consumption/overall running time: 221.2523s / 2074.8469 s
env0_first_0:                 episode reward: -0.1000,                 loss: 0.0148
env0_second_0:                 episode reward: 0.1000,                 loss: 0.0160
env1_first_0:                 episode reward: 0.0500,                 loss: nan
env1_second_0:                 episode reward: -0.0500,                 loss: nan
Episode: 221/50000 (0.4420%),                 avg. length: 299.0,                last time consumption/overall running time: 225.4500s / 2300.2969 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0151
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0160
env1_first_0:                 episode reward: -0.3500,                 loss: nan
env1_second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 241/50000 (0.4820%),                 avg. length: 299.0,                last time consumption/overall running time: 229.0407s / 2529.3376 s
env0_first_0:                 episode reward: 0.3000,                 loss: 0.0156
env0_second_0:                 episode reward: -0.3000,                 loss: 0.0160
env1_first_0:                 episode reward: 0.3000,                 loss: nan
env1_second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 261/50000 (0.5220%),                 avg. length: 299.0,                last time consumption/overall running time: 232.8565s / 2762.1941 s
env0_first_0:                 episode reward: -0.4000,                 loss: 0.0156
env0_second_0:                 episode reward: 0.4000,                 loss: 0.0161
env1_first_0:                 episode reward: 0.2500,                 loss: nan
env1_second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 281/50000 (0.5620%),                 avg. length: 299.0,                last time consumption/overall running time: 239.3605s / 3001.5546 s
env0_first_0:                 episode reward: 0.8500,                 loss: 0.0155
env0_second_0:                 episode reward: -0.8500,                 loss: 0.0159
env1_first_0:                 episode reward: 0.3500,                 loss: nan
env1_second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 301/50000 (0.6020%),                 avg. length: 299.0,                last time consumption/overall running time: 241.1480s / 3242.7026 s
env0_first_0:                 episode reward: -0.3500,                 loss: 0.0153
env0_second_0:                 episode reward: 0.3500,                 loss: 0.0165
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 321/50000 (0.6420%),                 avg. length: 299.0,                last time consumption/overall running time: 246.2526s / 3488.9553 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.0153
env0_second_0:                 episode reward: -0.6000,                 loss: 0.0161
env1_first_0:                 episode reward: 0.4500,                 loss: nan
env1_second_0:                 episode reward: -0.4500,                 loss: nan
Episode: 341/50000 (0.6820%),                 avg. length: 299.0,                last time consumption/overall running time: 250.2435s / 3739.1987 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.0154
env0_second_0:                 episode reward: -0.1500,                 loss: 0.0159
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 361/50000 (0.7220%),                 avg. length: 299.0,                last time consumption/overall running time: 250.6910s / 3989.8897 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.0156
env0_second_0:                 episode reward: 0.1500,                 loss: 0.0158
env1_first_0:                 episode reward: 0.0000,                 loss: nan
env1_second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 381/50000 (0.7620%),                 avg. length: 299.0,                last time consumption/overall running time: 250.7523s / 4240.6420 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.0158
env0_second_0:                 episode reward: -0.1000,                 loss: 0.0156
env1_first_0:                 episode reward: -0.1000,                 loss: nan
env1_second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 401/50000 (0.8020%),                 avg. length: 299.0,                last time consumption/overall running time: 251.2939s / 4491.9358 s
env0_first_0:                 episode reward: -0.7000,                 loss: 0.0162
env0_second_0:                 episode reward: 0.7000,                 loss: 0.0158
env1_first_0:                 episode reward: -0.9500,                 loss: nan
env1_second_0:                 episode reward: 0.9500,                 loss: nan
Episode: 421/50000 (0.8420%),                 avg. length: 299.0,                last time consumption/overall running time: 251.7671s / 4743.7029 s
env0_first_0:                 episode reward: -0.5000,                 loss: 0.0157
env0_second_0:                 episode reward: 0.5000,                 loss: 0.0160
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 441/50000 (0.8820%),                 avg. length: 299.0,                last time consumption/overall running time: 251.1492s / 4994.8521 s
env0_first_0:                 episode reward: -0.2500,                 loss: 0.0151
env0_second_0:                 episode reward: 0.2500,                 loss: 0.0162
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 461/50000 (0.9220%),                 avg. length: 299.0,                last time consumption/overall running time: 250.9610s / 5245.8131 s
env0_first_0:                 episode reward: -0.0500,                 loss: 0.0154
env0_second_0:                 episode reward: 0.0500,                 loss: 0.0158
env1_first_0:                 episode reward: 0.1500,                 loss: nan
env1_second_0:                 episode reward: -0.1500,                 loss: nan
Episode: 481/50000 (0.9620%),                 avg. length: 299.0,                last time consumption/overall running time: 251.7770s / 5497.5901 s
env0_first_0:                 episode reward: 0.9500,                 loss: 0.0153
env0_second_0:                 episode reward: -0.9500,                 loss: 0.0158
env1_first_0:                 episode reward: -0.5000,                 loss: nan
env1_second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 501/50000 (1.0020%),                 avg. length: 299.0,                last time consumption/overall running time: 250.6164s / 5748.2065 s
env0_first_0:                 episode reward: 0.0000,                 loss: 0.0146
env0_second_0:                 episode reward: 0.0000,                 loss: 0.0154
env1_first_0:                 episode reward: 0.0500,                 loss: nan
env1_second_0:                 episode reward: -0.0500,                 loss: nan
Episode: 521/50000 (1.0420%),                 avg. length: 299.0,                last time consumption/overall running time: 249.9166s / 5998.1231 s
env0_first_0:                 episode reward: -0.0500,                 loss: 0.0149
env0_second_0:                 episode reward: 0.0500,                 loss: 0.0152
env1_first_0:                 episode reward: 0.3500,                 loss: nan
env1_second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 541/50000 (1.0820%),                 avg. length: 299.0,                last time consumption/overall running time: 250.9690s / 6249.0921 s
env0_first_0:                 episode reward: -0.2000,                 loss: 0.0150
env0_second_0:                 episode reward: 0.2000,                 loss: 0.0152
env1_first_0:                 episode reward: 0.6000,                 loss: nan
env1_second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 561/50000 (1.1220%),                 avg. length: 299.0,                last time consumption/overall running time: 250.6647s / 6499.7568 s
env0_first_0:                 episode reward: 0.2000,                 loss: 0.0153
env0_second_0:                 episode reward: -0.2000,                 loss: 0.0149
env1_first_0:                 episode reward: 0.2500,                 loss: nan
env1_second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 581/50000 (1.1620%),                 avg. length: 299.0,                last time consumption/overall running time: 249.9310s / 6749.6879 s
env0_first_0:                 episode reward: -0.6500,                 loss: 0.0151
env0_second_0:                 episode reward: 0.6500,                 loss: 0.0148
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 601/50000 (1.2020%),                 avg. length: 299.0,                last time consumption/overall running time: 250.6126s / 7000.3004 s
env0_first_0:                 episode reward: 0.5000,                 loss: 0.0148
env0_second_0:                 episode reward: -0.5000,                 loss: 0.0152
env1_first_0:                 episode reward: -0.1500,                 loss: nan
env1_second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 621/50000 (1.2420%),                 avg. length: 299.0,                last time consumption/overall running time: 250.2402s / 7250.5407 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.0141
env0_second_0:                 episode reward: -0.8000,                 loss: 0.0146
env1_first_0:                 episode reward: 0.0000,                 loss: nan
