pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
arbitrary_mdp mdp
Load arbitrary_mdp environment in type mdp.
Env observation space: Box(0.0, 42.0, (1,), float32) action space: Discrete(6)
random seed: 139
<mars.env.mdp.mdp_wrapper.MDPWrapper object at 0x7fccf51c3c18>
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=6, bias=True)
    )
  )
)
DQNBase(
  (net): MLP(
    (body): Sequential(
      (0): Linear(in_features=1, out_features=128, bias=True)
      (1): ReLU()
      (2): Linear(in_features=128, out_features=128, bias=True)
      (3): ReLU()
      (4): Linear(in_features=128, out_features=128, bias=True)
      (5): ReLU()
      (6): Linear(in_features=128, out_features=6, bias=True)
    )
  )
)
Error: no exploited model index given!
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  data/model/20220516171217/mdp_arbitrary_mdp_nash_dqn/30000_0
Arguments:  {'env_name': 'arbitrary_mdp', 'env_type': 'mdp', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 1.0, 'multi_step': 5, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.0, 'eps_decay': 100000, 'exploiter_update_itr': 1}, 'num_process': 1, 'batch_size': 640, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': 'data/model/20220516171217/mdp_arbitrary_mdp_nash_dqn/30000_0', 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 1000, 'net_architecture': {'hidden_dim_list': [128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20220516171217_exploit_30000/mdp_arbitrary_mdp_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20220516171217_exploit_30000/mdp_arbitrary_mdp_nash_dqn.
Episode: 1/30000 (0.0033%),                 avg. length: 5.0,                last time consumption/overall running time: 0.6912s / 0.6912 s
agent0:                 episode reward: -1.5602,                 loss: nan
agent1:                 episode reward: 1.5602,                 loss: nan
Episode: 11/30000 (0.0367%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1324s / 0.8236 s
agent0:                 episode reward: 0.5480,                 loss: nan
agent1:                 episode reward: -0.5480,                 loss: nan
Episode: 21/30000 (0.0700%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1400s / 0.9635 s
agent0:                 episode reward: 0.7986,                 loss: nan
agent1:                 episode reward: -0.7986,                 loss: nan
Episode: 31/30000 (0.1033%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1409s / 1.1045 s
agent0:                 episode reward: 0.3560,                 loss: nan
agent1:                 episode reward: -0.3560,                 loss: nan
Episode: 41/30000 (0.1367%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1412s / 1.2457 s
agent0:                 episode reward: -0.0642,                 loss: nan
agent1:                 episode reward: 0.0642,                 loss: nan
Episode: 51/30000 (0.1700%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1376s / 1.3833 s
agent0:                 episode reward: -0.3031,                 loss: nan
agent1:                 episode reward: 0.3031,                 loss: nan
Episode: 61/30000 (0.2033%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1380s / 1.5213 s
agent0:                 episode reward: 0.3055,                 loss: nan
agent1:                 episode reward: -0.3055,                 loss: nan
Episode: 71/30000 (0.2367%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1376s / 1.6589 s
agent0:                 episode reward: 0.3167,                 loss: nan
agent1:                 episode reward: -0.3167,                 loss: nan
Episode: 81/30000 (0.2700%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1366s / 1.7955 s
agent0:                 episode reward: 0.6288,                 loss: nan
agent1:                 episode reward: -0.6288,                 loss: nan
Episode: 91/30000 (0.3033%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1353s / 1.9309 s
agent0:                 episode reward: -0.1818,                 loss: nan
agent1:                 episode reward: 0.1818,                 loss: nan
Episode: 101/30000 (0.3367%),                 avg. length: 5.0,                last time consumption/overall running time: 0.1378s / 2.0686 s
agent0:                 episode reward: -0.1446,                 loss: nan
agent1:                 episode reward: 0.1446,                 loss: nan
Episode: 111/30000 (0.3700%),                 avg. length: 5.0,                last time consumption/overall running time: 0.3320s / 2.4006 s
agent0:                 episode reward: -0.2606,                 loss: nan
agent1:                 episode reward: 0.2606,                 loss: 0.4798
Episode: 121/30000 (0.4033%),                 avg. length: 5.0,                last time consumption/overall running time: 0.5678s / 2.9684 s
agent0:                 episode reward: -1.0153,                 loss: nan
agent1:                 episode reward: 1.0153,                 loss: 0.3783
