/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
wandb: Currently logged in as: quantumiracle. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.13.1 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.13.0
wandb: Run data is saved locally in /home/zihan/research/MARS/wandb/run-20220808_152518-1bvqmbbf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run 202208081525
wandb: ⭐️ View project at https://wandb.ai/quantumiracle/pettingzoo_tennis_v3_nash_dqn
wandb: 🚀 View run at https://wandb.ai/quantumiracle/pettingzoo_tennis_v3_nash_dqn/runs/1bvqmbbf
default:  {'env_name': 'tennis_v3', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': False, 'seed': 'random', 'record_video': False, 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.001, 'eps_decay': 5000000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 50000, 'max_steps_per_episode': 300, 'train_start_frame': 0, 'save_id': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'wandb_activate': False, 'wandb_entity': '', 'wandb_project': '', 'wandb_group': '', 'wandb_name': '', 'net_architecture': {'hidden_dim_list': [512, 512], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax', 'channel_list': [32, 64, 64], 'kernel_size_list': [8, 4, 3], 'stride_list': [4, 2, 1]}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
{'env_name': 'tennis_v3', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': False, 'seed': 'random', 'record_video': False, 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.001, 'eps_decay': 5000000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 50000, 'max_steps_per_episode': 300, 'train_start_frame': 0, 'save_id': 202208081525, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'wandb_activate': True, 'wandb_entity': 'quantumiracle', 'wandb_project': '', 'wandb_group': '', 'wandb_name': '', 'net_architecture': {'hidden_dim_list': [512, 512], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax', 'channel_list': [32, 64, 64], 'kernel_size_list': [8, 4, 3], 'stride_list': [4, 2, 1]}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
args:  {'env_name': 'tennis_v3', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': False, 'seed': 'random', 'record_video': False, 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.001, 'eps_decay': 5000000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 50000, 'max_steps_per_episode': 300, 'train_start_frame': 0, 'save_id': 202208081525, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'wandb_activate': True, 'wandb_entity': 'quantumiracle', 'wandb_project': 'pettingzoo_tennis_v3_nash_dqn', 'wandb_group': '', 'wandb_name': '202208081525', 'net_architecture': {'hidden_dim_list': [512, 512], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax', 'channel_list': [32, 64, 64], 'kernel_size_list': [8, 4, 3], 'stride_list': [4, 2, 1]}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
tennis_v3 pettingzoo
Load tennis_v3 environment in type pettingzoo.
Env observation space: <bound method aec_to_parallel_wrapper.observation_space of <pettingzoo.utils.conversions.aec_to_parallel_wrapper object at 0x7ff177270550>> action space: <bound method aec_to_parallel_wrapper.action_space of <pettingzoo.utils.conversions.aec_to_parallel_wrapper object at 0x7ff177270550>>
random seed: [49, 300, 686, 819, 601]
<mars.env.wrappers.mars_wrappers.SSVecWrapper object at 0x7ff1772705c0>
discrete_policy 18 Discrete(18)
NashDQNBase(
  (net): CNN(
    (features): Sequential(
      (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
      (1): ReLU()
      (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
      (3): ReLU()
      (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
      (5): ReLU()
    )
    (body): Sequential(
      (0): Flatten()
      (1): Linear(in_features=3136, out_features=512, bias=True)
      (2): ReLU()
      (3): Linear(in_features=512, out_features=512, bias=True)
      (4): ReLU()
      (5): Linear(in_features=512, out_features=324, bias=True)
      (6): Softmax(dim=-1)
    )
  )
)
discrete_policy 18 Discrete(18)
NashDQNBase(
  (net): CNN(
    (features): Sequential(
      (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
      (1): ReLU()
      (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
      (3): ReLU()
      (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
      (5): ReLU()
    )
    (body): Sequential(
      (0): Flatten()
      (1): Linear(in_features=3136, out_features=512, bias=True)
      (2): ReLU()
      (3): Linear(in_features=512, out_features=512, bias=True)
      (4): ReLU()
      (5): Linear(in_features=512, out_features=324, bias=True)
      (6): Softmax(dim=-1)
    )
  )
)
discrete_policy 18 Discrete(18)
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'tennis_v3', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': False, 'seed': 'random', 'record_video': False, 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.001, 'eps_decay': 5000000}, 'num_process': 1, 'batch_size': 128, 'max_episodes': 50000, 'max_steps_per_episode': 300, 'train_start_frame': 0, 'save_id': 202208081525, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'wandb_activate': True, 'wandb_entity': 'quantumiracle', 'wandb_project': 'pettingzoo_tennis_v3_nash_dqn', 'wandb_group': '', 'wandb_name': '202208081525', 'net_architecture': {'hidden_dim_list': [512, 512], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax', 'channel_list': [32, 64, 64], 'kernel_size_list': [8, 4, 3], 'stride_list': [4, 2, 1]}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/202208081525/pettingzoo_tennis_v3_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/202208081525/pettingzoo_tennis_v3_nash_dqn.
Episode: 1/50000 (0.0020%),                 avg. length: 299.0,                last time consumption/overall running time: 39.71s / 39.71 s
first_0:                 episode reward: 3.0000,                 loss: 0.0191
second_0:                 episode reward: -3.0000,                 loss: nan
Episode: 21/50000 (0.0420%),                 avg. length: 299.0,                last time consumption/overall running time: 874.03s / 913.74 s
first_0:                 episode reward: 2.4500,                 loss: 0.0190
second_0:                 episode reward: -2.4500,                 loss: nan
Episode: 41/50000 (0.0820%),                 avg. length: 299.0,                last time consumption/overall running time: 868.88s / 1782.62 s
first_0:                 episode reward: 2.0000,                 loss: 0.0187
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 61/50000 (0.1220%),                 avg. length: 299.0,                last time consumption/overall running time: 865.51s / 2648.13 s
first_0:                 episode reward: 2.1000,                 loss: 0.0186wandb: Network error (ConnectTimeout), entering retry loop.
wandb: Network error (ConnectTimeout), entering retry loop.
wandb: Network error (ConnectTimeout), entering retry loop.
wandb: Network error (ConnectTimeout), entering retry loop.

second_0:                 episode reward: -2.1000,                 loss: nan
Episode: 81/50000 (0.1620%),                 avg. length: 299.0,                last time consumption/overall running time: 860.03s / 3508.16 s
first_0:                 episode reward: 2.1000,                 loss: 0.0189
second_0:                 episode reward: -2.1000,                 loss: nan
Episode: 101/50000 (0.2020%),                 avg. length: 299.0,                last time consumption/overall running time: 859.13s / 4367.28 s
first_0:                 episode reward: 2.5000,                 loss: 0.0187
second_0:                 episode reward: -2.5000,                 loss: nan
Episode: 121/50000 (0.2420%),                 avg. length: 299.0,                last time consumption/overall running time: 856.47s / 5223.75 s
first_0:                 episode reward: 2.6000,                 loss: 0.0188
second_0:                 episode reward: -2.6000,                 loss: nan
Episode: 141/50000 (0.2820%),                 avg. length: 299.0,                last time consumption/overall running time: 851.94s / 6075.69 s
first_0:                 episode reward: 2.1500,                 loss: 0.0190
second_0:                 episode reward: -2.1500,                 loss: nan
Episode: 161/50000 (0.3220%),                 avg. length: 299.0,                last time consumption/overall running time: 864.68s / 6940.38 s
first_0:                 episode reward: 2.2000,                 loss: 0.0188
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 181/50000 (0.3620%),                 avg. length: 299.0,                last time consumption/overall running time: 868.61s / 7808.98 s
first_0:                 episode reward: 2.0500,                 loss: 0.0191
second_0:                 episode reward: -2.0500,                 loss: nan
Episode: 201/50000 (0.4020%),                 avg. length: 299.0,                last time consumption/overall running time: 870.36s / 8679.34 s
first_0:                 episode reward: 1.8500,                 loss: 0.0184
second_0:                 episode reward: -1.8500,                 loss: nan
Episode: 221/50000 (0.4420%),                 avg. length: 299.0,                last time consumption/overall running time: 849.64s / 9528.99 s
first_0:                 episode reward: 1.8000,                 loss: 0.0184
second_0:                 episode reward: -1.8000,                 loss: nan
Episode: 241/50000 (0.4820%),                 avg. length: 299.0,                last time consumption/overall running time: 841.56s / 10370.54 s
first_0:                 episode reward: 1.9000,                 loss: 0.0183
second_0:                 episode reward: -1.9000,                 loss: nan
Episode: 261/50000 (0.5220%),                 avg. length: 299.0,                last time consumption/overall running time: 842.91s / 11213.45 s
first_0:                 episode reward: 2.4000,                 loss: 0.0183
second_0:                 episode reward: -2.4000,                 loss: nan
Episode: 281/50000 (0.5620%),                 avg. length: 299.0,                last time consumption/overall running time: 844.26s / 12057.71 s
first_0:                 episode reward: 1.8000,                 loss: 0.0184
second_0:                 episode reward: -1.8000,                 loss: nan
Episode: 301/50000 (0.6020%),                 avg. length: 299.0,                last time consumption/overall running time: 842.60s / 12900.31 s
first_0:                 episode reward: 2.6500,                 loss: 0.0183
second_0:                 episode reward: -2.6500,                 loss: nan
Episode: 321/50000 (0.6420%),                 avg. length: 299.0,                last time consumption/overall running time: 842.51s / 13742.82 s
first_0:                 episode reward: 2.5000,                 loss: 0.0182
second_0:                 episode reward: -2.5000,                 loss: nan
Episode: 341/50000 (0.6820%),                 avg. length: 299.0,                last time consumption/overall running time: 840.41s / 14583.23 s
first_0:                 episode reward: 1.7000,                 loss: 0.0184
second_0:                 episode reward: -1.7000,                 loss: nan
Episode: 361/50000 (0.7220%),                 avg. length: 299.0,                last time consumption/overall running time: 840.89s / 15424.12 s
first_0:                 episode reward: 2.1500,                 loss: 0.0182
second_0:                 episode reward: -2.1500,                 loss: nan
Episode: 381/50000 (0.7620%),                 avg. length: 299.0,                last time consumption/overall running time: 841.74s / 16265.86 s
first_0:                 episode reward: 1.9000,                 loss: 0.0181
second_0:                 episode reward: -1.9000,                 loss: nan
Episode: 401/50000 (0.8020%),                 avg. length: 299.0,                last time consumption/overall running time: 848.37s / 17114.23 s
first_0:                 episode reward: 1.6000,                 loss: 0.0181
second_0:                 episode reward: -1.6000,                 loss: nan
Episode: 421/50000 (0.8420%),                 avg. length: 299.0,                last time consumption/overall running time: 847.18s / 17961.41 s
first_0:                 episode reward: 2.2000,                 loss: 0.0181
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 441/50000 (0.8820%),                 avg. length: 299.0,                last time consumption/overall running time: 846.27s / 18807.68 s
first_0:                 episode reward: 2.1500,                 loss: 0.0181
second_0:                 episode reward: -2.1500,                 loss: nan
Episode: 461/50000 (0.9220%),                 avg. length: 299.0,                last time consumption/overall running time: 846.70s / 19654.38 s
first_0:                 episode reward: 2.4500,                 loss: 0.0182
second_0:                 episode reward: -2.4500,                 loss: nan
Episode: 481/50000 (0.9620%),                 avg. length: 299.0,                last time consumption/overall running time: 850.75s / 20505.14 s
first_0:                 episode reward: 1.9500,                 loss: 0.0180
second_0:                 episode reward: -1.9500,                 loss: nan
Episode: 501/50000 (1.0020%),                 avg. length: 299.0,                last time consumption/overall running time: 853.12s / 21358.25 s
first_0:                 episode reward: 2.2000,                 loss: 0.0181
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 521/50000 (1.0420%),                 avg. length: 299.0,                last time consumption/overall running time: 852.68s / 22210.94 s
first_0:                 episode reward: 1.5500,                 loss: 0.0182
second_0:                 episode reward: -1.5500,                 loss: nan
Episode: 541/50000 (1.0820%),                 avg. length: 299.0,                last time consumption/overall running time: 848.84s / 23059.78 s
first_0:                 episode reward: 2.5500,                 loss: 0.0181
second_0:                 episode reward: -2.5500,                 loss: nan
Episode: 561/50000 (1.1220%),                 avg. length: 299.0,                last time consumption/overall running time: 850.10s / 23909.88 s
first_0:                 episode reward: 1.9000,                 loss: 0.0180
second_0:                 episode reward: -1.9000,                 loss: nan
Episode: 581/50000 (1.1620%),                 avg. length: 299.0,                last time consumption/overall running time: 851.05s / 24760.93 s
first_0:                 episode reward: 2.2500,                 loss: 0.0181
second_0:                 episode reward: -2.2500,                 loss: nan
Episode: 601/50000 (1.2020%),                 avg. length: 299.0,                last time consumption/overall running time: 848.95s / 25609.88 s
first_0:                 episode reward: 2.4000,                 loss: 0.0179
second_0:                 episode reward: -2.4000,                 loss: nanwandb: Network error (ConnectTimeout), entering retry loop.

Episode: 621/50000 (1.2420%),                 avg. length: 299.0,                last time consumption/overall running time: 846.58s / 26456.46 s
first_0:                 episode reward: 2.4500,                 loss: 0.0182
second_0:                 episode reward: -2.4500,                 loss: nan
Episode: 641/50000 (1.2820%),                 avg. length: 299.0,                last time consumption/overall running time: 847.55s / 27304.00 s
first_0:                 episode reward: 2.0500,                 loss: 0.0182
second_0:                 episode reward: -2.0500,                 loss: nan
Episode: 661/50000 (1.3220%),                 avg. length: 299.0,                last time consumption/overall running time: 853.22s / 28157.22 s
first_0:                 episode reward: 2.0000,                 loss: 0.0182
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 681/50000 (1.3620%),                 avg. length: 299.0,                last time consumption/overall running time: 849.76s / 29006.98 s
first_0:                 episode reward: 2.0000,                 loss: 0.0181
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 701/50000 (1.4020%),                 avg. length: 299.0,                last time consumption/overall running time: 849.36s / 29856.34 s
first_0:                 episode reward: 2.3000,                 loss: 0.0179
second_0:                 episode reward: -2.3000,                 loss: nan
Episode: 721/50000 (1.4420%),                 avg. length: 299.0,                last time consumption/overall running time: 850.95s / 30707.28 s
first_0:                 episode reward: 2.2000,                 loss: 0.0180
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 741/50000 (1.4820%),                 avg. length: 299.0,                last time consumption/overall running time: 852.89s / 31560.17 s
first_0:                 episode reward: 2.1500,                 loss: 0.0179
second_0:                 episode reward: -2.1500,                 loss: nan
