pong_v1 pettingzoo
<SubprocVectorEnv instance>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'pong_v1', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': True, 'seed': 12234, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'hidden_dim': 64, 'batch_size': 64, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'selfplay_score_delta': 20, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1280.0
env0_first_0:                 episode reward: 10.0000,                 loss: nan
env0_second_0:                 episode reward: -10.0000,                 loss: nan
env1_first_0:                 episode reward: 12.0000,                 loss: nan
env1_second_0:                 episode reward: -12.0000,                 loss: nan
env2_first_0:                 episode reward: -11.0000,                 loss: nan
env2_second_0:                 episode reward: 11.0000,                 loss: nan
env3_first_0:                 episode reward: -8.0000,                 loss: nan
env3_second_0:                 episode reward: 8.0000,                 loss: nan
env4_first_0:                 episode reward: -2.0000,                 loss: nan
env4_second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 21, avg. length 1081.5
env0_first_0:                 episode reward: -2.9500,                 loss: 0.0155
env0_second_0:                 episode reward: 2.9500,                 loss: nan
env1_first_0:                 episode reward: -0.6000,                 loss: nan
env1_second_0:                 episode reward: 0.6000,                 loss: nan
env2_first_0:                 episode reward: -4.5500,                 loss: nan
env2_second_0:                 episode reward: 4.5500,                 loss: nan
env3_first_0:                 episode reward: -3.6500,                 loss: nan
env3_second_0:                 episode reward: 3.6500,                 loss: nan
env4_first_0:                 episode reward: -5.4000,                 loss: nan
env4_second_0:                 episode reward: 5.4000,                 loss: nan
Episode: 41, avg. length 1057.25
env0_first_0:                 episode reward: -10.5500,                 loss: 0.0080
env0_second_0:                 episode reward: 10.5500,                 loss: nan
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
env2_first_0:                 episode reward: -4.5000,                 loss: nan
env2_second_0:                 episode reward: 4.5000,                 loss: nan
env3_first_0:                 episode reward: -3.2500,                 loss: nan
env3_second_0:                 episode reward: 3.2500,                 loss: nan
env4_first_0:                 episode reward: -6.9500,                 loss: nan
env4_second_0:                 episode reward: 6.9500,                 loss: nan
Episode: 61, avg. length 1058.7
env0_first_0:                 episode reward: 1.2000,                 loss: 0.0115
env0_second_0:                 episode reward: -1.2000,                 loss: nan
env1_first_0:                 episode reward: -1.5000,                 loss: nan
env1_second_0:                 episode reward: 1.5000,                 loss: nan
env2_first_0:                 episode reward: 3.1500,                 loss: nan
env2_second_0:                 episode reward: -3.1500,                 loss: nan
env3_first_0:                 episode reward: 0.1500,                 loss: nan
env3_second_0:                 episode reward: -0.1500,                 loss: nan
env4_first_0:                 episode reward: 0.8000,                 loss: nan
env4_second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 81, avg. length 1040.35
env0_first_0:                 episode reward: 4.9500,                 loss: 0.0114
env0_second_0:                 episode reward: -4.9500,                 loss: nan
env1_first_0:                 episode reward: 12.0000,                 loss: nan
env1_second_0:                 episode reward: -12.0000,                 loss: nan
env2_first_0:                 episode reward: 10.5000,                 loss: nan
env2_second_0:                 episode reward: -10.5000,                 loss: nan
env3_first_0:                 episode reward: 9.8000,                 loss: nan
env3_second_0:                 episode reward: -9.8000,                 loss: nan
env4_first_0:                 episode reward: 9.3000,                 loss: nan
env4_second_0:                 episode reward: -9.3000,                 loss: nan
Score delta: 21.9, udpate the opponent.
Episode: 101, avg. length 741.45
env0_first_0:                 episode reward: 19.1000,                 loss: 0.0125
env0_second_0:                 episode reward: -19.1000,                 loss: nan
env1_first_0:                 episode reward: 17.2500,                 loss: nan
env1_second_0:                 episode reward: -17.2500,                 loss: nan
env2_first_0:                 episode reward: 17.0000,                 loss: nan
env2_second_0:                 episode reward: -17.0000,                 loss: nan
env3_first_0:                 episode reward: 17.9000,                 loss: nan
env3_second_0:                 episode reward: -17.9000,                 loss: nan
env4_first_0:                 episode reward: 19.1000,                 loss: nan
env4_second_0:                 episode reward: -19.1000,                 loss: nan
Score delta: 38.6, udpate the opponent.
Episode: 121, avg. length 887.4
env0_first_0:                 episode reward: 0.4500,                 loss: 0.0074
env0_second_0:                 episode reward: -0.4500,                 loss: nan
env1_first_0:                 episode reward: -1.0500,                 loss: nan
env1_second_0:                 episode reward: 1.0500,                 loss: nan
env2_first_0:                 episode reward: -0.7000,                 loss: nan
env2_second_0:                 episode reward: 0.7000,                 loss: nan
env3_first_0:                 episode reward: -1.0000,                 loss: nan
env3_second_0:                 episode reward: 1.0000,                 loss: nan
env4_first_0:                 episode reward: -1.4000,                 loss: nan
env4_second_0:                 episode reward: 1.4000,                 loss: nan
Score delta: 21.6, udpate the opponent.
Episode: 141, avg. length 814.4
env0_first_0:                 episode reward: 10.8000,                 loss: 0.0100
env0_second_0:                 episode reward: -10.8000,                 loss: nan
env1_first_0:                 episode reward: 9.7000,                 loss: nan
env1_second_0:                 episode reward: -9.7000,                 loss: nan
env2_first_0:                 episode reward: 7.4500,                 loss: nan
env2_second_0:                 episode reward: -7.4500,                 loss: nan
env3_first_0:                 episode reward: 8.7000,                 loss: nan
env3_second_0:                 episode reward: -8.7000,                 loss: nan
env4_first_0:                 episode reward: 7.0000,                 loss: nan
env4_second_0:                 episode reward: -7.0000,                 loss: nan
Episode: 161, avg. length 752.8
env0_first_0:                 episode reward: 13.8500,                 loss: 0.0115
env0_second_0:                 episode reward: -13.8500,                 loss: nan
env1_first_0:                 episode reward: 10.6000,                 loss: nan
env1_second_0:                 episode reward: -10.6000,                 loss: nan
env2_first_0:                 episode reward: 11.5000,                 loss: nan
env2_second_0:                 episode reward: -11.5000,                 loss: nan
env3_first_0:                 episode reward: 11.0500,                 loss: nan
env3_second_0:                 episode reward: -11.0500,                 loss: nan
env4_first_0:                 episode reward: 12.1000,                 loss: nan
env4_second_0:                 episode reward: -12.1000,                 loss: nan
Score delta: 29.0, udpate the opponent.
Episode: 181, avg. length 729.25
env0_first_0:                 episode reward: 18.6500,                 loss: 0.0070
env0_second_0:                 episode reward: -18.6500,                 loss: nan
env1_first_0:                 episode reward: 19.4000,                 loss: nan
env1_second_0:                 episode reward: -19.4000,                 loss: nan
env2_first_0:                 episode reward: 20.6500,                 loss: nan
env2_second_0:                 episode reward: -20.6500,                 loss: nan
env3_first_0:                 episode reward: 19.7000,                 loss: nan
env3_second_0:                 episode reward: -19.7000,                 loss: nan
env4_first_0:                 episode reward: 18.7500,                 loss: nan
env4_second_0:                 episode reward: -18.7500,                 loss: nan
Score delta: 36.9, udpate the opponent.
Episode: 201, avg. length 937.8
env0_first_0:                 episode reward: 2.3000,                 loss: 0.0124
env0_second_0:                 episode reward: -2.3000,                 loss: nan
env1_first_0:                 episode reward: 1.9500,                 loss: nan
env1_second_0:                 episode reward: -1.9500,                 loss: nan
env2_first_0:                 episode reward: 4.3500,                 loss: nan
env2_second_0:                 episode reward: -4.3500,                 loss: nan
env3_first_0:                 episode reward: 1.4000,                 loss: nan
env3_second_0:                 episode reward: -1.4000,                 loss: nan
env4_first_0:                 episode reward: -2.9000,                 loss: nan
env4_second_0:                 episode reward: 2.9000,                 loss: nan
Episode: 221, avg. length 988.0
env0_first_0:                 episode reward: -0.4000,                 loss: 0.0087
env0_second_0:                 episode reward: 0.4000,                 loss: nan
env1_first_0:                 episode reward: 4.4500,                 loss: nan
env1_second_0:                 episode reward: -4.4500,                 loss: nan
env2_first_0:                 episode reward: -2.6000,                 loss: nan
env2_second_0:                 episode reward: 2.6000,                 loss: nan
env3_first_0:                 episode reward: -3.7000,                 loss: nan
env3_second_0:                 episode reward: 3.7000,                 loss: nan
env4_first_0:                 episode reward: 3.4500,                 loss: nan
env4_second_0:                 episode reward: -3.4500,                 loss: nan
Score delta: 20.9, udpate the opponent.
Episode: 241, avg. length 866.4
env0_first_0:                 episode reward: 11.3500,                 loss: 0.0087
env0_second_0:                 episode reward: -11.3500,                 loss: nan
env1_first_0:                 episode reward: 11.9500,                 loss: nan
env1_second_0:                 episode reward: -11.9500,                 loss: nan
env2_first_0:                 episode reward: 10.8000,                 loss: nan
env2_second_0:                 episode reward: -10.8000,                 loss: nan
env3_first_0:                 episode reward: 13.2500,                 loss: nan
env3_second_0:                 episode reward: -13.2500,                 loss: nan
env4_first_0:                 episode reward: 11.3000,                 loss: nan
env4_second_0:                 episode reward: -11.3000,                 loss: nan
Score delta: 36.3, udpate the opponent.
Episode: 261, avg. length 734.95
env0_first_0:                 episode reward: 18.1500,                 loss: 0.0088
env0_second_0:                 episode reward: -18.1500,                 loss: nan
env1_first_0:                 episode reward: 13.1000,                 loss: nan
env1_second_0:                 episode reward: -13.1000,                 loss: nan
env2_first_0:                 episode reward: 15.7500,                 loss: nan
env2_second_0:                 episode reward: -15.7500,                 loss: nan
env3_first_0:                 episode reward: 15.3500,                 loss: nan
env3_second_0:                 episode reward: -15.3500,                 loss: nan
env4_first_0:                 episode reward: 14.4500,                 loss: nan
env4_second_0:                 episode reward: -14.4500,                 loss: nan
Episode: 281, avg. length 884.65
env0_first_0:                 episode reward: 8.5500,                 loss: 0.0129
env0_second_0:                 episode reward: -8.5500,                 loss: nan
env1_first_0:                 episode reward: 7.6500,                 loss: nan
env1_second_0:                 episode reward: -7.6500,                 loss: nan
env2_first_0:                 episode reward: 10.2500,                 loss: nan
env2_second_0:                 episode reward: -10.2500,                 loss: nan
env3_first_0:                 episode reward: 7.7000,                 loss: nan
env3_second_0:                 episode reward: -7.7000,                 loss: nan
env4_first_0:                 episode reward: 9.5500,                 loss: nan
env4_second_0:                 episode reward: -9.5500,                 loss: nan
Episode: 301, avg. length 898.0
env0_first_0:                 episode reward: 5.4000,                 loss: 0.0153
env0_second_0:                 episode reward: -5.4000,                 loss: nan
env1_first_0:                 episode reward: 8.4500,                 loss: nan
env1_second_0:                 episode reward: -8.4500,                 loss: nan
env2_first_0:                 episode reward: 11.8000,                 loss: nan
env2_second_0:                 episode reward: -11.8000,                 loss: nan
env3_first_0:                 episode reward: 3.7500,                 loss: nan
env3_second_0:                 episode reward: -3.7500,                 loss: nan
env4_first_0:                 episode reward: 2.1000,                 loss: nan
env4_second_0:                 episode reward: -2.1000,                 loss: nan
Score delta: 21.4, udpate the opponent.
Episode: 321, avg. length 778.3
env0_first_0:                 episode reward: 10.3000,                 loss: 0.0107
env0_second_0:                 episode reward: -10.3000,                 loss: nan
env1_first_0:                 episode reward: 8.0000,                 loss: nan
env1_second_0:                 episode reward: -8.0000,                 loss: nan
env2_first_0:                 episode reward: 10.2000,                 loss: nan
env2_second_0:                 episode reward: -10.2000,                 loss: nan
env3_first_0:                 episode reward: 11.0500,                 loss: nan
env3_second_0:                 episode reward: -11.0500,                 loss: nan
env4_first_0:                 episode reward: 9.5000,                 loss: nan
env4_second_0:                 episode reward: -9.5000,                 loss: nan
Score delta: 29.9, udpate the opponent.
Episode: 341, avg. length 776.45
env0_first_0:                 episode reward: 18.3000,                 loss: 0.0102
env0_second_0:                 episode reward: -18.3000,                 loss: nan
env1_first_0:                 episode reward: 17.5500,                 loss: nan
env1_second_0:                 episode reward: -17.5500,                 loss: nan
env2_first_0:                 episode reward: 18.9000,                 loss: nan
env2_second_0:                 episode reward: -18.9000,                 loss: nan
env3_first_0:                 episode reward: 16.2000,                 loss: nan
env3_second_0:                 episode reward: -16.2000,                 loss: nan
env4_first_0:                 episode reward: 18.6000,                 loss: nan
env4_second_0:                 episode reward: -18.6000,                 loss: nan
Score delta: 38.5, udpate the opponent.
Episode: 361, avg. length 780.95
env0_first_0:                 episode reward: 12.6000,                 loss: 0.0094
env0_second_0:                 episode reward: -12.6000,                 loss: nan
env1_first_0:                 episode reward: 11.9000,                 loss: nan
env1_second_0:                 episode reward: -11.9000,                 loss: nan
env2_first_0:                 episode reward: 13.3000,                 loss: nan
env2_second_0:                 episode reward: -13.3000,                 loss: nan
env3_first_0:                 episode reward: 12.0000,                 loss: nan
env3_second_0:                 episode reward: -12.0000,                 loss: nan
env4_first_0:                 episode reward: 12.8500,                 loss: nan
env4_second_0:                 episode reward: -12.8500,                 loss: nan
Episode: 381, avg. length 1361.85
env0_first_0:                 episode reward: -4.7000,                 loss: 0.0085
env0_second_0:                 episode reward: 4.7000,                 loss: nan
env1_first_0:                 episode reward: -8.0000,                 loss: nan
env1_second_0:                 episode reward: 8.0000,                 loss: nan
env2_first_0:                 episode reward: -8.8000,                 loss: nan
env2_second_0:                 episode reward: 8.8000,                 loss: nan
env3_first_0:                 episode reward: -7.6000,                 loss: nan
env3_second_0:                 episode reward: 7.6000,                 loss: nan
env4_first_0:                 episode reward: -7.1000,                 loss: nan
env4_second_0:                 episode reward: 7.1000,                 loss: nan
Episode: 401, avg. length 1379.5
env0_first_0:                 episode reward: -8.5500,                 loss: 0.0105
env0_second_0:                 episode reward: 8.5500,                 loss: nan
env1_first_0:                 episode reward: -5.9500,                 loss: nan
env1_second_0:                 episode reward: 5.9500,                 loss: nan
env2_first_0:                 episode reward: -6.9000,                 loss: nan
env2_second_0:                 episode reward: 6.9000,                 loss: nan
env3_first_0:                 episode reward: -7.5000,                 loss: nan
env3_second_0:                 episode reward: 7.5000,                 loss: nan
env4_first_0:                 episode reward: -7.2000,                 loss: nan
env4_second_0:                 episode reward: 7.2000,                 loss: nan
Episode: 421, avg. length 1216.7
env0_first_0:                 episode reward: 0.0000,                 loss: 0.0125
env0_second_0:                 episode reward: 0.0000,                 loss: nan
env1_first_0:                 episode reward: 5.7500,                 loss: nan
env1_second_0:                 episode reward: -5.7500,                 loss: nan
env2_first_0:                 episode reward: 1.0000,                 loss: nan
env2_second_0:                 episode reward: -1.0000,                 loss: nan
env3_first_0:                 episode reward: 3.3500,                 loss: nan
env3_second_0:                 episode reward: -3.3500,                 loss: nan
env4_first_0:                 episode reward: 2.0500,                 loss: nan
env4_second_0:                 episode reward: -2.0500,                 loss: nan
Episode: 441, avg. length 1163.8
env0_first_0:                 episode reward: -3.9000,                 loss: 0.0094
env0_second_0:                 episode reward: 3.9000,                 loss: nan
env1_first_0:                 episode reward: 1.6000,                 loss: nan
env1_second_0:                 episode reward: -1.6000,                 loss: nan
env2_first_0:                 episode reward: -0.4000,                 loss: nan
env2_second_0:                 episode reward: 0.4000,                 loss: nan
env3_first_0:                 episode reward: -1.3500,                 loss: nan
env3_second_0:                 episode reward: 1.3500,                 loss: nan
env4_first_0:                 episode reward: -1.0000,                 loss: nan
env4_second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 461, avg. length 1045.65
env0_first_0:                 episode reward: 1.4000,                 loss: 0.0173
env0_second_0:                 episode reward: -1.4000,                 loss: nan
env1_first_0:                 episode reward: 4.2000,                 loss: nan
env1_second_0:                 episode reward: -4.2000,                 loss: nan
env2_first_0:                 episode reward: -0.5000,                 loss: nan
env2_second_0:                 episode reward: 0.5000,                 loss: nan
env3_first_0:                 episode reward: 4.0500,                 loss: nan
env3_second_0:                 episode reward: -4.0500,                 loss: nan
env4_first_0:                 episode reward: 3.1000,                 loss: nan
env4_second_0:                 episode reward: -3.1000,                 loss: nan
