boxing_v1 pettingzoo
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 5, 'ram': True, 'seed': 1122, 'algorithm': 'NashDQNExploiter', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash', 'marl_spec': {}}
Episode: 1, avg. length 1784.0
env0_first_0:                 episode reward: -7.0000,                 loss: nan
env0_second_0:                 episode reward: 7.0000,                 loss: nan
env1_first_0:                 episode reward: -4.0000,                 loss: nan
env1_second_0:                 episode reward: 4.0000,                 loss: nan
env2_first_0:                 episode reward: 2.0000,                 loss: nan
env2_second_0:                 episode reward: -2.0000,                 loss: nan
env3_first_0:                 episode reward: -3.0000,                 loss: nan
env3_second_0:                 episode reward: 3.0000,                 loss: nan
env4_first_0:                 episode reward: 4.0000,                 loss: nan
env4_second_0:                 episode reward: -4.0000,                 loss: nan
Episode: 11, avg. length 1784.0
env0_first_0:                 episode reward: -2.5000,                 loss: 0.0175
env0_second_0:                 episode reward: 2.5000,                 loss: nan
env1_first_0:                 episode reward: -2.2000,                 loss: nan
env1_second_0:                 episode reward: 2.2000,                 loss: nan
env2_first_0:                 episode reward: -1.6000,                 loss: nan
env2_second_0:                 episode reward: 1.6000,                 loss: nan
env3_first_0:                 episode reward: 1.3000,                 loss: nan
env3_second_0:                 episode reward: -1.3000,                 loss: nan
env4_first_0:                 episode reward: -1.4000,                 loss: nan
env4_second_0:                 episode reward: 1.4000,                 loss: nan
Episode: 21, avg. length 1784.0
env0_first_0:                 episode reward: 1.4000,                 loss: 0.0094
env0_second_0:                 episode reward: -1.4000,                 loss: nan
env1_first_0:                 episode reward: 3.6000,                 loss: nan
env1_second_0:                 episode reward: -3.6000,                 loss: nan
env2_first_0:                 episode reward: 1.6000,                 loss: nan
env2_second_0:                 episode reward: -1.6000,                 loss: nan
env3_first_0:                 episode reward: 5.2000,                 loss: nan
env3_second_0:                 episode reward: -5.2000,                 loss: nan
env4_first_0:                 episode reward: 2.9000,                 loss: nan
env4_second_0:                 episode reward: -2.9000,                 loss: nan
Episode: 31, avg. length 1784.0
env0_first_0:                 episode reward: 3.0000,                 loss: 0.0047
env0_second_0:                 episode reward: -3.0000,                 loss: nan
env1_first_0:                 episode reward: 6.2000,                 loss: nan
env1_second_0:                 episode reward: -6.2000,                 loss: nan
env2_first_0:                 episode reward: 2.2000,                 loss: nan
env2_second_0:                 episode reward: -2.2000,                 loss: nan
env3_first_0:                 episode reward: 2.8000,                 loss: nan
env3_second_0:                 episode reward: -2.8000,                 loss: nan
env4_first_0:                 episode reward: 5.3000,                 loss: nan
env4_second_0:                 episode reward: -5.3000,                 loss: nan
Episode: 41, avg. length 1784.0
env0_first_0:                 episode reward: 7.7000,                 loss: 0.0031
env0_second_0:                 episode reward: -7.7000,                 loss: nan
env1_first_0:                 episode reward: 8.9000,                 loss: nan
env1_second_0:                 episode reward: -8.9000,                 loss: nan
env2_first_0:                 episode reward: 10.6000,                 loss: nan
env2_second_0:                 episode reward: -10.6000,                 loss: nan
env3_first_0:                 episode reward: 5.8000,                 loss: nan
env3_second_0:                 episode reward: -5.8000,                 loss: nan
env4_first_0:                 episode reward: 4.0000,                 loss: nan
env4_second_0:                 episode reward: -4.0000,                 loss: nan
Episode: 51, avg. length 1784.0
env0_first_0:                 episode reward: 7.5000,                 loss: 0.0016
env0_second_0:                 episode reward: -7.5000,                 loss: nan
env1_first_0:                 episode reward: 10.7000,                 loss: nan
env1_second_0:                 episode reward: -10.7000,                 loss: nan
env2_first_0:                 episode reward: 7.6000,                 loss: nan
env2_second_0:                 episode reward: -7.6000,                 loss: nan
env3_first_0:                 episode reward: 8.2000,                 loss: nan
env3_second_0:                 episode reward: -8.2000,                 loss: nan
env4_first_0:                 episode reward: 8.0000,                 loss: nan
env4_second_0:                 episode reward: -8.0000,                 loss: nan
Episode: 61, avg. length 1784.0
env0_first_0:                 episode reward: 14.0000,                 loss: 0.0031
env0_second_0:                 episode reward: -14.0000,                 loss: nan
env1_first_0:                 episode reward: 11.7000,                 loss: nan
env1_second_0:                 episode reward: -11.7000,                 loss: nan
env2_first_0:                 episode reward: 11.4000,                 loss: nan
env2_second_0:                 episode reward: -11.4000,                 loss: nan
env3_first_0:                 episode reward: 13.2000,                 loss: nan
env3_second_0:                 episode reward: -13.2000,                 loss: nan
env4_first_0:                 episode reward: 12.3000,                 loss: nan
env4_second_0:                 episode reward: -12.3000,                 loss: nan
Episode: 71, avg. length 1784.0
env0_first_0:                 episode reward: 14.2000,                 loss: 0.0047
env0_second_0:                 episode reward: -14.2000,                 loss: nan
env1_first_0:                 episode reward: 12.0000,                 loss: nan
env1_second_0:                 episode reward: -12.0000,                 loss: nan
env2_first_0:                 episode reward: 10.2000,                 loss: nan
env2_second_0:                 episode reward: -10.2000,                 loss: nan
env3_first_0:                 episode reward: 8.0000,                 loss: nan
env3_second_0:                 episode reward: -8.0000,                 loss: nan
env4_first_0:                 episode reward: 9.1000,                 loss: nan
env4_second_0:                 episode reward: -9.1000,                 loss: nan
Episode: 81, avg. length 1784.0
env0_first_0:                 episode reward: 10.7000,                 loss: 0.0063
env0_second_0:                 episode reward: -10.7000,                 loss: nan
env1_first_0:                 episode reward: 7.9000,                 loss: nan
env1_second_0:                 episode reward: -7.9000,                 loss: nan
env2_first_0:                 episode reward: 10.1000,                 loss: nan
env2_second_0:                 episode reward: -10.1000,                 loss: nan
env3_first_0:                 episode reward: 7.9000,                 loss: nan
env3_second_0:                 episode reward: -7.9000,                 loss: nan
env4_first_0:                 episode reward: 12.5000,                 loss: nan
env4_second_0:                 episode reward: -12.5000,                 loss: nan
Episode: 91, avg. length 1784.0
env0_first_0:                 episode reward: 4.9000,                 loss: 0.0094
env0_second_0:                 episode reward: -4.9000,                 loss: nan
env1_first_0:                 episode reward: 12.7000,                 loss: nan
env1_second_0:                 episode reward: -12.7000,                 loss: nan
env2_first_0:                 episode reward: 13.8000,                 loss: nan
env2_second_0:                 episode reward: -13.8000,                 loss: nan
env3_first_0:                 episode reward: 8.7000,                 loss: nan
env3_second_0:                 episode reward: -8.7000,                 loss: nan
env4_first_0:                 episode reward: 19.6000,                 loss: nan
env4_second_0:                 episode reward: -19.6000,                 loss: nan
Episode: 101, avg. length 1784.0
env0_first_0:                 episode reward: 10.3000,                 loss: 0.0016
env0_second_0:                 episode reward: -10.3000,                 loss: nan
env1_first_0:                 episode reward: 8.2000,                 loss: nan
env1_second_0:                 episode reward: -8.2000,                 loss: nan
env2_first_0:                 episode reward: 8.6000,                 loss: nan
env2_second_0:                 episode reward: -8.6000,                 loss: nan
env3_first_0:                 episode reward: 11.8000,                 loss: nan
env3_second_0:                 episode reward: -11.8000,                 loss: nan
env4_first_0:                 episode reward: 5.8000,                 loss: nan
env4_second_0:                 episode reward: -5.8000,                 loss: nan
Episode: 111, avg. length 1784.0
env0_first_0:                 episode reward: 11.1000,                 loss: 0.0000
env0_second_0:                 episode reward: -11.1000,                 loss: nan
env1_first_0:                 episode reward: 12.4000,                 loss: nan
env1_second_0:                 episode reward: -12.4000,                 loss: nan
env2_first_0:                 episode reward: 9.5000,                 loss: nan
env2_second_0:                 episode reward: -9.5000,                 loss: nan
env3_first_0:                 episode reward: 11.4000,                 loss: nan
env3_second_0:                 episode reward: -11.4000,                 loss: nan
env4_first_0:                 episode reward: 5.9000,                 loss: nan
env4_second_0:                 episode reward: -5.9000,                 loss: nan
Episode: 121, avg. length 1784.0
env0_first_0:                 episode reward: 12.2000,                 loss: 0.0063
env0_second_0:                 episode reward: -12.2000,                 loss: nan
env1_first_0:                 episode reward: 5.9000,                 loss: nan
env1_second_0:                 episode reward: -5.9000,                 loss: nan
env2_first_0:                 episode reward: 4.8000,                 loss: nan
env2_second_0:                 episode reward: -4.8000,                 loss: nan
env3_first_0:                 episode reward: 11.3000,                 loss: nan
env3_second_0:                 episode reward: -11.3000,                 loss: nan
env4_first_0:                 episode reward: 8.5000,                 loss: nan
env4_second_0:                 episode reward: -8.5000,                 loss: nan
Episode: 131, avg. length 1784.0
env0_first_0:                 episode reward: 20.2000,                 loss: 0.0016
env0_second_0:                 episode reward: -20.2000,                 loss: nan
env1_first_0:                 episode reward: 6.9000,                 loss: nan
env1_second_0:                 episode reward: -6.9000,                 loss: nan
