boxing_v1 pettingzoo
Box(0.0, 1.0, (128,), float32)
Load boxing_v1 environment in type pettingzoo.
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fcc25497b10>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 1122, 'hidden_dim': 64, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 5, 'log_interval': 20, 'render': False, 'test': False, 'load_model_idx': 'None', 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 7.0000,                 loss: nan
second_0:                 episode reward: -7.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: 2.0000,                 loss: 0.0003
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: -1.6000,                 loss: 0.0104
second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 61, avg. length 1784.0
first_0:                 episode reward: -0.6000,                 loss: 0.0008
second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 81, avg. length 1784.0
first_0:                 episode reward: -5.8000,                 loss: 0.0005
second_0:                 episode reward: 5.8000,                 loss: nan
Episode: 101, avg. length 1784.0
first_0:                 episode reward: 1.2000,                 loss: 0.0200
second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 121, avg. length 1784.0
first_0:                 episode reward: -6.2000,                 loss: 0.0112
second_0:                 episode reward: 6.2000,                 loss: nan
Episode: 141, avg. length 1784.0
first_0:                 episode reward: 7.4000,                 loss: 0.0048
second_0:                 episode reward: -7.4000,                 loss: nan
Episode: 161, avg. length 1784.0
first_0:                 episode reward: 6.4000,                 loss: 0.0245
second_0:                 episode reward: -6.4000,                 loss: nan
Episode: 181, avg. length 1784.0
first_0:                 episode reward: 2.2000,                 loss: 0.0148
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 201, avg. length 1784.0
first_0:                 episode reward: 0.2000,                 loss: 0.0037
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 221, avg. length 1784.0
first_0:                 episode reward: -1.4000,                 loss: 0.0091
second_0:                 episode reward: 1.4000,                 loss: nan
Episode: 241, avg. length 1784.0
first_0:                 episode reward: -7.2000,                 loss: 0.0228
second_0:                 episode reward: 7.2000,                 loss: nan
Episode: 261, avg. length 1784.0
first_0:                 episode reward: -2.0000,                 loss: 0.0211
second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 281, avg. length 1784.0
first_0:                 episode reward: 0.4000,                 loss: 0.0116
second_0:                 episode reward: -0.4000,                 loss: nan
Episode: 301, avg. length 1784.0
first_0:                 episode reward: 3.0000,                 loss: 0.0011
second_0:                 episode reward: -3.0000,                 loss: nan
Episode: 321, avg. length 1784.0
first_0:                 episode reward: 9.4000,                 loss: 0.0053
second_0:                 episode reward: -9.4000,                 loss: nan
Episode: 341, avg. length 1784.0
first_0:                 episode reward: 7.2000,                 loss: 0.0313
second_0:                 episode reward: -7.2000,                 loss: nan
Episode: 361, avg. length 1784.0
first_0:                 episode reward: -2.2000,                 loss: 0.0217
second_0:                 episode reward: 2.2000,                 loss: nan
Episode: 381, avg. length 1784.0
first_0:                 episode reward: 26.6000,                 loss: 0.0304
second_0:                 episode reward: -26.6000,                 loss: nan
Episode: 401, avg. length 1784.0
first_0:                 episode reward: 22.4000,                 loss: 0.0487
second_0:                 episode reward: -22.4000,                 loss: nan
Episode: 421, avg. length 1784.0
first_0:                 episode reward: 16.6000,                 loss: 0.0422
second_0:                 episode reward: -16.6000,                 loss: nan
Episode: 441, avg. length 1700.0
first_0:                 episode reward: 43.8000,                 loss: 0.0317
second_0:                 episode reward: -43.8000,                 loss: nan
Episode: 461, avg. length 1784.0
first_0:                 episode reward: 34.2000,                 loss: 0.0523
second_0:                 episode reward: -34.2000,                 loss: nan
Episode: 481, avg. length 1784.0
first_0:                 episode reward: 20.8000,                 loss: 0.0573
second_0:                 episode reward: -20.8000,                 loss: nan
Episode: 501, avg. length 1784.0
first_0:                 episode reward: 18.2000,                 loss: 0.0537
second_0:                 episode reward: -18.2000,                 loss: nan
Episode: 521, avg. length 1784.0
first_0:                 episode reward: 21.6000,                 loss: 0.0483
second_0:                 episode reward: -21.6000,                 loss: nan
Episode: 541, avg. length 1775.4
first_0:                 episode reward: -22.8000,                 loss: 0.0472
second_0:                 episode reward: 22.8000,                 loss: nan
Episode: 561, avg. length 1784.0
first_0:                 episode reward: 2.8000,                 loss: 0.1166
second_0:                 episode reward: -2.8000,                 loss: nan
Episode: 581, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.0298
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 601, avg. length 1784.0
first_0:                 episode reward: 9.0000,                 loss: 0.0522
second_0:                 episode reward: -9.0000,                 loss: nan
Episode: 621, avg. length 1784.0
first_0:                 episode reward: 9.6000,                 loss: 0.0570
second_0:                 episode reward: -9.6000,                 loss: nan
Episode: 641, avg. length 1651.4
first_0:                 episode reward: 65.6000,                 loss: 0.0491
second_0:                 episode reward: -65.6000,                 loss: nan
Episode: 661, avg. length 1784.0
first_0:                 episode reward: 14.8000,                 loss: 0.0769
second_0:                 episode reward: -14.8000,                 loss: nan
Episode: 681, avg. length 1784.0
first_0:                 episode reward: -7.6000,                 loss: 0.0915
second_0:                 episode reward: 7.6000,                 loss: nan
Episode: 701, avg. length 1582.2
first_0:                 episode reward: 24.8000,                 loss: 0.0428
second_0:                 episode reward: -24.8000,                 loss: nan
Episode: 721, avg. length 1682.2
first_0:                 episode reward: 11.8000,                 loss: 0.0480
second_0:                 episode reward: -11.8000,                 loss: nan
Episode: 741, avg. length 1416.0
first_0:                 episode reward: 45.2000,                 loss: 0.0424
second_0:                 episode reward: -45.2000,                 loss: nan
Episode: 761, avg. length 1519.6
first_0:                 episode reward: 42.6000,                 loss: 0.0320
second_0:                 episode reward: -42.6000,                 loss: nan
Episode: 781, avg. length 1784.0
first_0:                 episode reward: 9.2000,                 loss: 0.0687
