boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f33e9cdca50>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 1122, 'algorithm': 'PPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': False}, 'batch_size': 64, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 5, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'Tanh', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'Tanh', 'output_activation': False}}, 'marl_method': 'selfplay', 'marl_spec': {'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1784.0
first_0:                 episode reward: -1.0000,                 loss: 0.9471
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: -5.4000,                 loss: 0.9431
second_0:                 episode reward: 5.4000,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: -2.8000,                 loss: 0.9425
second_0:                 episode reward: 2.8000,                 loss: nan
Episode: 61, avg. length 1784.0
first_0:                 episode reward: -2.6000,                 loss: 0.9403
second_0:                 episode reward: 2.6000,                 loss: nan
Episode: 81, avg. length 1784.0
first_0:                 episode reward: -2.0000,                 loss: 0.9413
second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 101, avg. length 1784.0
first_0:                 episode reward: -4.2000,                 loss: 0.9400
second_0:                 episode reward: 4.2000,                 loss: nan
Episode: 121, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.9434
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 141, avg. length 1784.0
first_0:                 episode reward: -1.8000,                 loss: 0.9408
second_0:                 episode reward: 1.8000,                 loss: nan
Score delta: 10.8, udpate the opponent.
Episode: 161, avg. length 1784.0
first_0:                 episode reward: -1.2000,                 loss: 0.9415
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 181, avg. length 1784.0
first_0:                 episode reward: -3.2000,                 loss: 0.9422
second_0:                 episode reward: 3.2000,                 loss: nan
Episode: 201, avg. length 1784.0
first_0:                 episode reward: -4.0000,                 loss: 0.9412
second_0:                 episode reward: 4.0000,                 loss: nan
Episode: 221, avg. length 1784.0
first_0:                 episode reward: -4.0000,                 loss: 0.9423
second_0:                 episode reward: 4.0000,                 loss: nan
Score delta: 12.0, udpate the opponent.
Episode: 241, avg. length 1784.0
first_0:                 episode reward: -2.2000,                 loss: 0.9410
second_0:                 episode reward: 2.2000,                 loss: nan
Episode: 261, avg. length 1784.0
first_0:                 episode reward: -1.8000,                 loss: 0.9404
second_0:                 episode reward: 1.8000,                 loss: nan
Episode: 281, avg. length 1784.0
first_0:                 episode reward: 2.6000,                 loss: 0.9399
second_0:                 episode reward: -2.6000,                 loss: nan
Episode: 301, avg. length 1784.0
first_0:                 episode reward: -8.8000,                 loss: 0.9418
second_0:                 episode reward: 8.8000,                 loss: nan
Episode: 321, avg. length 1784.0
first_0:                 episode reward: 0.2000,                 loss: 0.9419
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 341, avg. length 1784.0
first_0:                 episode reward: -3.0000,                 loss: 0.9410
second_0:                 episode reward: 3.0000,                 loss: nan
Episode: 361, avg. length 1784.0
first_0:                 episode reward: -2.8000,                 loss: 0.9408
second_0:                 episode reward: 2.8000,                 loss: nan
Episode: 381, avg. length 1784.0
first_0:                 episode reward: -1.4000,                 loss: 0.9410
second_0:                 episode reward: 1.4000,                 loss: nan
Score delta: 10.4, udpate the opponent.
Episode: 401, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.9418
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 421, avg. length 1784.0
first_0:                 episode reward: -5.2000,                 loss: 0.9394
second_0:                 episode reward: 5.2000,                 loss: nan
Episode: 441, avg. length 1784.0
first_0:                 episode reward: -4.8000,                 loss: 0.9401
second_0:                 episode reward: 4.8000,                 loss: nan
Episode: 461, avg. length 1784.0
first_0:                 episode reward: -3.0000,                 loss: 0.9417
second_0:                 episode reward: 3.0000,                 loss: nan
Episode: 481, avg. length 1784.0
first_0:                 episode reward: -1.0000,                 loss: 0.9432
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 501, avg. length 1784.0
first_0:                 episode reward: 0.8000,                 loss: 0.9393
second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 521, avg. length 1784.0
first_0:                 episode reward: -6.0000,                 loss: 0.9430
second_0:                 episode reward: 6.0000,                 loss: nan
Score delta: 11.2, udpate the opponent.
Episode: 541, avg. length 1784.0
first_0:                 episode reward: -0.6000,                 loss: 0.9419
second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 561, avg. length 1784.0
first_0:                 episode reward: -5.8000,                 loss: 0.9420
second_0:                 episode reward: 5.8000,                 loss: nan
Episode: 581, avg. length 1784.0
first_0:                 episode reward: -4.8000,                 loss: 0.9415
second_0:                 episode reward: 4.8000,                 loss: nan
Score delta: 12.4, udpate the opponent.
Episode: 601, avg. length 1784.0
first_0:                 episode reward: -3.4000,                 loss: 0.9409
second_0:                 episode reward: 3.4000,                 loss: nan
Episode: 621, avg. length 1784.0
first_0:                 episode reward: -5.4000,                 loss: 0.9421
second_0:                 episode reward: 5.4000,                 loss: nan
Episode: 641, avg. length 1784.0
first_0:                 episode reward: -2.8000,                 loss: 0.9405
second_0:                 episode reward: 2.8000,                 loss: nan
Episode: 661, avg. length 1784.0
first_0:                 episode reward: -2.6000,                 loss: 0.9441
second_0:                 episode reward: 2.6000,                 loss: nan
Episode: 681, avg. length 1784.0
first_0:                 episode reward: 2.2000,                 loss: 0.9403
second_0:                 episode reward: -2.2000,                 loss: nan
Score delta: 12.8, udpate the opponent.
Episode: 701, avg. length 1784.0
first_0:                 episode reward: 6.4000,                 loss: 0.9405
second_0:                 episode reward: -6.4000,                 loss: nan
Episode: 721, avg. length 1784.0
first_0:                 episode reward: -5.2000,                 loss: 0.9426
second_0:                 episode reward: 5.2000,                 loss: nan
Score delta: 13.2, udpate the opponent.
Episode: 741, avg. length 1784.0
first_0:                 episode reward: 1.2000,                 loss: 0.9426
second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 761, avg. length 1784.0
first_0:                 episode reward: -1.2000,                 loss: 0.9413
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 781, avg. length 1784.0
first_0:                 episode reward: -2.6000,                 loss: 0.9444
second_0:                 episode reward: 2.6000,                 loss: nan
Episode: 801, avg. length 1784.0
first_0:                 episode reward: -3.2000,                 loss: 0.9403
second_0:                 episode reward: 3.2000,                 loss: nan
Episode: 821, avg. length 1784.0
first_0:                 episode reward: -1.6000,                 loss: 0.9412
second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 841, avg. length 1784.0
first_0:                 episode reward: -0.4000,                 loss: 0.9439
second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 861, avg. length 1784.0
first_0:                 episode reward: 2.8000,                 loss: 0.9427
second_0:                 episode reward: -2.8000,                 loss: nan
Score delta: 11.6, udpate the opponent.
Episode: 881, avg. length 1784.0
first_0:                 episode reward: 5.8000,                 loss: 0.9420
second_0:                 episode reward: -5.8000,                 loss: nan
Episode: 901, avg. length 1784.0
first_0:                 episode reward: 1.2000,                 loss: 0.9415
second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 921, avg. length 1784.0
first_0:                 episode reward: -1.2000,                 loss: 0.9426
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 941, avg. length 1784.0
first_0:                 episode reward: -1.6000,                 loss: 0.9412
second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 961, avg. length 1784.0
first_0:                 episode reward: -1.0000,                 loss: 0.9433
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 981, avg. length 1784.0
first_0:                 episode reward: -0.2000,                 loss: 0.9413
second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 1001, avg. length 1784.0
first_0:                 episode reward: 1.6000,                 loss: 0.9413
second_0:                 episode reward: -1.6000,                 loss: nan
Episode: 1021, avg. length 1784.0
first_0:                 episode reward: -5.0000,                 loss: 0.9402
second_0:                 episode reward: 5.0000,                 loss: nan
Episode: 1041, avg. length 1784.0
first_0:                 episode reward: -4.8000,                 loss: 0.9408
second_0:                 episode reward: 4.8000,                 loss: nan
Episode: 1061, avg. length 1784.0
first_0:                 episode reward: -2.0000,                 loss: 0.9411
second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 1081, avg. length 1784.0
first_0:                 episode reward: 0.0000,                 loss: 0.9414
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 1101, avg. length 1784.0
first_0:                 episode reward: 2.2000,                 loss: 0.9423
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 1121, avg. length 1784.0
first_0:                 episode reward: -2.0000,                 loss: 0.9408
second_0:                 episode reward: 2.0000,                 loss: nan
Episode: 1141, avg. length 1784.0
first_0:                 episode reward: 2.0000,                 loss: 0.9439
second_0:                 episode reward: -2.0000,                 loss: nan
Score delta: 10.8, udpate the opponent.
Episode: 1161, avg. length 1784.0
first_0:                 episode reward: 1.0000,                 loss: 0.9404
