pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_plane_v1 pettingzoo
Load combat_plane_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
random seed: 16
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fd400716450>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'combat_plane_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211109_1530/pettingzoo_combat_plane_v1_fictitious_selfplay. 
 Save logs to: /home/zihan/research/MARS/data/log/20211109_1530/pettingzoo_combat_plane_v1_fictitious_selfplay.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.3999
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 21, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0618
second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 41, avg. length 2045.0
first_0:                 episode reward: -1.4000,                 loss: 0.0234
second_0:                 episode reward: 1.4000,                 loss: nan
Episode: 61, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0144
second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 81, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: 0.0141
second_0:                 episode reward: 1.2500,                 loss: nan
Episode: 101, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: 0.0140
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 121, avg. length 2045.0
first_0:                 episode reward: -1.4500,                 loss: 0.0136
second_0:                 episode reward: 1.4500,                 loss: nan
Episode: 141, avg. length 2045.0
first_0:                 episode reward: -3.5000,                 loss: 0.0137
second_0:                 episode reward: 3.5000,                 loss: nan
Episode: 161, avg. length 2045.0
first_0:                 episode reward: -2.2000,                 loss: 0.0138
second_0:                 episode reward: 2.2000,                 loss: nan
Episode: 181, avg. length 2045.0
first_0:                 episode reward: -2.4000,                 loss: 0.0138
second_0:                 episode reward: 2.4000,                 loss: nan
Episode: 201, avg. length 2045.0
first_0:                 episode reward: -2.3500,                 loss: 0.0137
second_0:                 episode reward: 2.3500,                 loss: nan
Episode: 221, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: 0.0133
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 241, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.0136
second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 261, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.0143
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 281, avg. length 2045.0
first_0:                 episode reward: -1.7000,                 loss: 0.0192
second_0:                 episode reward: 1.7000,                 loss: nan
Episode: 301, avg. length 2045.0
first_0:                 episode reward: -1.8500,                 loss: 0.0163
second_0:                 episode reward: 1.8500,                 loss: nan
Episode: 321, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.0163
second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 341, avg. length 2045.0
first_0:                 episode reward: -0.9500,                 loss: 0.0190
second_0:                 episode reward: 0.9500,                 loss: nan
Episode: 361, avg. length 2045.0
first_0:                 episode reward: -1.6500,                 loss: 0.0162
second_0:                 episode reward: 1.6500,                 loss: nan
Episode: 381, avg. length 2045.0
first_0:                 episode reward: -2.4000,                 loss: 0.0185
second_0:                 episode reward: 2.4000,                 loss: nan
Episode: 401, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.0232
second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 421, avg. length 2045.0
first_0:                 episode reward: -1.1000,                 loss: 0.0328
second_0:                 episode reward: 1.1000,                 loss: nan
Episode: 441, avg. length 2045.0
first_0:                 episode reward: 0.8000,                 loss: 0.0248
second_0:                 episode reward: -0.8000,                 loss: nan
Episode: 461, avg. length 2045.0
first_0:                 episode reward: -1.9500,                 loss: 0.0219
second_0:                 episode reward: 1.9500,                 loss: nan
Episode: 481, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0197
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 501, avg. length 2045.0
first_0:                 episode reward: -2.6000,                 loss: 0.0194
second_0:                 episode reward: 2.6000,                 loss: nan
Episode: 521, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0192
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 541, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0199
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 561, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.0175
second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 581, avg. length 2045.0
first_0:                 episode reward: -2.1000,                 loss: 0.0153
second_0:                 episode reward: 2.1000,                 loss: nan
Episode: 601, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.0149
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 621, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.0147
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 641, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.0140
second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 661, avg. length 2045.0
first_0:                 episode reward: -2.3000,                 loss: 0.0145
second_0:                 episode reward: 2.3000,                 loss: nan
Episode: 681, avg. length 2045.0
first_0:                 episode reward: -1.0500,                 loss: 0.0145
second_0:                 episode reward: 1.0500,                 loss: nan
Episode: 701, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: 0.0144
second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 721, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0146
second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 741, avg. length 2045.0
first_0:                 episode reward: -1.8000,                 loss: 0.0140
second_0:                 episode reward: 1.8000,                 loss: nan
Episode: 761, avg. length 2045.0
first_0:                 episode reward: -2.0500,                 loss: 0.0144
second_0:                 episode reward: 2.0500,                 loss: nan
Episode: 781, avg. length 2045.0
first_0:                 episode reward: -1.4500,                 loss: 0.0143
second_0:                 episode reward: 1.4500,                 loss: nan
Episode: 801, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: 0.0142
second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 821, avg. length 2045.0
first_0:                 episode reward: -2.5000,                 loss: 0.0145
second_0:                 episode reward: 2.5000,                 loss: nan
Episode: 841, avg. length 2045.0
first_0:                 episode reward: -1.6000,                 loss: 0.0153
second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 861, avg. length 2045.0
first_0:                 episode reward: -0.9500,                 loss: 0.0189
second_0:                 episode reward: 0.9500,                 loss: nan
Episode: 881, avg. length 2045.0
first_0:                 episode reward: -2.6000,                 loss: 0.0167
second_0:                 episode reward: 2.6000,                 loss: nan
Episode: 901, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: 0.0154
second_0:                 episode reward: 1.2500,                 loss: nan
Episode: 921, avg. length 2045.0
first_0:                 episode reward: -1.4500,                 loss: 0.0164
second_0:                 episode reward: 1.4500,                 loss: nan
Episode: 941, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.0151
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 961, avg. length 2045.0
first_0:                 episode reward: -1.7000,                 loss: 0.0148
second_0:                 episode reward: 1.7000,                 loss: nan
Episode: 981, avg. length 2045.0
first_0:                 episode reward: -1.6500,                 loss: 0.0148
second_0:                 episode reward: 1.6500,                 loss: nan
Episode: 1001, avg. length 2045.0
first_0:                 episode reward: -2.4500,                 loss: 0.0149
second_0:                 episode reward: 2.4500,                 loss: nan
Episode: 1021, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: 0.4585
second_0:                 episode reward: 0.7500,                 loss: nan
Episode: 1041, avg. length 2045.0
first_0:                 episode reward: -1.0500,                 loss: 0.4369
second_0:                 episode reward: 1.0500,                 loss: nan
Episode: 1061, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.4787
second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 1081, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.5111
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 1101, avg. length 2045.0
first_0:                 episode reward: -1.1000,                 loss: 0.4882
second_0:                 episode reward: 1.1000,                 loss: nan
Episode: 1121, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.5033
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 1141, avg. length 2045.0
first_0:                 episode reward: -0.9000,                 loss: 0.4850
second_0:                 episode reward: 0.9000,                 loss: nan
Episode: 1161, avg. length 2045.0
first_0:                 episode reward: -1.1000,                 loss: 0.5106
second_0:                 episode reward: 1.1000,                 loss: nan
Episode: 1181, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: 0.4632
second_0:                 episode reward: -0.3000,                 loss: nan
Episode: 1201, avg. length 2045.0
first_0:                 episode reward: -0.7000,                 loss: 0.4853
second_0:                 episode reward: 0.7000,                 loss: nan
Episode: 1221, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: 0.4805
second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 1241, avg. length 2045.0
first_0:                 episode reward: -1.6000,                 loss: 0.5198
second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 1261, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.4928
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 1281, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.5088
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 1301, avg. length 2045.0
first_0:                 episode reward: -0.5500,                 loss: 0.5214
second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 1321, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.4620
second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 1341, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.5069
second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 1361, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: 0.5006
second_0:                 episode reward: 0.2000,                 loss: nan
Episode: 1381, avg. length 2045.0
first_0:                 episode reward: -0.1500,                 loss: 0.5333
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 1401, avg. length 2045.0
first_0:                 episode reward: -1.5500,                 loss: 0.4693
second_0:                 episode reward: 1.5500,                 loss: nan
Episode: 1421, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: 0.4880
second_0:                 episode reward: 1.0000,                 loss: nan
Episode: 1441, avg. length 2045.0
first_0:                 episode reward: -1.3500,                 loss: 0.4900
second_0:                 episode reward: 1.3500,                 loss: nan
Episode: 1461, avg. length 2045.0
first_0:                 episode reward: 1.3500,                 loss: 0.5042
second_0:                 episode reward: -1.3500,                 loss: nan
Episode: 1481, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.4235
second_0:                 episode reward: 0.2500,                 loss: nan
Episode: 1501, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: 0.4864
second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 1521, avg. length 2045.0
first_0:                 episode reward: 1.1000,                 loss: 0.4892
second_0:                 episode reward: -1.1000,                 loss: nan
Episode: 1541, avg. length 2045.0
first_0:                 episode reward: -1.5000,                 loss: 0.4714
second_0:                 episode reward: 1.5000,                 loss: nan
Episode: 1561, avg. length 2045.0
first_0:                 episode reward: -0.9500,                 loss: 0.4808
second_0:                 episode reward: 0.9500,                 loss: nan
Episode: 1581, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: 0.4948
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 1601, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.4833
second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 1621, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.5247
second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 1641, avg. length 2045.0
first_0:                 episode reward: -1.4500,                 loss: 0.5042
second_0:                 episode reward: 1.4500,                 loss: nan
Episode: 1661, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: 0.4729
second_0:                 episode reward: 0.2500,                 loss: nan
Episode: 1681, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: 0.5054
second_0:                 episode reward: 1.2000,                 loss: nan
Episode: 1701, avg. length 2045.0
first_0:                 episode reward: -1.5000,                 loss: 0.4600
second_0:                 episode reward: 1.5000,                 loss: nan
Episode: 1721, avg. length 2045.0
first_0:                 episode reward: -1.7000,                 loss: 0.4630
second_0:                 episode reward: 1.7000,                 loss: nan
Episode: 1741, avg. length 2045.0
first_0:                 episode reward: -1.8500,                 loss: 0.5214
second_0:                 episode reward: 1.8500,                 loss: nan
Episode: 1761, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: 0.4827
second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 1781, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.5124
second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 1801, avg. length 2045.0
first_0:                 episode reward: -0.4500,                 loss: 0.4916
second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 1821, avg. length 2045.0
first_0:                 episode reward: 0.9000,                 loss: 0.4921
second_0:                 episode reward: -0.9000,                 loss: nan
Episode: 1841, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.4713
second_0:                 episode reward: 0.5000,                 loss: nan
Episode: 1861, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.5016
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 1881, avg. length 2045.0
first_0:                 episode reward: -0.9000,                 loss: 0.4524
second_0:                 episode reward: 0.9000,                 loss: nan
Episode: 1901, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: 0.4629
second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 1921, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: 0.4721
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 1941, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: 0.5105
second_0:                 episode reward: 0.3500,                 loss: nan
Episode: 1961, avg. length 2045.0
