pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
Load surround_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 9
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f83952bd650>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 16, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211120_1257/pettingzoo_surround_v1_fictitious_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211120_1257/pettingzoo_surround_v1_fictitious_selfplay2.
Episode: 1, avg. length 1627.0
first_0:                 episode reward: -4.0000,                 loss: 0.2914
second_0:                 episode reward: 4.0000,                 loss: nan
Episode: 21, avg. length 1565.95
first_0:                 episode reward: -3.1000,                 loss: 0.0680
second_0:                 episode reward: 3.1000,                 loss: nan
Episode: 41, avg. length 1421.85
first_0:                 episode reward: -2.8500,                 loss: 0.0479
second_0:                 episode reward: 2.8500,                 loss: nan
Episode: 61, avg. length 1518.95
first_0:                 episode reward: 3.4000,                 loss: 0.0625
second_0:                 episode reward: -3.4000,                 loss: nan
Episode: 81, avg. length 1433.2
first_0:                 episode reward: -4.0500,                 loss: 0.0447
second_0:                 episode reward: 4.0500,                 loss: nan
Episode: 101, avg. length 1620.9
first_0:                 episode reward: -0.9500,                 loss: 0.0409
second_0:                 episode reward: 0.9500,                 loss: nan
Episode: 121, avg. length 1472.8
first_0:                 episode reward: -3.4000,                 loss: 0.0363
second_0:                 episode reward: 3.4000,                 loss: nan
Episode: 141, avg. length 1462.0
first_0:                 episode reward: 5.3500,                 loss: nan
second_0:                 episode reward: -5.3500,                 loss: nan
Score delta: 16.2, save the model to ..//data/model/20211120_1257/pettingzoo_surround_v1_fictitious_selfplay2/137_0.
Episode: 161, avg. length 1879.3
first_0:                 episode reward: 1.7000,                 loss: nan
second_0:                 episode reward: -1.7000,                 loss: 0.0334
Episode: 181, avg. length 1864.85
first_0:                 episode reward: -3.5000,                 loss: nan
second_0:                 episode reward: 3.5000,                 loss: 0.0350
Episode: 201, avg. length 1648.4
first_0:                 episode reward: -6.2000,                 loss: nan
second_0:                 episode reward: 6.2000,                 loss: 0.0345
Episode: 221, avg. length 1467.0
first_0:                 episode reward: -7.4500,                 loss: nan
second_0:                 episode reward: 7.4500,                 loss: 0.0330
Episode: 241, avg. length 1580.75
first_0:                 episode reward: -1.7500,                 loss: nan
second_0:                 episode reward: 1.7500,                 loss: nan
Score delta: 16.6, save the model to ..//data/model/20211120_1257/pettingzoo_surround_v1_fictitious_selfplay2/227_1.
Episode: 261, avg. length 1527.95
first_0:                 episode reward: 4.8000,                 loss: nan
second_0:                 episode reward: -4.8000,                 loss: nan
Score delta: 17.2, save the model to ..//data/model/20211120_1257/pettingzoo_surround_v1_fictitious_selfplay2/259_0.
Episode: 281, avg. length 1688.65
first_0:                 episode reward: 2.9500,                 loss: nan
second_0:                 episode reward: -2.9500,                 loss: 0.0397
Episode: 301, avg. length 1651.7
first_0:                 episode reward: -3.4500,                 loss: nan
second_0:                 episode reward: 3.4500,                 loss: 0.0375
Episode: 321, avg. length 1871.1
first_0:                 episode reward: 2.9500,                 loss: nan
second_0:                 episode reward: -2.9500,                 loss: 0.0386
Episode: 341, avg. length 1877.7
first_0:                 episode reward: -3.6000,                 loss: nan
second_0:                 episode reward: 3.6000,                 loss: 0.0419
Episode: 361, avg. length 1790.3
first_0:                 episode reward: -5.4500,                 loss: nan
second_0:                 episode reward: 5.4500,                 loss: 0.0385
Episode: 381, avg. length 1598.45
first_0:                 episode reward: -6.4500,                 loss: nan
second_0:                 episode reward: 6.4500,                 loss: 0.0400
Episode: 401, avg. length 1674.6
first_0:                 episode reward: -6.0000,                 loss: nan
second_0:                 episode reward: 6.0000,                 loss: 0.0404
Episode: 421, avg. length 1618.2
first_0:                 episode reward: -7.0000,                 loss: nan
second_0:                 episode reward: 7.0000,                 loss: 0.0427
Episode: 441, avg. length 1701.45
first_0:                 episode reward: -5.2000,                 loss: nan
second_0:                 episode reward: 5.2000,                 loss: 0.0426
Episode: 461, avg. length 1681.45
first_0:                 episode reward: -5.7500,                 loss: nan
second_0:                 episode reward: 5.7500,                 loss: 0.0382
Episode: 481, avg. length 1632.0
first_0:                 episode reward: -2.3000,                 loss: nan
second_0:                 episode reward: 2.3000,                 loss: nan
Score delta: 16.8, save the model to ..//data/model/20211120_1257/pettingzoo_surround_v1_fictitious_selfplay2/465_1.
Episode: 501, avg. length 1783.9
first_0:                 episode reward: 1.9500,                 loss: 0.0454
second_0:                 episode reward: -1.9500,                 loss: nan
Episode: 521, avg. length 1818.4
first_0:                 episode reward: 2.5000,                 loss: 0.0509
second_0:                 episode reward: -2.5000,                 loss: nan
Episode: 541, avg. length 1887.3
first_0:                 episode reward: 2.2000,                 loss: 0.0444
second_0:                 episode reward: -2.2000,                 loss: nan
Episode: 561, avg. length 1737.4
first_0:                 episode reward: 0.7500,                 loss: 0.0409
