pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
Load surround_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(5)
random seed: 1
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fddd6da3e50>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 16, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211204_1202/pettingzoo_surround_v1_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211204_1202/pettingzoo_surround_v1_selfplay2.
Episode: 1, avg. length 1084.0
first_0:                 episode reward: 6.0000,                 loss: 0.2880
second_0:                 episode reward: -6.0000,                 loss: nan
Episode: 21, avg. length 1008.2
first_0:                 episode reward: 7.8500,                 loss: 0.0709
second_0:                 episode reward: -7.8500,                 loss: nan
Episode: 41, avg. length 1481.45
first_0:                 episode reward: -1.6500,                 loss: nan
second_0:                 episode reward: 1.6500,                 loss: nan
Score delta: 16.4, update the opponent.
Episode: 61, avg. length 1328.3
first_0:                 episode reward: -6.3500,                 loss: nan
second_0:                 episode reward: 6.3500,                 loss: 0.0222
Episode: 81, avg. length 1404.6
first_0:                 episode reward: -5.8000,                 loss: nan
second_0:                 episode reward: 5.8000,                 loss: 0.0232
Episode: 101, avg. length 1375.3
first_0:                 episode reward: -7.7000,                 loss: nan
second_0:                 episode reward: 7.7000,                 loss: nan
Score delta: 16.2, update the opponent.
Episode: 121, avg. length 1578.7
first_0:                 episode reward: -6.0500,                 loss: 0.0263
second_0:                 episode reward: 6.0500,                 loss: nan
Episode: 141, avg. length 1496.15
first_0:                 episode reward: 3.8500,                 loss: 0.0245
second_0:                 episode reward: -3.8500,                 loss: nan
Episode: 161, avg. length 1641.45
first_0:                 episode reward: 5.3000,                 loss: 0.0295
second_0:                 episode reward: -5.3000,                 loss: nan
Episode: 181, avg. length 1610.9
first_0:                 episode reward: 6.5000,                 loss: 0.0294
second_0:                 episode reward: -6.5000,                 loss: nan
Episode: 201, avg. length 1577.85
first_0:                 episode reward: 7.0500,                 loss: nan
second_0:                 episode reward: -7.0500,                 loss: nan
Score delta: 17.2, update the opponent.
Episode: 221, avg. length 1558.4
first_0:                 episode reward: 7.2000,                 loss: nan
second_0:                 episode reward: -7.2000,                 loss: 0.0286
Episode: 241, avg. length 1790.65
first_0:                 episode reward: 4.8500,                 loss: nan
second_0:                 episode reward: -4.8500,                 loss: 0.0296
Episode: 261, avg. length 1794.7
first_0:                 episode reward: 5.1000,                 loss: nan
second_0:                 episode reward: -5.1000,                 loss: 0.0339
Episode: 281, avg. length 1702.1
first_0:                 episode reward: 5.9000,                 loss: nan
second_0:                 episode reward: -5.9000,                 loss: 0.0339
Episode: 301, avg. length 1667.95
first_0:                 episode reward: 6.0500,                 loss: nan
second_0:                 episode reward: -6.0500,                 loss: 0.0372
Episode: 321, avg. length 1637.65
first_0:                 episode reward: 5.9000,                 loss: nan
second_0:                 episode reward: -5.9000,                 loss: 0.0353
Episode: 341, avg. length 1627.0
first_0:                 episode reward: 5.7500,                 loss: nan
second_0:                 episode reward: -5.7500,                 loss: 0.0354
Episode: 361, avg. length 1702.1
first_0:                 episode reward: 4.6500,                 loss: nan
second_0:                 episode reward: -4.6500,                 loss: 0.0355
Episode: 381, avg. length 1703.45
first_0:                 episode reward: 5.8000,                 loss: nan
second_0:                 episode reward: -5.8000,                 loss: 0.0354
Episode: 401, avg. length 1546.85
first_0:                 episode reward: 6.4500,                 loss: nan
second_0:                 episode reward: -6.4500,                 loss: 0.0365
Episode: 421, avg. length 1639.35
first_0:                 episode reward: 6.2500,                 loss: nan
second_0:                 episode reward: -6.2500,                 loss: 0.0387
Episode: 441, avg. length 1665.1
first_0:                 episode reward: 5.7500,                 loss: nan
second_0:                 episode reward: -5.7500,                 loss: 0.0348
Episode: 461, avg. length 1802.0
first_0:                 episode reward: 4.5000,                 loss: nan
second_0:                 episode reward: -4.5000,                 loss: 0.0355
Episode: 481, avg. length 1913.55
first_0:                 episode reward: 4.5500,                 loss: nan
second_0:                 episode reward: -4.5500,                 loss: 0.0361
Episode: 501, avg. length 1794.35
first_0:                 episode reward: 4.6000,                 loss: nan
second_0:                 episode reward: -4.6000,                 loss: 0.0320
Episode: 521, avg. length 1664.9
first_0:                 episode reward: 5.3500,                 loss: nan
second_0:                 episode reward: -5.3500,                 loss: 0.0282
Episode: 541, avg. length 1619.75
first_0:                 episode reward: 6.0000,                 loss: nan
second_0:                 episode reward: -6.0000,                 loss: 0.0331
Episode: 561, avg. length 1867.25
first_0:                 episode reward: 3.6500,                 loss: nan
second_0:                 episode reward: -3.6500,                 loss: 0.0327
Episode: 581, avg. length 1930.2
first_0:                 episode reward: 3.2000,                 loss: nan
second_0:                 episode reward: -3.2000,                 loss: 0.0332
Episode: 601, avg. length 1751.35
first_0:                 episode reward: 4.6500,                 loss: nan
second_0:                 episode reward: -4.6500,                 loss: 0.0392
Episode: 621, avg. length 1794.7
