pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_plane_v1 pettingzoo
Load combat_plane_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 14
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f062ac82a50>
No agent are not learnable.
Arguments:  {'env_name': 'combat_plane_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20211205_1222/pettingzoo_combat_plane_v1_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_1222/pettingzoo_combat_plane_v1_nash_ppo.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: -0.1736
second_0:                 episode reward: 0.0000,                 loss: -0.2060
Episode: 21, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: -0.1616
second_0:                 episode reward: -0.1500,                 loss: -0.1559
Episode: 41, avg. length 2045.0
first_0:                 episode reward: -1.5000,                 loss: -0.1571
second_0:                 episode reward: 1.5000,                 loss: -0.1589
Episode: 61, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: -0.1621
second_0:                 episode reward: 0.3500,                 loss: -0.1621
Episode: 81, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: -0.1576
second_0:                 episode reward: -0.1500,                 loss: -0.1596
Episode: 101, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: -0.1658
second_0:                 episode reward: 0.6500,                 loss: -0.1637
Episode: 121, avg. length 2045.0
first_0:                 episode reward: -0.9000,                 loss: -0.1643
second_0:                 episode reward: 0.9000,                 loss: -0.1656
Episode: 141, avg. length 2045.0
first_0:                 episode reward: -1.6500,                 loss: -0.1581
second_0:                 episode reward: 1.6500,                 loss: -0.1610
Episode: 161, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: -0.1586
second_0:                 episode reward: 0.6000,                 loss: -0.1593
Episode: 181, avg. length 2045.0
first_0:                 episode reward: 2.0000,                 loss: -0.1641
second_0:                 episode reward: -2.0000,                 loss: -0.1639
Episode: 201, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: -0.1617
second_0:                 episode reward: -0.7000,                 loss: -0.1597
Episode: 221, avg. length 2045.0
first_0:                 episode reward: 1.5000,                 loss: -0.1632
second_0:                 episode reward: -1.5000,                 loss: -0.1661
Episode: 241, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: -0.1667
second_0:                 episode reward: 0.1000,                 loss: -0.1669
Episode: 261, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: -0.1669
second_0:                 episode reward: -0.3000,                 loss: -0.1688
Episode: 281, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: -0.1635
second_0:                 episode reward: -0.1500,                 loss: -0.1638
Episode: 301, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: -0.1603
second_0:                 episode reward: 0.1000,                 loss: -0.1665
Episode: 321, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: -0.1589
second_0:                 episode reward: 1.2000,                 loss: -0.1559
Episode: 341, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: -0.1643
second_0:                 episode reward: 0.3000,                 loss: -0.1656
Episode: 361, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: -0.1528
second_0:                 episode reward: -0.3500,                 loss: -0.1576
Episode: 381, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: -0.1603
second_0:                 episode reward: 0.3500,                 loss: -0.1580
Episode: 401, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: -0.1630
second_0:                 episode reward: 0.2000,                 loss: -0.1630
Episode: 421, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: -0.1640
second_0:                 episode reward: 0.3500,                 loss: -0.1630
Episode: 441, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: -0.1632
second_0:                 episode reward: 0.4000,                 loss: -0.1627
Episode: 461, avg. length 2045.0
first_0:                 episode reward: 1.3000,                 loss: -0.1621
second_0:                 episode reward: -1.3000,                 loss: -0.1656
Episode: 481, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: -0.1601
second_0:                 episode reward: 0.1000,                 loss: -0.1593
Episode: 501, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: -0.1663
second_0:                 episode reward: -0.2500,                 loss: -0.1662
Episode: 521, avg. length 2045.0
first_0:                 episode reward: -1.3500,                 loss: -0.1574
second_0:                 episode reward: 1.3500,                 loss: -0.1547
Episode: 541, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: -0.1546
second_0:                 episode reward: -0.4500,                 loss: -0.1527
Episode: 561, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: -0.1713
second_0:                 episode reward: -0.4000,                 loss: -0.1713
Episode: 581, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: -0.1584
second_0:                 episode reward: 0.1000,                 loss: -0.1587
Episode: 601, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: -0.1579
second_0:                 episode reward: 0.6000,                 loss: -0.1613
Episode: 621, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: -0.1602
second_0:                 episode reward: 0.6000,                 loss: -0.1633
Episode: 641, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: -0.1560
second_0:                 episode reward: -0.3000,                 loss: -0.1573
Episode: 661, avg. length 2045.0
first_0:                 episode reward: -0.2000,                 loss: -0.1630
second_0:                 episode reward: 0.2000,                 loss: -0.1666
Episode: 681, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: -0.1608
second_0:                 episode reward: -0.5000,                 loss: -0.1609
Episode: 701, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: -0.1577
second_0:                 episode reward: 0.0500,                 loss: -0.1521
Episode: 721, avg. length 2045.0
first_0:                 episode reward: -0.6000,                 loss: -0.1508
second_0:                 episode reward: 0.6000,                 loss: -0.1408
Episode: 741, avg. length 2045.0
first_0:                 episode reward: -0.6500,                 loss: -0.1533
second_0:                 episode reward: 0.6500,                 loss: -0.1501
Episode: 761, avg. length 2045.0
first_0:                 episode reward: -1.2500,                 loss: -0.1586
second_0:                 episode reward: 1.2500,                 loss: -0.1594
Episode: 781, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: -0.1535
second_0:                 episode reward: 0.7500,                 loss: -0.1569
Episode: 801, avg. length 2045.0
first_0:                 episode reward: -0.8500,                 loss: -0.1613
second_0:                 episode reward: 0.8500,                 loss: -0.1572
Episode: 821, avg. length 2045.0
first_0:                 episode reward: -0.3500,                 loss: -0.1590
second_0:                 episode reward: 0.3500,                 loss: -0.1592
Episode: 841, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: -0.1559
second_0:                 episode reward: 0.7500,                 loss: -0.1599
Episode: 861, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: -0.1645
second_0:                 episode reward: -0.7500,                 loss: -0.1647
Episode: 881, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: -0.1590
second_0:                 episode reward: -0.2500,                 loss: -0.1594
Episode: 901, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: -0.1565
second_0:                 episode reward: 0.4000,                 loss: -0.1600
Episode: 921, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: -0.1568
second_0:                 episode reward: -0.7000,                 loss: -0.1573
Episode: 941, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: -0.1630
second_0:                 episode reward: 0.4000,                 loss: -0.1598
Episode: 961, avg. length 2045.0
first_0:                 episode reward: -1.0000,                 loss: -0.1567
second_0:                 episode reward: 1.0000,                 loss: -0.1556
Episode: 981, avg. length 2045.0
first_0:                 episode reward: 0.8500,                 loss: -0.1535
second_0:                 episode reward: -0.8500,                 loss: -0.1548
Episode: 1001, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: -0.1550
second_0:                 episode reward: -0.7500,                 loss: -0.1527
Episode: 1021, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: -0.1656
second_0:                 episode reward: -0.1000,                 loss: -0.1657
Episode: 1041, avg. length 2045.0
first_0:                 episode reward: -1.7000,                 loss: -0.1644
second_0:                 episode reward: 1.7000,                 loss: -0.1644
Episode: 1061, avg. length 2045.0
first_0:                 episode reward: -0.2500,                 loss: -0.1541
second_0:                 episode reward: 0.2500,                 loss: -0.1504
Episode: 1081, avg. length 2045.0
first_0:                 episode reward: -0.1000,                 loss: -0.1666
second_0:                 episode reward: 0.1000,                 loss: -0.1684
Episode: 1101, avg. length 2045.0
first_0:                 episode reward: 0.4000,                 loss: -0.1539
second_0:                 episode reward: -0.4000,                 loss: -0.1545
Episode: 1121, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: -0.1593
second_0:                 episode reward: 0.4000,                 loss: -0.1598
Episode: 1141, avg. length 2045.0
first_0:                 episode reward: -0.4500,                 loss: -0.1605
second_0:                 episode reward: 0.4500,                 loss: -0.1646
Episode: 1161, avg. length 2045.0
first_0:                 episode reward: 0.8000,                 loss: -0.1573
second_0:                 episode reward: -0.8000,                 loss: -0.1559
Episode: 1181, avg. length 2045.0
first_0:                 episode reward: 0.6000,                 loss: -0.1555
second_0:                 episode reward: -0.6000,                 loss: -0.1585
Episode: 1201, avg. length 2045.0
first_0:                 episode reward: 0.3000,                 loss: -0.1633
second_0:                 episode reward: -0.3000,                 loss: -0.1631
Episode: 1221, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: -0.1522
second_0:                 episode reward: -0.6500,                 loss: -0.1515
Episode: 1241, avg. length 2045.0
first_0:                 episode reward: 0.5500,                 loss: -0.1550
second_0:                 episode reward: -0.5500,                 loss: -0.1553
Episode: 1261, avg. length 2045.0
first_0:                 episode reward: -1.8000,                 loss: -0.1563
second_0:                 episode reward: 1.8000,                 loss: -0.1556
Episode: 1281, avg. length 2045.0
first_0:                 episode reward: -1.8500,                 loss: -0.1592
second_0:                 episode reward: 1.8500,                 loss: -0.1650
Episode: 1301, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: -0.1570
second_0:                 episode reward: -0.4500,                 loss: -0.1560
Episode: 1321, avg. length 2045.0
first_0:                 episode reward: -1.2000,                 loss: -0.1575
second_0:                 episode reward: 1.2000,                 loss: -0.1572
Episode: 1341, avg. length 2045.0
first_0:                 episode reward: 0.9500,                 loss: -0.1585
second_0:                 episode reward: -0.9500,                 loss: -0.1620
Episode: 1361, avg. length 2045.0
first_0:                 episode reward: -0.9000,                 loss: -0.1580
second_0:                 episode reward: 0.9000,                 loss: -0.1618
Episode: 1381, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: -0.1644
second_0:                 episode reward: -0.7000,                 loss: -0.1658
Episode: 1401, avg. length 2045.0
first_0:                 episode reward: 0.5000,                 loss: -0.1598
second_0:                 episode reward: -0.5000,                 loss: -0.1606
Episode: 1421, avg. length 2045.0
first_0:                 episode reward: 1.2000,                 loss: -0.1553
second_0:                 episode reward: -1.2000,                 loss: -0.1585
Episode: 1441, avg. length 2045.0
first_0:                 episode reward: 1.1500,                 loss: -0.1580
second_0:                 episode reward: -1.1500,                 loss: -0.1549
Episode: 1461, avg. length 2045.0
first_0:                 episode reward: 0.7500,                 loss: -0.1620
second_0:                 episode reward: -0.7500,                 loss: -0.1583
Episode: 1481, avg. length 2045.0
first_0:                 episode reward: 0.4500,                 loss: -0.1605
second_0:                 episode reward: -0.4500,                 loss: -0.1606
Episode: 1501, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: -0.1615
