pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
combat_tank_v1 pettingzoo
Load combat_tank_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 53
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f1ee796b1d0>
No agent are not learnable.
Arguments:  {'env_name': 'combat_tank_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'eta': 0.1}}
Save models to : /home/zihan/research/MARS/data/model/20211205_2241/pettingzoo_combat_tank_v1_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2241/pettingzoo_combat_tank_v1_nfsp.
Episode: 1, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: nan
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 21, avg. length 2045.0
first_0:                 episode reward: 0.3500,                 loss: nan
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 41, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.0222
second_0:                 episode reward: 0.3000,                 loss: 0.0229
Episode: 61, avg. length 2045.0
first_0:                 episode reward: -0.3000,                 loss: 0.0215
second_0:                 episode reward: 0.3000,                 loss: 0.0185
Episode: 81, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0207
second_0:                 episode reward: 0.5000,                 loss: 0.0167
Episode: 101, avg. length 2045.0
first_0:                 episode reward: 0.6000,                 loss: 0.0195
second_0:                 episode reward: -0.6000,                 loss: 0.0158
Episode: 121, avg. length 2045.0
first_0:                 episode reward: -2.0000,                 loss: 0.0183
second_0:                 episode reward: 2.0000,                 loss: 0.0163
Episode: 141, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: 0.0163
second_0:                 episode reward: 0.7500,                 loss: 0.0162
Episode: 161, avg. length 2045.0
first_0:                 episode reward: 0.2500,                 loss: 0.0156
second_0:                 episode reward: -0.2500,                 loss: 0.0159
Episode: 181, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0149
second_0:                 episode reward: -0.1000,                 loss: 0.0152
Episode: 201, avg. length 2045.0
first_0:                 episode reward: -0.0500,                 loss: 0.0154
second_0:                 episode reward: 0.0500,                 loss: 0.0148
Episode: 221, avg. length 2045.0
first_0:                 episode reward: 0.0500,                 loss: 0.0146
second_0:                 episode reward: -0.0500,                 loss: 0.0153
Episode: 241, avg. length 2045.0
first_0:                 episode reward: 0.8000,                 loss: 0.0144
second_0:                 episode reward: -0.8000,                 loss: 0.0151
Episode: 261, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0152
second_0:                 episode reward: 0.5000,                 loss: 0.0154
Episode: 281, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0164
second_0:                 episode reward: -1.0000,                 loss: 0.0159
Episode: 301, avg. length 2045.0
first_0:                 episode reward: -0.7500,                 loss: 0.0159
second_0:                 episode reward: 0.7500,                 loss: 0.0161
Episode: 321, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0164
second_0:                 episode reward: -0.1500,                 loss: 0.0164
Episode: 341, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: 0.0164
second_0:                 episode reward: -0.6500,                 loss: 0.0161
Episode: 361, avg. length 2045.0
first_0:                 episode reward: -0.4000,                 loss: 0.0163
second_0:                 episode reward: 0.4000,                 loss: 0.0156
Episode: 381, avg. length 2045.0
first_0:                 episode reward: -0.5000,                 loss: 0.0166
second_0:                 episode reward: 0.5000,                 loss: 0.0159
Episode: 401, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: 0.0159
second_0:                 episode reward: -0.7000,                 loss: 0.0164
Episode: 421, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0157
second_0:                 episode reward: -1.0000,                 loss: 0.0164
Episode: 441, avg. length 2045.0
first_0:                 episode reward: 0.1500,                 loss: 0.0152
second_0:                 episode reward: -0.1500,                 loss: 0.0162
Episode: 461, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0149
second_0:                 episode reward: -0.1000,                 loss: 0.0160
Episode: 481, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0147
second_0:                 episode reward: 0.0000,                 loss: 0.0152
Episode: 501, avg. length 2045.0
first_0:                 episode reward: 0.7000,                 loss: 0.0136
second_0:                 episode reward: -0.7000,                 loss: 0.0149
Episode: 521, avg. length 2045.0
first_0:                 episode reward: 0.0000,                 loss: 0.0134
second_0:                 episode reward: 0.0000,                 loss: 0.0171
Episode: 541, avg. length 2045.0
first_0:                 episode reward: 0.1000,                 loss: 0.0138
second_0:                 episode reward: -0.1000,                 loss: 0.0168
Episode: 561, avg. length 2045.0
first_0:                 episode reward: 1.0000,                 loss: 0.0139
second_0:                 episode reward: -1.0000,                 loss: 0.0141
Episode: 581, avg. length 2045.0
first_0:                 episode reward: 0.6500,                 loss: 0.0139
