pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
ice_hockey_v1 pettingzoo
Load ice_hockey_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 24
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fdbc7af54d0>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'ice_hockey_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'fictitious_selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211205_2241/pettingzoo_ice_hockey_v1_fictitious_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2241/pettingzoo_ice_hockey_v1_fictitious_selfplay2.
Episode: 1, avg. length 2878.0
first_0:                 episode reward: 2.0000,                 loss: 0.1596
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 21, avg. length 2883.85
first_0:                 episode reward: 0.6000,                 loss: 0.0323
second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 41, avg. length 2891.4
first_0:                 episode reward: 0.5500,                 loss: 0.0282
second_0:                 episode reward: -0.5500,                 loss: nan
Episode: 61, avg. length 2908.6
first_0:                 episode reward: 0.1000,                 loss: 0.0298
second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 81, avg. length 2937.75
first_0:                 episode reward: 1.8500,                 loss: 0.0261
second_0:                 episode reward: -1.8500,                 loss: nan
Episode: 101, avg. length 2949.2
first_0:                 episode reward: 1.3000,                 loss: 0.0251
second_0:                 episode reward: -1.3000,                 loss: nan
Episode: 121, avg. length 2884.95
first_0:                 episode reward: 1.5000,                 loss: 0.0238
second_0:                 episode reward: -1.5000,                 loss: nan
Episode: 141, avg. length 2856.25
first_0:                 episode reward: -0.3000,                 loss: 0.0230
second_0:                 episode reward: 0.3000,                 loss: nan
Episode: 161, avg. length 2925.05
first_0:                 episode reward: 1.3500,                 loss: 0.0226
second_0:                 episode reward: -1.3500,                 loss: nan
Episode: 181, avg. length 2939.75
first_0:                 episode reward: 1.2000,                 loss: 0.0232
second_0:                 episode reward: -1.2000,                 loss: nan
Episode: 201, avg. length 2890.35
first_0:                 episode reward: 1.0500,                 loss: 0.0260
second_0:                 episode reward: -1.0500,                 loss: nan
Episode: 221, avg. length 2871.0
first_0:                 episode reward: 0.3500,                 loss: 0.0261
second_0:                 episode reward: -0.3500,                 loss: nan
Episode: 241, avg. length 2895.85
first_0:                 episode reward: 0.2000,                 loss: 0.0289
second_0:                 episode reward: -0.2000,                 loss: nan
Episode: 261, avg. length 2947.0
first_0:                 episode reward: 0.7500,                 loss: 0.0233
second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 281, avg. length 2918.65
first_0:                 episode reward: 2.0000,                 loss: 0.0248
second_0:                 episode reward: -2.0000,                 loss: nan
Episode: 301, avg. length 2887.05
first_0:                 episode reward: 0.1000,                 loss: 0.0264
second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 321, avg. length 2860.6
first_0:                 episode reward: 0.0000,                 loss: 0.0267
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 341, avg. length 2901.05
first_0:                 episode reward: 0.0000,                 loss: 0.0275
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 361, avg. length 2909.8
first_0:                 episode reward: 0.7500,                 loss: 0.0240
second_0:                 episode reward: -0.7500,                 loss: nan
Episode: 381, avg. length 2905.1
first_0:                 episode reward: 0.5000,                 loss: 0.0219
second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 401, avg. length 2847.45
first_0:                 episode reward: 0.2500,                 loss: 0.0225
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 421, avg. length 2874.7
first_0:                 episode reward: -0.2500,                 loss: 0.0239
second_0:                 episode reward: 0.2500,                 loss: nan
Episode: 441, avg. length 2864.8
first_0:                 episode reward: -0.6500,                 loss: 0.0250
second_0:                 episode reward: 0.6500,                 loss: nan
Episode: 461, avg. length 2896.0
first_0:                 episode reward: 0.2500,                 loss: 0.0249
second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 481, avg. length 2860.8
first_0:                 episode reward: -0.1500,                 loss: 0.0228
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 501, avg. length 2859.2
first_0:                 episode reward: -0.1000,                 loss: 0.0217
second_0:                 episode reward: 0.1000,                 loss: nan
Episode: 521, avg. length 2843.15
first_0:                 episode reward: 0.5000,                 loss: 0.0231
second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 541, avg. length 2858.35
first_0:                 episode reward: -0.1500,                 loss: 0.0246
second_0:                 episode reward: 0.1500,                 loss: nan
Episode: 561, avg. length 2836.5
first_0:                 episode reward: 0.0000,                 loss: 0.0244
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 581, avg. length 2848.35
first_0:                 episode reward: 0.5000,                 loss: 0.0246
