pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
ice_hockey_v1 pettingzoo
Load ice_hockey_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 43
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fa9e18f01d0>
No agent are not learnable.
Arguments:  {'env_name': 'ice_hockey_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20211205_2241/pettingzoo_ice_hockey_v1_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2241/pettingzoo_ice_hockey_v1_nash_dqn.
Episode: 1, avg. length 2715.0
first_0:                 episode reward: 0.0000,                 loss: 0.0002
second_0:                 episode reward: 0.0000,                 loss: 0.0002
Episode: 21, avg. length 2867.55
first_0:                 episode reward: -0.3000,                 loss: 0.0009
second_0:                 episode reward: 0.3000,                 loss: 0.0009
Episode: 41, avg. length 2876.3
first_0:                 episode reward: -0.1000,                 loss: 0.0010
second_0:                 episode reward: 0.1000,                 loss: 0.0010
Episode: 61, avg. length 2930.8
first_0:                 episode reward: 0.0000,                 loss: 0.0013
second_0:                 episode reward: 0.0000,                 loss: 0.0014
Episode: 81, avg. length 2873.9
first_0:                 episode reward: 0.0500,                 loss: 0.0014
second_0:                 episode reward: -0.0500,                 loss: 0.0014
Episode: 101, avg. length 2877.8
first_0:                 episode reward: -0.0500,                 loss: 0.0012
second_0:                 episode reward: 0.0500,                 loss: 0.0012
Episode: 121, avg. length 2908.45
first_0:                 episode reward: 0.3000,                 loss: 0.0012
second_0:                 episode reward: -0.3000,                 loss: 0.0012
Episode: 141, avg. length 2913.7
first_0:                 episode reward: 1.3000,                 loss: 0.0012
second_0:                 episode reward: -1.3000,                 loss: 0.0012
Episode: 161, avg. length 2882.0
first_0:                 episode reward: -0.5500,                 loss: 0.0012
second_0:                 episode reward: 0.5500,                 loss: 0.0012
Episode: 181, avg. length 2871.8
first_0:                 episode reward: -0.4000,                 loss: 0.0011
second_0:                 episode reward: 0.4000,                 loss: 0.0011
Episode: 201, avg. length 2921.4
first_0:                 episode reward: 0.5000,                 loss: 0.0011
second_0:                 episode reward: -0.5000,                 loss: 0.0011
Episode: 221, avg. length 2912.5
first_0:                 episode reward: 0.1000,                 loss: 0.0012
second_0:                 episode reward: -0.1000,                 loss: 0.0011
Episode: 241, avg. length 2874.9
first_0:                 episode reward: 0.6500,                 loss: 0.0012
second_0:                 episode reward: -0.6500,                 loss: 0.0012
Episode: 261, avg. length 2898.0
first_0:                 episode reward: 1.0000,                 loss: 0.0011
second_0:                 episode reward: -1.0000,                 loss: 0.0010
Episode: 281, avg. length 2912.8
first_0:                 episode reward: 1.5000,                 loss: 0.0011
second_0:                 episode reward: -1.5000,                 loss: 0.0011
Episode: 301, avg. length 2918.0
first_0:                 episode reward: 0.4000,                 loss: 0.0011
second_0:                 episode reward: -0.4000,                 loss: 0.0011
Episode: 321, avg. length 2896.9
first_0:                 episode reward: 0.4500,                 loss: 0.0011
second_0:                 episode reward: -0.4500,                 loss: 0.0011
Episode: 341, avg. length 2881.15
first_0:                 episode reward: 1.1500,                 loss: 0.0009
second_0:                 episode reward: -1.1500,                 loss: 0.0010
Episode: 361, avg. length 2929.1
first_0:                 episode reward: -0.3000,                 loss: 0.0010
second_0:                 episode reward: 0.3000,                 loss: 0.0010
Episode: 381, avg. length 2898.6
first_0:                 episode reward: -0.1500,                 loss: 0.0011
second_0:                 episode reward: 0.1500,                 loss: 0.0011
Episode: 401, avg. length 2890.05
first_0:                 episode reward: 0.6000,                 loss: 0.0010
second_0:                 episode reward: -0.6000,                 loss: 0.0010
Episode: 421, avg. length 2871.7
first_0:                 episode reward: 0.2000,                 loss: 0.0010
second_0:                 episode reward: -0.2000,                 loss: 0.0010
Episode: 441, avg. length 2913.55
first_0:                 episode reward: 0.1500,                 loss: 0.0010
second_0:                 episode reward: -0.1500,                 loss: 0.0010
Episode: 461, avg. length 2876.65
first_0:                 episode reward: 0.1500,                 loss: 0.0011
second_0:                 episode reward: -0.1500,                 loss: 0.0011
Episode: 481, avg. length 2868.9
first_0:                 episode reward: 0.6500,                 loss: 0.0010
second_0:                 episode reward: -0.6500,                 loss: 0.0010
Episode: 501, avg. length 2937.2
first_0:                 episode reward: 1.4500,                 loss: 0.0010
second_0:                 episode reward: -1.4500,                 loss: 0.0010
Episode: 521, avg. length 2902.85
first_0:                 episode reward: 0.8500,                 loss: 0.0011
second_0:                 episode reward: -0.8500,                 loss: 0.0011
Episode: 541, avg. length 2882.35
first_0:                 episode reward: 0.6000,                 loss: 0.0010
second_0:                 episode reward: -0.6000,                 loss: 0.0010
Episode: 561, avg. length 2878.75
first_0:                 episode reward: 1.0000,                 loss: 0.0009
second_0:                 episode reward: -1.0000,                 loss: 0.0010
Episode: 581, avg. length 2881.25
