pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
surround_v1 pettingzoo
Load surround_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(5)
random seed: 40
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f4894319250>
surround_v1 pettingzoo
Load surround_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(5)
random seed: 71
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'surround_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [256, 256, 256, 256], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nxdo2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 16, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211205_2243/pettingzoo_surround_v1_nxdo2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2243/pettingzoo_surround_v1_nxdo2.
Episode: 1, avg. length 1556.0
first_0:                 episode reward: -4.0000,                 loss: 0.2628
second_0:                 episode reward: 4.0000,                 loss: nan
Episode: 21, avg. length 1560.75
first_0:                 episode reward: -4.3000,                 loss: 0.0485
second_0:                 episode reward: 4.3000,                 loss: nan
Episode: 41, avg. length 1411.35
first_0:                 episode reward: 5.4000,                 loss: 0.0517
second_0:                 episode reward: -5.4000,                 loss: nan
Episode: 61, avg. length 1441.35
first_0:                 episode reward: 8.0500,                 loss: nan
second_0:                 episode reward: -8.0500,                 loss: nan
Score delta: 16.2, save the model to ..//data/model/20211205_2243/pettingzoo_surround_v1_nxdo2/46_0.
Episode: 81, avg. length 1862.8
first_0:                 episode reward: 5.1000,                 loss: nan
second_0:                 episode reward: -5.1000,                 loss: 0.0465
Episode: 101, avg. length 1884.0
first_0:                 episode reward: -4.9500,                 loss: nan
second_0:                 episode reward: 4.9500,                 loss: 0.0379
Episode: 121, avg. length 1739.55
first_0:                 episode reward: -6.3000,                 loss: nan
second_0:                 episode reward: 6.3000,                 loss: 0.0338
Episode: 141, avg. length 1801.15
first_0:                 episode reward: -6.0000,                 loss: nan
second_0:                 episode reward: 6.0000,                 loss: 0.0340
Episode: 161, avg. length 1885.65
first_0:                 episode reward: 1.3000,                 loss: nan
second_0:                 episode reward: -1.3000,                 loss: 0.0245
Episode: 181, avg. length 1718.9
first_0:                 episode reward: -5.9000,                 loss: nan
second_0:                 episode reward: 5.9000,                 loss: 0.0230
Episode: 201, avg. length 1705.05
first_0:                 episode reward: -3.8500,                 loss: nan
second_0:                 episode reward: 3.8500,                 loss: nan
Score delta: 16.2, save the model to ..//data/model/20211205_2243/pettingzoo_surround_v1_nxdo2/194_1.
Episode: 221, avg. length 1680.75
first_0:                 episode reward: 4.9500,                 loss: 0.0288
second_0:                 episode reward: -4.9500,                 loss: nan
Episode: 241, avg. length 1636.8
first_0:                 episode reward: 5.3000,                 loss: 0.0420
second_0:                 episode reward: -5.3000,                 loss: nan
Episode: 261, avg. length 1283.7
first_0:                 episode reward: 8.0000,                 loss: nan
second_0:                 episode reward: -8.0000,                 loss: nan
Score delta: 16.4, save the model to ..//data/model/20211205_2243/pettingzoo_surround_v1_nxdo2/252_0.
Episode: 281, avg. length 1489.1
first_0:                 episode reward: 6.8000,                 loss: nan
second_0:                 episode reward: -6.8000,                 loss: 0.0299
Episode: 301, avg. length 1942.85
first_0:                 episode reward: 0.4000,                 loss: nan
second_0:                 episode reward: -0.4000,                 loss: 0.0403
Episode: 321, avg. length 1777.4
first_0:                 episode reward: -3.5500,                 loss: nan
second_0:                 episode reward: 3.5500,                 loss: 0.0415
Episode: 341, avg. length 2039.0
first_0:                 episode reward: -4.7500,                 loss: nan
second_0:                 episode reward: 4.7500,                 loss: 0.0358
Episode: 361, avg. length 1983.65
first_0:                 episode reward: -2.2500,                 loss: nan
second_0:                 episode reward: 2.2500,                 loss: 0.0353
Episode: 381, avg. length 1804.25
first_0:                 episode reward: 2.0000,                 loss: nan
second_0:                 episode reward: -2.0000,                 loss: 0.0350
Episode: 401, avg. length 1647.5
first_0:                 episode reward: -5.2500,                 loss: nan
second_0:                 episode reward: 5.2500,                 loss: 0.0367
Score delta: 16.2, save the model to ..//data/model/20211205_2243/pettingzoo_surround_v1_nxdo2/400_1.
Episode: 421, avg. length 1732.55
first_0:                 episode reward: -5.1000,                 loss: 0.0320
second_0:                 episode reward: 5.1000,                 loss: nan
Episode: 441, avg. length 1784.8
first_0:                 episode reward: -2.3500,                 loss: 0.0308
second_0:                 episode reward: 2.3500,                 loss: nan
Episode: 461, avg. length 1911.15
first_0:                 episode reward: 3.9000,                 loss: 0.0318
second_0:                 episode reward: -3.9000,                 loss: nan
Episode: 481, avg. length 1958.25
first_0:                 episode reward: 4.5000,                 loss: 0.0309
second_0:                 episode reward: -4.5000,                 loss: nan
Episode: 501, avg. length 1871.75
first_0:                 episode reward: 3.8500,                 loss: 0.0329
second_0:                 episode reward: -3.8500,                 loss: nan
Episode: 521, avg. length 1727.05
first_0:                 episode reward: 3.2000,                 loss: 0.0390
second_0:                 episode reward: -3.2000,                 loss: nan
Episode: 541, avg. length 1793.95
first_0:                 episode reward: 1.9500,                 loss: 0.0402
second_0:                 episode reward: -1.9500,                 loss: nan
Episode: 561, avg. length 1763.55
