pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
Load tennis_v2 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 1
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f1651d41fd0>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'selfplay2', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'selfplay_score_delta': 10, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Save models to : /home/zihan/research/MARS/data/model/20211205_2243/pettingzoo_tennis_v2_selfplay2. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2243/pettingzoo_tennis_v2_selfplay2.
Episode: 1, avg. length 9999.0
first_0:                 episode reward: 214.0000,                 loss: 0.1777
second_0:                 episode reward: -214.0000,                 loss: nan
Episode: 21, avg. length 9999.0
first_0:                 episode reward: 209.5500,                 loss: 0.0391
second_0:                 episode reward: -209.5500,                 loss: nan
Episode: 41, avg. length 5017.35
first_0:                 episode reward: 33.0000,                 loss: nan
second_0:                 episode reward: -33.0000,                 loss: nan
Score delta: 421.6, update the opponent.
Episode: 61, avg. length 6516.4
first_0:                 episode reward: -21.4000,                 loss: nan
second_0:                 episode reward: 21.4000,                 loss: nan
Score delta: 10.6, update the opponent.
Episode: 81, avg. length 5382.4
first_0:                 episode reward: 22.1000,                 loss: nan
second_0:                 episode reward: -22.1000,                 loss: nan
Score delta: 30.4, update the opponent.
Episode: 101, avg. length 4938.55
first_0:                 episode reward: -6.1000,                 loss: nan
second_0:                 episode reward: 6.1000,                 loss: nan
Score delta: 22.6, update the opponent.
Episode: 121, avg. length 5309.65
first_0:                 episode reward: -23.4500,                 loss: 0.0433
second_0:                 episode reward: 23.4500,                 loss: nan
Episode: 141, avg. length 4133.25
first_0:                 episode reward: -12.1000,                 loss: 0.0342
second_0:                 episode reward: 12.1000,                 loss: nan
Episode: 161, avg. length 4157.95
first_0:                 episode reward: 4.4000,                 loss: nan
second_0:                 episode reward: -4.4000,                 loss: nan
Score delta: 10.6, update the opponent.
Episode: 181, avg. length 6700.15
first_0:                 episode reward: -65.8000,                 loss: nan
second_0:                 episode reward: 65.8000,                 loss: nan
Score delta: 168.4, update the opponent.
Episode: 201, avg. length 6833.7
first_0:                 episode reward: 47.2500,                 loss: nan
second_0:                 episode reward: -47.2500,                 loss: nan
Score delta: 16.4, update the opponent.
Episode: 221, avg. length 6554.15
first_0:                 episode reward: -38.2500,                 loss: nan
second_0:                 episode reward: 38.2500,                 loss: nan
Score delta: 37.2, update the opponent.
Episode: 241, avg. length 9714.65
first_0:                 episode reward: -159.6000,                 loss: 0.0347
