pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
Load tennis_v2 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 59
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f0d4cfb7c10>
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  ../data/model/20211205_2243/pettingzoo_tennis_v2_nash_dqn/0_0
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': '../data/model/20211205_2243/pettingzoo_tennis_v2_nash_dqn/0_0', 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20211205_2243_exploit/pettingzoo_tennis_v2_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2243_exploit/pettingzoo_tennis_v2_nash_dqn.
Episode: 1, avg. length 9999.0
first_0:                 episode reward: -8.0000,                 loss: nan
second_0:                 episode reward: 8.0000,                 loss: 0.5825
Episode: 21, avg. length 9386.05
first_0:                 episode reward: 42.9000,                 loss: nan
second_0:                 episode reward: -42.9000,                 loss: 0.0946
Episode: 41, avg. length 9726.75
first_0:                 episode reward: 122.5000,                 loss: nan
second_0:                 episode reward: -122.5000,                 loss: 0.0489
Episode: 61, avg. length 9641.35
first_0:                 episode reward: 121.5000,                 loss: nan
second_0:                 episode reward: -121.5000,                 loss: 0.0404
Episode: 81, avg. length 9999.0
first_0:                 episode reward: 67.0500,                 loss: nan
second_0:                 episode reward: -67.0500,                 loss: 0.0308
Episode: 101, avg. length 9999.0
first_0:                 episode reward: 0.7500,                 loss: nan
second_0:                 episode reward: -0.7500,                 loss: 0.0285
Episode: 121, avg. length 9203.85
first_0:                 episode reward: -10.9500,                 loss: nan
second_0:                 episode reward: 10.9500,                 loss: 0.0317
Episode: 141, avg. length 3728.8
first_0:                 episode reward: -21.1000,                 loss: nan
second_0:                 episode reward: 21.1000,                 loss: 0.0405
Episode: 161, avg. length 3361.4
first_0:                 episode reward: 0.3500,                 loss: nan
second_0:                 episode reward: -0.3500,                 loss: 0.0458
Episode: 181, avg. length 2783.45
first_0:                 episode reward: -6.1000,                 loss: nan
second_0:                 episode reward: 6.1000,                 loss: 0.0442
Episode: 201, avg. length 2464.85
first_0:                 episode reward: -8.8500,                 loss: nan
second_0:                 episode reward: 8.8500,                 loss: 0.0407
Episode: 221, avg. length 3116.8
first_0:                 episode reward: -15.0000,                 loss: nan
second_0:                 episode reward: 15.0000,                 loss: 0.0385
Episode: 241, avg. length 2607.4
first_0:                 episode reward: -7.4500,                 loss: nan
second_0:                 episode reward: 7.4500,                 loss: 0.0366
