pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
Load tennis_v2 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (128,), float32) action space: Discrete(18)
random seed: 28
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7f2255764d10>
Agents No. [0] (index starting from 0) are not learnable.
Agent No. [0] loads model from:  ../data/model/20211205_2243/pettingzoo_tennis_v2_nfsp/4000_0
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 'random', 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': True, 'load_model_idx': False, 'load_model_full_path': '../data/model/20211205_2243/pettingzoo_tennis_v2_nfsp/4000_0', 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nfsp', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'eta': 0.1}, 'against_baseline': False}
Save models to : /home/zihan/research/MARS/data/model/20211205_2243_exploit/pettingzoo_tennis_v2_nfsp. 
 Save logs to: /home/zihan/research/MARS/data/log/20211205_2243_exploit/pettingzoo_tennis_v2_nfsp.
Episode: 1, avg. length 1362.0
first_0:                 episode reward: 24.0000,                 loss: nan
second_0:                 episode reward: -24.0000,                 loss: nan
Episode: 21, avg. length 2498.95
first_0:                 episode reward: 38.1500,                 loss: nan
second_0:                 episode reward: -38.1500,                 loss: nan
Episode: 41, avg. length 2227.4
first_0:                 episode reward: 28.9000,                 loss: nan
second_0:                 episode reward: -28.9000,                 loss: 0.0376
Episode: 61, avg. length 2605.1
first_0:                 episode reward: 24.6000,                 loss: nan
second_0:                 episode reward: -24.6000,                 loss: 0.0261
Episode: 81, avg. length 4311.85
first_0:                 episode reward: 30.4000,                 loss: nan
second_0:                 episode reward: -30.4000,                 loss: 0.0232
Episode: 101, avg. length 5674.25
first_0:                 episode reward: 13.4000,                 loss: nan
second_0:                 episode reward: -13.4000,                 loss: 0.0241
Episode: 121, avg. length 4650.95
first_0:                 episode reward: 1.2500,                 loss: nan
second_0:                 episode reward: -1.2500,                 loss: 0.0251
Episode: 141, avg. length 4161.1
first_0:                 episode reward: -3.4500,                 loss: nan
second_0:                 episode reward: 3.4500,                 loss: 0.0232
Episode: 161, avg. length 3289.25
first_0:                 episode reward: -10.4000,                 loss: nan
second_0:                 episode reward: 10.4000,                 loss: 0.0207
Episode: 181, avg. length 2394.85
first_0:                 episode reward: -20.3000,                 loss: nan
second_0:                 episode reward: 20.3000,                 loss: 0.0196
Episode: 201, avg. length 1980.1
first_0:                 episode reward: -20.4500,                 loss: nan
second_0:                 episode reward: 20.4500,                 loss: 0.0201
Episode: 221, avg. length 2598.55
first_0:                 episode reward: -9.6000,                 loss: nan
second_0:                 episode reward: 9.6000,                 loss: 0.0212
Episode: 241, avg. length 2344.3
first_0:                 episode reward: -16.7500,                 loss: nan
second_0:                 episode reward: 16.7500,                 loss: 0.0213
Episode: 261, avg. length 2008.3
