pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
tennis_v2 pettingzoo
random seed: [34, 50, 4]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'tennis_v2', 'env_type': 'pettingzoo', 'num_envs': 3, 'ram': True, 'seed': 'random', 'algorithm': 'NashDQN', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 128, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 0.1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash_dqn', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': False}}
Save models to : /home/zihan/research/MARS/data/model/20211227_1021/pettingzoo_tennis_v2_nash_dqn. 
 Save logs to: /home/zihan/research/MARS/data/log/20211227_1021/pettingzoo_tennis_v2_nash_dqn.
Episode: 1/30000 (0.0033%),                 avg. length: 9999.0,                last time consumption/overall running time: 495.8977s / 495.8977 s
env0_first_0:                 episode reward: 0.0000,                 loss: 0.0197
env0_second_0:                 episode reward: 0.0000,                 loss: 0.0201
env1_first_0:                 episode reward: -42.0000,                 loss: nan
env1_second_0:                 episode reward: 42.0000,                 loss: nan
env2_first_0:                 episode reward: -37.0000,                 loss: nan
env2_second_0:                 episode reward: 37.0000,                 loss: nan
Episode: 21/30000 (0.0700%),                 avg. length: 5625.1,                last time consumption/overall running time: 6206.5561s / 6702.4538 s
env0_first_0:                 episode reward: 21.3500,                 loss: 0.0180
env0_second_0:                 episode reward: -21.3500,                 loss: 0.0182
env1_first_0:                 episode reward: -10.6500,                 loss: nan
env1_second_0:                 episode reward: 10.6500,                 loss: nan
env2_first_0:                 episode reward: 12.2500,                 loss: nan
env2_second_0:                 episode reward: -12.2500,                 loss: nan
Episode: 41/30000 (0.1367%),                 avg. length: 3939.2,                last time consumption/overall running time: 4411.5171s / 11113.9710 s
env0_first_0:                 episode reward: -6.2500,                 loss: 0.0189
env0_second_0:                 episode reward: 6.2500,                 loss: 0.0191
env1_first_0:                 episode reward: -1.8500,                 loss: nan
env1_second_0:                 episode reward: 1.8500,                 loss: nan
env2_first_0:                 episode reward: -2.0500,                 loss: nan
env2_second_0:                 episode reward: 2.0500,                 loss: nan
Episode: 61/30000 (0.2033%),                 avg. length: 4131.75,                last time consumption/overall running time: 4678.4810s / 15792.4520 s
env0_first_0:                 episode reward: 1.2000,                 loss: 0.0164
