pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
double_dunk_v2 pettingzoo
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'double_dunk_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 1, 'algorithm': 'NashDQNExploiter', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 10, 'log_interval': 10, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': 'NashDQNExploiter_Atari', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nash', 'marl_spec': {}}
Episode: 1, avg. length 3495.0
env0_first_0:                 episode reward: -24.0000,                 loss: 0.0069
env0_second_0:                 episode reward: 0.0000,                 loss: nan
env1_first_0:                 episode reward: -25.0000,                 loss: nan
env1_second_0:                 episode reward: 6.0000,                 loss: nan
Episode: 11, avg. length 3943.8
env0_first_0:                 episode reward: -25.5000,                 loss: 0.0077
env0_second_0:                 episode reward: -1.4000,                 loss: nan
env1_first_0:                 episode reward: -21.1000,                 loss: nan
env1_second_0:                 episode reward: -1.0000,                 loss: nan
Episode: 21, avg. length 5412.5
env0_first_0:                 episode reward: -13.4000,                 loss: 0.0065
env0_second_0:                 episode reward: -31.2000,                 loss: nan
env1_first_0:                 episode reward: -13.8000,                 loss: nan
env1_second_0:                 episode reward: -29.7000,                 loss: nan
Episode: 31, avg. length 9534.6
env0_first_0:                 episode reward: -8.7000,                 loss: 0.0029
env0_second_0:                 episode reward: -118.7000,                 loss: nan
env1_first_0:                 episode reward: -8.4000,                 loss: nan
env1_second_0:                 episode reward: -112.7000,                 loss: nan
Episode: 41, avg. length 9999.0
env0_first_0:                 episode reward: -6.6000,                 loss: 0.0012
env0_second_0:                 episode reward: -138.4000,                 loss: nan
env1_first_0:                 episode reward: -6.2000,                 loss: nan
env1_second_0:                 episode reward: -140.5000,                 loss: nan
Episode: 51, avg. length 9999.0
env0_first_0:                 episode reward: -6.6000,                 loss: 0.0013
env0_second_0:                 episode reward: -156.1000,                 loss: nan
env1_first_0:                 episode reward: -9.0000,                 loss: nan
env1_second_0:                 episode reward: -152.3000,                 loss: nan
Episode: 61, avg. length 9999.0
env0_first_0:                 episode reward: -10.9000,                 loss: 0.0014
env0_second_0:                 episode reward: -147.7000,                 loss: nan
env1_first_0:                 episode reward: -6.2000,                 loss: nan
env1_second_0:                 episode reward: -137.0000,                 loss: nan
Episode: 71, avg. length 9999.0
env0_first_0:                 episode reward: -4.3000,                 loss: 0.0013
env0_second_0:                 episode reward: -161.1000,                 loss: nan
env1_first_0:                 episode reward: -0.8000,                 loss: nan
env1_second_0:                 episode reward: -149.5000,                 loss: nan
Episode: 81, avg. length 9999.0
env0_first_0:                 episode reward: -8.9000,                 loss: 0.0012
env0_second_0:                 episode reward: -144.6000,                 loss: nan
env1_first_0:                 episode reward: 1.0000,                 loss: nan
env1_second_0:                 episode reward: -143.3000,                 loss: nan
Episode: 91, avg. length 9999.0
env0_first_0:                 episode reward: -3.9000,                 loss: 0.0012
env0_second_0:                 episode reward: -134.2000,                 loss: nan
env1_first_0:                 episode reward: -3.9000,                 loss: nan
env1_second_0:                 episode reward: -160.8000,                 loss: nan
Episode: 101, avg. length 9999.0
env0_first_0:                 episode reward: -4.3000,                 loss: 0.0011
env0_second_0:                 episode reward: -159.2000,                 loss: nan
env1_first_0:                 episode reward: -3.9000,                 loss: nan
env1_second_0:                 episode reward: -156.7000,                 loss: nan
Episode: 111, avg. length 9999.0
env0_first_0:                 episode reward: -4.1000,                 loss: 0.0012
env0_second_0:                 episode reward: -139.8000,                 loss: nan
env1_first_0:                 episode reward: -0.1000,                 loss: nan
env1_second_0:                 episode reward: -162.8000,                 loss: nan
Episode: 121, avg. length 9999.0
env0_first_0:                 episode reward: -8.1000,                 loss: 0.0013
env0_second_0:                 episode reward: -153.4000,                 loss: nan
env1_first_0:                 episode reward: -1.0000,                 loss: nan
env1_second_0:                 episode reward: -165.8000,                 loss: nan
Episode: 131, avg. length 9999.0
env0_first_0:                 episode reward: -4.7000,                 loss: 0.0012
env0_second_0:                 episode reward: -144.4000,                 loss: nan
env1_first_0:                 episode reward: -0.9000,                 loss: nan
env1_second_0:                 episode reward: -134.5000,                 loss: nan
Episode: 141, avg. length 9999.0
env0_first_0:                 episode reward: -3.1000,                 loss: 0.0011
env0_second_0:                 episode reward: -154.9000,                 loss: nan
env1_first_0:                 episode reward: -7.5000,                 loss: nan
env1_second_0:                 episode reward: -146.7000,                 loss: nan
Episode: 151, avg. length 9999.0
env0_first_0:                 episode reward: -7.9000,                 loss: 0.0013
env0_second_0:                 episode reward: -159.8000,                 loss: nan
env1_first_0:                 episode reward: -2.5000,                 loss: nan
env1_second_0:                 episode reward: -162.9000,                 loss: nan
Episode: 161, avg. length 9999.0
env0_first_0:                 episode reward: -6.5000,                 loss: 0.0012
env0_second_0:                 episode reward: -148.7000,                 loss: nan
env1_first_0:                 episode reward: -3.3000,                 loss: nan
env1_second_0:                 episode reward: -141.1000,                 loss: nan
Episode: 171, avg. length 9999.0
env0_first_0:                 episode reward: -5.4000,                 loss: 0.0011
env0_second_0:                 episode reward: -152.5000,                 loss: nan
env1_first_0:                 episode reward: -2.5000,                 loss: nan
env1_second_0:                 episode reward: -149.8000,                 loss: nan
Episode: 181, avg. length 9999.0
env0_first_0:                 episode reward: -7.0000,                 loss: 0.0014
env0_second_0:                 episode reward: -147.1000,                 loss: nan
env1_first_0:                 episode reward: -13.9000,                 loss: nan
env1_second_0:                 episode reward: -156.2000,                 loss: nan
Episode: 191, avg. length 9999.0
env0_first_0:                 episode reward: -8.0000,                 loss: 0.0014
env0_second_0:                 episode reward: -152.8000,                 loss: nan
env1_first_0:                 episode reward: -5.2000,                 loss: nan
env1_second_0:                 episode reward: -143.5000,                 loss: nan
Episode: 201, avg. length 9999.0
env0_first_0:                 episode reward: -0.8000,                 loss: 0.0012
env0_second_0:                 episode reward: -149.4000,                 loss: nan
env1_first_0:                 episode reward: -3.2000,                 loss: nan
env1_second_0:                 episode reward: -161.4000,                 loss: nan
Episode: 211, avg. length 9999.0
env0_first_0:                 episode reward: -5.6000,                 loss: 0.0013
env0_second_0:                 episode reward: -163.8000,                 loss: nan
env1_first_0:                 episode reward: -2.4000,                 loss: nan
env1_second_0:                 episode reward: -153.3000,                 loss: nan
Episode: 221, avg. length 9999.0
env0_first_0:                 episode reward: -6.5000,                 loss: 0.0013
env0_second_0:                 episode reward: -151.4000,                 loss: nan
env1_first_0:                 episode reward: -1.3000,                 loss: nan
env1_second_0:                 episode reward: -130.4000,                 loss: nan
Episode: 231, avg. length 9999.0
env0_first_0:                 episode reward: -8.2000,                 loss: 0.0014
env0_second_0:                 episode reward: -152.1000,                 loss: nan
env1_first_0:                 episode reward: -7.6000,                 loss: nan
env1_second_0:                 episode reward: -146.9000,                 loss: nan
Episode: 241, avg. length 9999.0
env0_first_0:                 episode reward: -2.7000,                 loss: 0.0012
env0_second_0:                 episode reward: -164.2000,                 loss: nan
env1_first_0:                 episode reward: -4.8000,                 loss: nan
