pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
SlimeVolley-v0 slimevolley
Load SlimeVolley-v0 environment in type slimevolley.
Env observation space: Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32) action space: Discrete(6)
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fdc008434d0>
SlimeVolley-v0 slimevolley
Load SlimeVolley-v0 environment in type slimevolley.
Env observation space: Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32) action space: Discrete(6)
No agent are not learnable.
Arguments:  {'env_name': 'SlimeVolley-v0', 'env_type': 'slimevolley', 'num_envs': 1, 'ram': True, 'seed': 1122, 'against_baseline': False, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 60000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False}, 'marl_method': 'nxdo2', 'marl_spec': {'selfplay_score_delta': 4.0}}
Episode: 1, avg. length 710.0
first_0:                 episode reward: -2.0000,                 loss: 0.0044
second_0:                 episode reward: 2.0000,                 loss: 0.0084
Episode: 21, avg. length 643.1
first_0:                 episode reward: 1.2500,                 loss: 0.0077
second_0:                 episode reward: -1.2500,                 loss: 0.0100
Episode: 41, avg. length 635.25
first_0:                 episode reward: 0.5500,                 loss: 0.0129
second_0:                 episode reward: -0.5500,                 loss: 0.0215
Episode: 61, avg. length 643.35
first_0:                 episode reward: 0.0500,                 loss: 0.0172
second_0:                 episode reward: -0.0500,                 loss: 0.0274
Episode: 81, avg. length 659.8
first_0:                 episode reward: -0.9500,                 loss: 0.0184
second_0:                 episode reward: 0.9500,                 loss: 0.0302
Episode: 101, avg. length 694.35
first_0:                 episode reward: -0.2000,                 loss: 0.0219
second_0:                 episode reward: 0.2000,                 loss: 0.0293
Episode: 121, avg. length 657.55
first_0:                 episode reward: -0.4000,                 loss: 0.0296
second_0:                 episode reward: 0.4000,                 loss: 0.0320
Episode: 141, avg. length 700.25
first_0:                 episode reward: 0.6500,                 loss: 0.0346
second_0:                 episode reward: -0.6500,                 loss: 0.0344
Episode: 161, avg. length 712.35
first_0:                 episode reward: -0.6500,                 loss: 0.0378
second_0:                 episode reward: 0.6500,                 loss: 0.0370
Episode: 181, avg. length 621.65
first_0:                 episode reward: 0.5000,                 loss: 0.0356
second_0:                 episode reward: -0.5000,                 loss: 0.0377
Episode: 201, avg. length 640.55
first_0:                 episode reward: -0.2500,                 loss: 0.0349
second_0:                 episode reward: 0.2500,                 loss: 0.0357
Episode: 221, avg. length 713.6
first_0:                 episode reward: 0.2500,                 loss: 0.0382
second_0:                 episode reward: -0.2500,                 loss: 0.0344
Episode: 241, avg. length 666.3
first_0:                 episode reward: 0.2000,                 loss: 0.0346
second_0:                 episode reward: -0.2000,                 loss: 0.0340
Episode: 261, avg. length 687.85
first_0:                 episode reward: -0.2500,                 loss: 0.0320
second_0:                 episode reward: 0.2500,                 loss: 0.0328
Episode: 281, avg. length 693.2
first_0:                 episode reward: 0.6500,                 loss: 0.0327
second_0:                 episode reward: -0.6500,                 loss: 0.0346
Episode: 301, avg. length 684.6
first_0:                 episode reward: 0.5000,                 loss: 0.0301
second_0:                 episode reward: -0.5000,                 loss: 0.0349
Episode: 321, avg. length 687.65
first_0:                 episode reward: 1.0500,                 loss: 0.0300
second_0:                 episode reward: -1.0500,                 loss: 0.0337
Episode: 341, avg. length 699.45
first_0:                 episode reward: 0.1500,                 loss: 0.0297
second_0:                 episode reward: -0.1500,                 loss: 0.0364
Episode: 361, avg. length 692.65
first_0:                 episode reward: 0.9000,                 loss: nan
second_0:                 episode reward: -0.9000,                 loss: 0.0314
Score delta: 4.4, udpate first_0.
Episode: 381, avg. length 640.95
first_0:                 episode reward: 1.7000,                 loss: nan
second_0:                 episode reward: -1.7000,                 loss: 0.0078
Episode: 401, avg. length 632.0
first_0:                 episode reward: 1.5500,                 loss: nan
second_0:                 episode reward: -1.5500,                 loss: 0.0169
Episode: 421, avg. length 687.05
first_0:                 episode reward: -0.1500,                 loss: nan
second_0:                 episode reward: 0.1500,                 loss: 0.0268
Episode: 441, avg. length 649.9
first_0:                 episode reward: 1.0000,                 loss: nan
second_0:                 episode reward: -1.0000,                 loss: 0.0330
Episode: 461, avg. length 646.3
first_0:                 episode reward: -0.4500,                 loss: nan
second_0:                 episode reward: 0.4500,                 loss: 0.0437
Episode: 481, avg. length 649.05
first_0:                 episode reward: 0.6000,                 loss: nan
second_0:                 episode reward: -0.6000,                 loss: 0.0569
Episode: 501, avg. length 648.6
first_0:                 episode reward: -0.9500,                 loss: nan
second_0:                 episode reward: 0.9500,                 loss: 0.0693
Episode: 521, avg. length 637.0
first_0:                 episode reward: 0.1000,                 loss: nan
second_0:                 episode reward: -0.1000,                 loss: 0.0803
Episode: 541, avg. length 633.35
first_0:                 episode reward: 0.3000,                 loss: nan
second_0:                 episode reward: -0.3000,                 loss: 0.0832
Episode: 561, avg. length 615.0
first_0:                 episode reward: 0.5000,                 loss: nan
second_0:                 episode reward: -0.5000,                 loss: 0.0865
Episode: 581, avg. length 658.2
first_0:                 episode reward: -0.7000,                 loss: nan
second_0:                 episode reward: 0.7000,                 loss: 0.0886
Episode: 601, avg. length 640.75
first_0:                 episode reward: 1.3500,                 loss: nan
second_0:                 episode reward: -1.3500,                 loss: 0.0847
Episode: 621, avg. length 687.0
first_0:                 episode reward: 0.7000,                 loss: nan
second_0:                 episode reward: -0.7000,                 loss: 0.0797
Episode: 641, avg. length 643.4
first_0:                 episode reward: 1.0500,                 loss: nan
second_0:                 episode reward: -1.0500,                 loss: 0.0786
Episode: 661, avg. length 683.15
first_0:                 episode reward: 0.4500,                 loss: nan
second_0:                 episode reward: -0.4500,                 loss: 0.0809
Episode: 681, avg. length 657.7
first_0:                 episode reward: 0.3500,                 loss: nan
second_0:                 episode reward: -0.3500,                 loss: 0.0770
Episode: 701, avg. length 643.7
first_0:                 episode reward: -0.2000,                 loss: nan
second_0:                 episode reward: 0.2000,                 loss: 0.0760
Episode: 721, avg. length 627.0
first_0:                 episode reward: 0.7000,                 loss: nan
second_0:                 episode reward: -0.7000,                 loss: 0.0737
Episode: 741, avg. length 672.15
first_0:                 episode reward: 0.6000,                 loss: nan
second_0:                 episode reward: -0.6000,                 loss: 0.0722
Episode: 761, avg. length 674.65
first_0:                 episode reward: -0.7000,                 loss: nan
second_0:                 episode reward: 0.7000,                 loss: 0.0631
Episode: 781, avg. length 636.65
first_0:                 episode reward: 0.8500,                 loss: nan
second_0:                 episode reward: -0.8500,                 loss: 0.0609
Episode: 801, avg. length 655.85
first_0:                 episode reward: 0.2500,                 loss: nan
second_0:                 episode reward: -0.2500,                 loss: 0.0571
Episode: 821, avg. length 612.8
first_0:                 episode reward: -0.1500,                 loss: nan
second_0:                 episode reward: 0.1500,                 loss: 0.0551
Episode: 841, avg. length 711.05
first_0:                 episode reward: 0.8500,                 loss: nan
second_0:                 episode reward: -0.8500,                 loss: 0.0523
Episode: 861, avg. length 632.75
first_0:                 episode reward: 0.9500,                 loss: nan
second_0:                 episode reward: -0.9500,                 loss: 0.0497
Episode: 881, avg. length 648.45
first_0:                 episode reward: -0.3500,                 loss: nan
second_0:                 episode reward: 0.3500,                 loss: 0.0486
Episode: 901, avg. length 666.95
first_0:                 episode reward: -0.5000,                 loss: nan
second_0:                 episode reward: 0.5000,                 loss: 0.0449
Episode: 921, avg. length 683.85
first_0:                 episode reward: -0.2500,                 loss: nan
second_0:                 episode reward: 0.2500,                 loss: 0.0434
Episode: 941, avg. length 638.0
first_0:                 episode reward: 0.3000,                 loss: nan
second_0:                 episode reward: -0.3000,                 loss: 0.0418
Episode: 961, avg. length 637.2
first_0:                 episode reward: -0.2000,                 loss: nan
second_0:                 episode reward: 0.2000,                 loss: 0.0398
Episode: 981, avg. length 674.0
first_0:                 episode reward: -0.2000,                 loss: nan
second_0:                 episode reward: 0.2000,                 loss: 0.0385
Episode: 1001, avg. length 666.3
first_0:                 episode reward: 0.4500,                 loss: nan
second_0:                 episode reward: -0.4500,                 loss: 0.0406
Episode: 1021, avg. length 645.8
first_0:                 episode reward: -1.0500,                 loss: nan
second_0:                 episode reward: 1.0500,                 loss: 0.0381
Episode: 1041, avg. length 704.9
first_0:                 episode reward: -0.1500,                 loss: nan
second_0:                 episode reward: 0.1500,                 loss: 0.0368
Episode: 1061, avg. length 686.6
first_0:                 episode reward: 0.0500,                 loss: nan
second_0:                 episode reward: -0.0500,                 loss: 0.0340
Episode: 1081, avg. length 640.25
first_0:                 episode reward: -0.1500,                 loss: nan
second_0:                 episode reward: 0.1500,                 loss: 0.0325
Episode: 1101, avg. length 723.35
first_0:                 episode reward: -0.2500,                 loss: nan
second_0:                 episode reward: 0.2500,                 loss: 0.0328
Episode: 1121, avg. length 665.2
first_0:                 episode reward: -0.4500,                 loss: nan
second_0:                 episode reward: 0.4500,                 loss: 0.0328
Episode: 1141, avg. length 654.2
first_0:                 episode reward: -0.2000,                 loss: nan
second_0:                 episode reward: 0.2000,                 loss: 0.0318
Episode: 1161, avg. length 719.05
first_0:                 episode reward: -0.3000,                 loss: nan
second_0:                 episode reward: 0.3000,                 loss: 0.0315
Episode: 1181, avg. length 683.95
first_0:                 episode reward: -0.1500,                 loss: nan
second_0:                 episode reward: 0.1500,                 loss: 0.0293
Episode: 1201, avg. length 683.6
first_0:                 episode reward: -0.9000,                 loss: nan
second_0:                 episode reward: 0.9000,                 loss: 0.0283
Episode: 1221, avg. length 693.95
first_0:                 episode reward: -0.7000,                 loss: nan
second_0:                 episode reward: 0.7000,                 loss: 0.0293
Episode: 1241, avg. length 701.3
first_0:                 episode reward: -1.1500,                 loss: nan
second_0:                 episode reward: 1.1500,                 loss: nan
Score delta: 4.4, udpate second_0.
Episode: 1261, avg. length 646.15
first_0:                 episode reward: -0.6000,                 loss: 0.0065
second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 1281, avg. length 614.35
first_0:                 episode reward: 1.0000,                 loss: nan
second_0:                 episode reward: -1.0000,                 loss: nan
Score delta: 4.2, udpate first_0.
Episode: 1301, avg. length 698.1
first_0:                 episode reward: -0.4500,                 loss: nan
second_0:                 episode reward: 0.4500,                 loss: 0.0077
Episode: 1321, avg. length 643.2
first_0:                 episode reward: 0.3000,                 loss: nan
second_0:                 episode reward: -0.3000,                 loss: 0.0123
Episode: 1341, avg. length 671.4
first_0:                 episode reward: -0.0500,                 loss: nan
second_0:                 episode reward: 0.0500,                 loss: 0.0181
Episode: 1361, avg. length 628.75
first_0:                 episode reward: -0.2500,                 loss: nan
second_0:                 episode reward: 0.2500,                 loss: 0.0231
Episode: 1381, avg. length 613.15
first_0:                 episode reward: -0.4500,                 loss: nan
second_0:                 episode reward: 0.4500,                 loss: 0.0304
Episode: 1401, avg. length 618.9
first_0:                 episode reward: -0.4500,                 loss: nan
second_0:                 episode reward: 0.4500,                 loss: 0.0350
Episode: 1421, avg. length 667.3
first_0:                 episode reward: -0.3500,                 loss: nan
second_0:                 episode reward: 0.3500,                 loss: 0.0364
Episode: 1441, avg. length 665.75
first_0:                 episode reward: -0.9500,                 loss: nan
second_0:                 episode reward: 0.9500,                 loss: nan
Score delta: 4.6, udpate second_0.
Episode: 1461, avg. length 649.05
first_0:                 episode reward: 0.0000,                 loss: 0.0079
second_0:                 episode reward: 0.0000,                 loss: nan
Episode: 1481, avg. length 645.0
first_0:                 episode reward: -0.3000,                 loss: 0.0153
