pygame 2.0.0 (SDL 2.0.12, python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
boxing_v1 pettingzoo
Load boxing_v1 environment in type pettingzoo.
Env observation space: Box(0.0, 1.0, (130,), float32) action space: Discrete(18)
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7eff3f37ba10>
No agent are not learnable.
Arguments:  {'env_name': 'boxing_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 1122, 'algorithm': 'NFSP', 'algorithm_spec': {'episodic_update': False, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'batch_size': 32, 'max_episodes': 30000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [64, 64], 'hidden_activation': 'Tanh', 'output_activation': 'Softmax'}}, 'marl_method': 'nfsp', 'marl_spec': {'eta': 0.1}}
Episode: 1, avg. length 1784.0
first_0:                 episode reward: 4.0000,                 loss: nan
second_0:                 episode reward: -4.0000,                 loss: nan
Episode: 21, avg. length 1784.0
first_0:                 episode reward: -1.3500,                 loss: nan
second_0:                 episode reward: 1.3500,                 loss: nan
Episode: 41, avg. length 1784.0
first_0:                 episode reward: -1.1000,                 loss: 2.7453
second_0:                 episode reward: 1.1000,                 loss: 2.7390
Episode: 61, avg. length 1784.0
first_0:                 episode reward: -2.5500,                 loss: 2.7329
second_0:                 episode reward: 2.5500,                 loss: 2.7176
Episode: 81, avg. length 1784.0
first_0:                 episode reward: -2.3500,                 loss: 2.7294
second_0:                 episode reward: 2.3500,                 loss: 2.7011
Episode: 101, avg. length 1784.0
first_0:                 episode reward: -1.5000,                 loss: 2.7137
second_0:                 episode reward: 1.5000,                 loss: 2.7053
Episode: 121, avg. length 1784.0
first_0:                 episode reward: -3.4500,                 loss: 2.7157
second_0:                 episode reward: 3.4500,                 loss: 2.7190
Episode: 141, avg. length 1784.0
first_0:                 episode reward: -3.3500,                 loss: 2.7245
second_0:                 episode reward: 3.3500,                 loss: 2.7299
Episode: 161, avg. length 1784.0
first_0:                 episode reward: -3.9000,                 loss: 2.7250
second_0:                 episode reward: 3.9000,                 loss: 2.7383
Episode: 181, avg. length 1784.0
first_0:                 episode reward: -3.5000,                 loss: 2.7282
second_0:                 episode reward: 3.5000,                 loss: 2.7417
Episode: 201, avg. length 1784.0
first_0:                 episode reward: -8.2000,                 loss: 2.7348
second_0:                 episode reward: 8.2000,                 loss: 2.7463
Episode: 221, avg. length 1784.0
first_0:                 episode reward: -8.6000,                 loss: 2.7369
second_0:                 episode reward: 8.6000,                 loss: 2.7508
Episode: 241, avg. length 1784.0
first_0:                 episode reward: -4.8000,                 loss: 2.7358
second_0:                 episode reward: 4.8000,                 loss: 2.7499
Episode: 261, avg. length 1784.0
first_0:                 episode reward: -10.2000,                 loss: 2.7334
second_0:                 episode reward: 10.2000,                 loss: 2.7536
